"locusId","sysName","desc","name","short","lrn","t"
"DDA3937_RS00010","DDA3937_RS00010","transcriptional regulator AsnC","setATCH197","M9",-1.3792472405937,-7.75889851274544
"DDA3937_RS00010","DDA3937_RS00010","transcriptional regulator AsnC","setATCH130","M9",-1.7059632881736,-9.48619631914273
"DDA3937_RS00010","DDA3937_RS00010","transcriptional regulator AsnC","setATCH128","M9",-1.38457067771202,-7.73448533145701
"DDA3937_RS00010","DDA3937_RS00010","transcriptional regulator AsnC","setATCH129","M9",-1.17745893532763,-5.64481643178812
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH196","PDB",1.96750475584468,15.5457223677713
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH147","PDB",2.17130613716316,16.3302555648852
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH195","PDB",2.06157034365068,16.4252836895779
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH194","PDB",2.04822333981119,16.0662527222081
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH145","PDB",2.11868011993449,15.9319934933883
"DDA3937_RS00015","DDA3937_RS00015","ATPase RavA stimulator ViaA","setATCH146","PDB",1.98484605028242,15.4948060081337
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH147","PDB",2.36870035308662,17.9669944400062
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH196","PDB",2.17589528956784,17.2394657238287
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH194","PDB",2.06556245254838,15.9042964986914
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH195","PDB",2.37316373490111,19.006551422622
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH146","PDB",2.06087941033409,15.9803712073795
"DDA3937_RS00020","DDA3937_RS00020","ATPase RavA","setATCH145","PDB",2.4078119144271,17.7547857933536
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH145","PDB",-2.95539390557379,-19.5465626534714
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH196","PDB",-2.8360637699658,-17.9244072018593
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH147","PDB",-2.95605780460596,-18.27623028128
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH146","PDB",-2.71577449109718,-18.85167968979
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH194","PDB",-2.39761356392873,-15.9749647665233
"DDA3937_RS00025","DDA3937_RS00025","low affinity potassium transporter Kup","setATCH195","PDB",-2.63776079647909,-18.6138416845434
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH145","PDB",-1.03826894699084,-4.48030546703076
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH199","M9",1.78584914506757,8.43444987092803
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH129","M9",1.63862574259161,9.46759443899365
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH197","M9",2.19883911631683,10.2057574097828
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH130","M9",1.62819835797083,9.1142029051406
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH160","Upstate",1.91330658567841,8.92006141286549
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH128","M9",1.44716518459265,8.9878415084527
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH156","Norland",1.0191124684721,5.44817814429693
"DDA3937_RS00050","DDA3937_RS00050","ribokinase","setATCH198","M9",1.60964777939261,7.49519276244309
"DDA3937_RS00055","DDA3937_RS00055","ribose operon transcriptional repressor RbsR","setATCH197","M9",3.22877749020209,28.3702212693508
"DDA3937_RS00055","DDA3937_RS00055","ribose operon transcriptional repressor RbsR","setATCH156","Norland",1.2172419306883,9.81513958231307
"DDA3937_RS00055","DDA3937_RS00055","ribose operon transcriptional repressor RbsR","setATCH130","M9",2.33430192465215,20.4394519171598
