"locusId","sysName","desc","name","short","lrn","t"
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH209","PDB",-1.55403107967438,-7.44141847223343
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH213","PDB",-1.27516676121351,-6.22123834555648
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH212","PDB",-1.54158807824224,-8.57314442844026
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH210","PDB",-1.31106570691536,-6.98366681909913
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH211","PDB",-1.43142866731265,-6.97101648454109
"HGI48_RS00045","HGI48_RS00045","oligopeptidase A","setATCH208","PDB",-1.27524465852603,-6.60570370369559
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH216","M9",-1.73962622668076,-6.96520751139699
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH219","M9",-2.17468960032928,-10.2124805418032
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH217","M9",-1.48582498228522,-7.41339501623244
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH214","M9",-1.58582387298909,-6.81386291834571
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH218","M9",-1.67734795831413,-8.45362033640919
"HGI48_RS00355","HGI48_RS00355","argininosuccinate synthase","setATCH215","M9",-1.5988924770229,-6.3367364163178
"HGI48_RS00395","HGI48_RS00395","VfmB protein","setATCH211","PDB",1.25565835197207,4.89714775944671
"HGI48_RS00395","HGI48_RS00395","VfmB protein","setATCH209","PDB",1.41089907083663,4.16332067626587
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH212","PDB",1.51088525935527,10.0937714465344
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH210","PDB",1.73139050733774,9.00118734140202
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH208","PDB",1.67454297788027,9.21266494082001
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH209","PDB",1.64322008754819,10.2200225257582
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH213","PDB",1.75666277098998,10.8271593093313
"HGI48_RS00410","HGI48_RS00410","AraC family transcriptional regulator VfmE","setATCH211","PDB",1.54013036522814,8.43509815428648
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH212","PDB",1.34616967428491,7.12853955171292
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH209","PDB",1.64723096346025,9.16047578204336
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH208","PDB",1.52774738938045,9.17338923395159
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH213","PDB",1.64446000055212,9.41973778506056
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH210","PDB",1.31114897169697,7.15571534635872
"HGI48_RS00415","HGI48_RS00415","ABC transporter ATP-binding protein","setATCH211","PDB",1.79457591004169,9.82799277872211
"HGI48_RS00420","HGI48_RS00420","ABC transporter permease","setATCH209","PDB",1.01220373791763,7.06029616639646
"HGI48_RS00425","HGI48_RS00425","two-component system response regulator VfmH","setATCH210","PDB",1.43354080439101,8.78754593861479
"HGI48_RS00425","HGI48_RS00425","two-component system response regulator VfmH","setATCH208","PDB",1.3409164746166,8.70788192591237
"HGI48_RS00425","HGI48_RS00425","two-component system response regulator VfmH","setATCH212","PDB",1.35658220045242,9.13821954717947
"HGI48_RS00425","HGI48_RS00425","two-component system response regulator VfmH","setATCH213","PDB",1.77195858573304,12.0340294431249
