"locusId","sysName","desc","name","short","lrn","t"
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH245","PDB",-1.11438894533591,-9.11337933312663
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH168","PDB",-1.53773404675986,-11.6500593904721
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH243","PDB",-1.0927101914125,-9.01962043314057
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH244","PDB",-1.03475302484959,-8.03249193186781
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH170","PDB",-1.5276387630522,-11.9739696655779
"DZA65_RS00035","DZA65_RS00035","oligopeptidase A","setATCH169","PDB",-1.72653431247096,-12.904813806599
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH131","M9",-2.16952889438636,-12.9516784762507
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH132","M9",-2.26106019557623,-12.3052640671677
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH248","M9",-2.33294523906371,-13.0820125811474
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH133","M9",-2.08202902557865,-12.1026835586158
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH246","M9",-2.30743423507629,-11.9986471038521
"DZA65_RS00355","DZA65_RS00355","argininosuccinate synthase","setATCH247","M9",-2.66677132278587,-15.0090031916041
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH113","LB",-1.13518263968338,-4.05328959061281
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH115","LB",-1.00502541459349,-4.83838807216025
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH245","PDB",-1.09856138986115,-5.64603652541307
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH175","Atlantic",-1.17508052318059,-4.68189325477359
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH173","Atlantic",-1.48284238926928,-6.32915427563481
"DZA65_RS00360","DZA65_RS00360","MarR family transcriptional regulator","setATCH176","Atlantic",-1.02461725771301,-4.91170450314259
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH178","Norland",-1.30370225311084,-6.49115331308826
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH187","Upstate",-1.82364496564021,-9.92589847849629
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH185","Upstate",-1.15933474454344,-5.68297971215734
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH176","Atlantic",-1.82561985989746,-9.84644762054135
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH181","Norland",-1.22841598848873,-6.94257216048385
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH180","Norland",-1.12408326616844,-5.99400920291737
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH183","Upstate",-1.5565463984994,-8.47596857820013
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH175","Atlantic",-1.12008317476669,-5.12880543080399
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH186","Upstate",-1.07382879952478,-5.88804493610219
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH177","Norland",-1.03698340106354,-5.60162437447109
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH173","Atlantic",-1.22990192986337,-6.00596502310412
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH188","Upstate",-1.53800126209579,-8.9691382139897
"DZA65_RS00365","DZA65_RS00365","DMT family transporter","setATCH179","Norland",-1.20211622914473,-6.76549479028946
"DZA65_RS00425","DZA65_RS00425","sigma-54-dependent Fis family transcriptional regulator","setATCH183","Upstate",1.09781498810625,7.42341597362835
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH181","Norland",-1.5518108844649,-6.51591119714194
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH247","M9",-2.62457318167233,-6.78020730407974
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH188","Upstate",-1.14189630694164,-5.12055421606667
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH133","M9",-3.07321350286288,-7.85599801648036
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH179","Norland",-1.30080706993567,-5.46438000004703
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH185","Upstate",-1.28452353850109,-4.84749734181078
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH187","Upstate",-1.22035610497631,-5.3017960998465
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH245","PDB",-1.37237031897863,-6.03072940250348
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH131","M9",-2.73502448298193,-8.16778168762524
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH132","M9",-2.19100921326291,-5.58948903516335
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH248","M9",-2.4716807714817,-7.74373579654613
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH176","Atlantic",-1.09812569491517,-4.33488792199815
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH182","Norland",-1.81582724991753,-7.05480743074979
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH175","Atlantic",-1.96365856397599,-7.38087486269776
"DZA65_RS00735","DZA65_RS00735","orotate phosphoribosyltransferase","setATCH177","Norland",-1.04637643840003,-4.46043793358585
