locusId	sysName	desc	setATCH97 Time0	setATCH98 Time0	setATCH110 LB	setATCH111 LB	setATCH112 LB	setATCH128 M9	setATCH129 M9	setATCH130 M9	setATCH143 Time0	setATCH144 Time0	setATCH145 PDB	setATCH146 PDB	setATCH147 PDB	setATCH148 Atlantic	setATCH149 Atlantic	setATCH150 Atlantic	setATCH151 Atlantic	setATCH152 Atlantic	setATCH153 Atlantic	setATCH154 Norland	setATCH155 Norland	setATCH156 Norland	setATCH157 Norland	setATCH158 Norland	setATCH159 Norland	setATCH160 Upstate	setATCH161 Upstate	setATCH162 Upstate	setATCH163 Upstate	setATCH164 Upstate	setATCH165 Upstate	setATCH189 Time0	setATCH190 Time0	setATCH191 LB	setATCH192 LB	setATCH193 LB	setATCH194 PDB	setATCH195 PDB	setATCH196 PDB	setATCH197 M9	setATCH198 M9	setATCH199 M9
DDA3937_RS00005	DDA3937_RS00005	FMN-binding protein MioC	0.142414784755787	-0.142414784755787	-0.430862585156647	-0.215866201783398	-0.746636922719217	-0.544887050126977	-0.826800516363979	-0.429704448191431	-0.227447210796775	0.227447210796775	0.454098220816531	-0.836794614561611	0.152441749974676	-1.3195855169027	-0.853856203837663	0.116122635233887	-0.32887911219776	-0.7858072727583	-1.03468445943528	-0.925414224330829	-1.43399579974216	-1.10459804414417	-0.914404517917311	-1.3910747909409	-0.72275229403091	-0.661538602811224	-0.640562943083581	-0.178663371426028	-0.845420122382628	-0.221658186058979	-0.927375854402567	-0.136259081095377	0.136259081095377	-0.76428281377495	-0.6487831432686	-0.857716908036296	0.579479478261001	-0.0861262028964225	0.323591850389291	-0.0224347562462841	-0.365004199080326	-0.775991318863789
DDA3937_RS00010	DDA3937_RS00010	transcriptional regulator AsnC	-0.0151960229541242	0.0151960229541242	-0.676443305369655	-0.581173233792476	-0.482592157161874	-1.77931392991562	-1.60414833105607	-2.11808633821637	0.0312985893990002	-0.0312985893990002	-0.850891013788799	-0.677246836495041	-0.937047798645935	-0.77222978946594	-0.617175122243298	-0.454038038171044	-0.533474475036383	-0.65655900698646	-0.34222172273287	-0.408667582431879	-0.502256736155983	-0.42467700973933	-0.508986964469198	-0.635672215848544	-0.233724659759793	-0.376931687173603	-0.384561686631329	-0.234665688850267	-0.464841063310727	-0.424254030928141	-0.38137655117082	0.0311452800140783	-0.0311452800140784	-0.338330685891761	-0.374520656359731	-0.419426849609931	-0.761221187752629	-0.928210693186416	-0.625989915719819	-1.79998220929636	-0.804119542954148	-0.847564294541955
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	0.0170486844373058	-0.0170486844373058	-0.519397423517034	-0.425627404601473	-0.436614818698873	-0.302342138371725	-0.459882414278387	-0.288685394135529	-0.0375303828065695	0.0375303828065696	2.10011474424178	1.95075011606626	2.05874493528597	-0.186676704416082	-0.589425927769968	-0.42186350970978	-0.12024606122406	-0.0986511864645676	0.00936451814017825	-0.255689618211747	-0.206830837342963	-0.608024556177636	-0.234935137971361	-0.347813688126661	-0.216862374250374	-0.29939323101865	-0.190794260599274	-0.164039563594484	0.0682162486942559	-0.167480791206221	-0.403242791967202	-0.0132348857665204	0.0132348857665203	-0.245650732210643	-0.355266120136734	-0.346522063459376	1.93496574223401	1.88254277018335	1.88349403034703	-0.323095241089939	-0.514270763155534	-0.408017172238137
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	0.033861206556981	-0.033861206556981	-0.485499791963872	-0.532652898583255	-0.507341178762601	-0.346423548826758	-0.384488405128281	-0.292211644527772	0.0322202065647783	-0.0322202065647783	2.38924682906033	2.02678339890407	2.25614017781443	0.0754659947391294	-0.417241257701454	-0.393302049874114	-0.407254712422368	-0.40667576985584	-0.198139755972225	-0.261072685840308	-0.217081407570261	-0.237185389310521	-0.213621252182941	-0.132818524797917	-0.379309809611463	-0.206893234493426	-0.158630883727171	-0.293681845560732	-0.27276733943779	-0.239876479510417	-0.130623917753695	-0.0298175233972733	0.0298175233972732	-0.323009194110728	-0.301096763821588	-0.360920089021171	1.95234850257452	2.19414144448045	2.09188494920106	-0.42483237283546	-0.260419042372764	-0.126489579722946
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	-0.0238578890011801	0.0238578890011802	-0.717513431320127	-0.638267423651967	-0.61264134293761	-0.513965580298265	-0.641971234666127	-0.488688426923038	0.0617852120810429	-0.0617852120810429	-2.9739292126646	-2.74991076805732	-3.06858874252018	-0.323019891718311	-0.301203611105511	-0.428471830834585	-0.188023139938008	-0.173669784069042	-0.305732015673027	-0.297130788207192	-0.382093605543069	-0.388031861152633	-0.135652673177668	-0.268344852990797	-0.461144565287599	-0.116151883680824	-0.2325034762473	-0.263635267935005	-0.287471385344245	-0.271683911983508	-0.169221142603027	-0.0321644523873736	0.0321644523873737	-0.458248441969392	-0.390207992620118	-0.336070933707769	-2.51009011400029	-2.81662334412674	-2.92009724882567	-0.602761011408247	-0.342604964120983	-0.359272728633704
DDA3937_RS00030	DDA3937_RS00030	D-ribose pyranase	0.0644380350352915	-0.0644380350352916	-0.547279368622435	-0.396246693360923	-0.388909197291551	-0.455100459014169	-0.419833171380187	-0.634300724228614	0.16734819090804	-0.16734819090804	-0.668029484346332	-0.511512640596346	-0.31877097327287	-0.570765329378928	-0.0766046327535612	-0.427419032959206	-0.147928745825633	-0.108389446242928	-0.281285046282321	-0.618002122768607	-0.22073097493027	-0.124387285548745	-0.141309186305691	-0.581331766540796	-0.280397635059833	0.518804122921281	-0.243081333919353	-0.408904237536748	-0.320440843779946	-0.0867041469991383	-0.0934828347133747	0.130981980678579	-0.130981980678579	-0.368482977242038	-0.464500719732034	-0.406650129243665	-0.0855055533888758	-0.350181029159213	-0.0509538395736699	-0.542580878519882	-0.341526437726156	-0.617943319196127
DDA3937_RS00035	DDA3937_RS00035	ribose ABC transporter ATP-binding protein RbsA	0.0441787785581144	-0.0441787785581144	-0.560130776544927	-0.568403957961039	-0.378904615324015	-0.628791524697066	-0.658566974788603	-0.605430102236119	-0.116650579090998	0.116650579090998	0.00754868494662086	-0.127589964137595	-0.269977254463639	0.077091057199437	-0.389053461085439	-0.158293124643265	-0.295337995101159	-0.621927006078621	-0.3420458726379	-0.571184822981102	-0.490792538532944	-0.441375679725795	-0.341227940823661	-0.556109041521544	-0.370079908804728	-0.692902788105053	-0.435148951810251	-0.474024865587827	-0.494397538504513	-0.424066689523939	-0.550736537073849	0.0127267696856846	-0.0127267696856847	-0.486766960977619	-0.440749398798879	-0.434521127691311	-0.324783680491221	-0.139188415879454	-0.360717634841701	-0.539146509533633	-0.375904574843153	-0.470124929145488
DDA3937_RS00040	DDA3937_RS00040	ribose ABC transporter permease	-0.00857184075391257	0.0085718407539125	-0.594511720283405	-0.629882177230941	-0.593046481435114	-0.612032298487526	-0.672877182685999	-0.461751573138607	-0.0190983907656287	0.0190983907656287	-0.034174619669846	-0.379285365332205	-0.382729058236736	-0.292635781668656	-0.562980283139174	-0.126920235727759	-0.606128763231452	-0.547003943409185	-0.254888144475393	-0.438440668412421	-0.67304454560869	-0.78590835200177	-0.682784527930487	-0.322757437483942	-0.894775221873679	-0.740219267080313	-0.451516303429762	-0.64455139358928	-0.710003139577195	-0.53742835975503	-0.542502402128342	-0.115575915391212	0.115575915391212	-0.400786876532545	-0.303678730277356	-0.402774232885476	-0.106979472170084	-0.502148486459853	-0.443669023675011	-0.599715261722521	-0.817304859476864	-0.827122400759167
DDA3937_RS00045	DDA3937_RS00045	ribose ABC transporter substrate-binding protein RbsB	0.0870147156496139	-0.0870147156496139	-0.070532758603001	-0.0260320625726482	-0.0638145216568859	-0.14514111832143	0.0201074627753719	-0.0686023269354514	0.0403766840070287	-0.0403766840070287	0.0248871127999795	-0.569010625486396	-0.473631379475186	-0.547506498852909	0.0768219473894765	-0.522771114280481	-0.211890803819604	-0.514108887100774	-0.591706486194475	-0.276243802336809	-0.213234517155892	-0.17921427403634	-0.243292750340037	-0.259016153089078	-0.2513331753677	-0.0397469061341589	-0.139766304794682	-0.719776944079529	-0.712965209318726	-0.686534345800398	-0.3302454420287	0.0645236965701686	-0.0645236965701687	-0.531285934895297	-0.464002302445843	-0.454390970407044	-0.0607187036251786	0.159466793561696	-0.222055773968838	0.294374950170141	0.458014542629079	0.0639530767410723
DDA3937_RS00050	DDA3937_RS00050	ribokinase	0.069685868001337	-0.069685868001337	0.514594534476085	0.570070199614644	0.418281228943153	1.05235450676195	1.21189293881214	1.21548109940958	-0.0113339589015097	0.0113339589015095	-1.05682283831724	-0.693844780357652	-0.763419007091756	0.20751849742109	0.0500059171836367	-0.180280459957703	-0.0863511826632346	0.0808734174246215	-0.750060934533491	0.202708295703026	0.330002455059392	0.698589744993001	0.268879134282935	0.587613337530656	0.255151910446678	1.73862380395156	-0.0591323622905511	-0.886732276160793	-0.0556971202348915	0.176117378684275	-0.274721384136128	-0.0765493749060776	0.0765493749060775	-0.860029817550495	-0.780932244350591	-0.709456476659126	-0.436100942193931	-0.21905451426858	-0.523021184902639	1.77806016708224	1.2158843328507	1.41048343398602
