locusId	expName	sysName	desc	fit	t	nReads	nStrains	se	sdNaive	short	used	maxFit	gMean	nDetected
DDA3937_RS18610	setATCH128	DDA3937_RS18610	RNA chaperone Hfq	5.77558149023629	27.5900895236227	41556	37	0.209335366066544	0.0429641293818349	M9	TRUE	5.77558149023629	771.517678812416	37
DDA3937_RS13555	setATCH128	DDA3937_RS13555	flagellar motor stator protein MotA	4.74673092427575	28.7556033316093	29394	56	0.165071512134053	0.0431866936637361	M9	TRUE	5.77558149023629	771.517678812416	55
DDA3937_RS13550	setATCH128	DDA3937_RS13550	flagellar motor protein MotB	4.5186614718477	22.6176482673527	34799	67	0.199784761812312	0.0423249054816537	M9	TRUE	5.77558149023629	771.517678812416	66
DDA3937_RS15705	setATCH128	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	4.46671025998589	23.7548406274448	10570	41	0.188033686693117	0.0580909356404213	M9	TRUE	5.77558149023629	771.517678812416	41
DDA3937_RS13565	setATCH128	DDA3937_RS13565	flagellar transcriptional regulator FlhD	4.453376118917	20.8999321647084	20946	28	0.213080888675656	0.041630411936245	M9	TRUE	5.77558149023629	771.517678812416	28
DDA3937_RS13560	setATCH128	DDA3937_RS13560	flagellar transcriptional regulator FlhC	4.32711130472628	24.5950581137383	18073	42	0.17593417688691	0.0485345075165151	M9	TRUE	5.77558149023629	771.517678812416	42
DDA3937_RS13340	setATCH128	DDA3937_RS13340	flagellin FliC	4.08992977280319	17.9850925308188	5179	21	0.227406657252098	0.0862175193707671	M9	TRUE	5.77558149023629	771.517678812416	21
DDA3937_RS18610	setATCH129	DDA3937_RS18610	RNA chaperone Hfq	6.58935148176541	33.2028578940556	65581	37	0.198457358784923	0.0427500716853371	M9	TRUE	6.58935148176541	732.05641025641	36
DDA3937_RS13555	setATCH129	DDA3937_RS13555	flagellar motor stator protein MotA	5.37585842569636	30.6321222980615	39593	56	0.175497419780038	0.042975008922444	M9	TRUE	6.58935148176541	732.05641025641	55
DDA3937_RS13550	setATCH129	DDA3937_RS13550	flagellar motor protein MotB	5.0072442953373	23.8985418483881	40919	67	0.209520912493456	0.0422191013067913	M9	TRUE	6.58935148176541	732.05641025641	67
DDA3937_RS15705	setATCH129	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	4.89986886925149	29.5927888386698	13011	41	0.165576448234195	0.0577721405128269	M9	TRUE	6.58935148176541	732.05641025641	40
DDA3937_RS13565	setATCH129	DDA3937_RS13565	flagellar transcriptional regulator FlhD	4.75866381709223	23.631608819446	24023	28	0.201368592948967	0.0414772791426284	M9	TRUE	6.58935148176541	732.05641025641	28
