locusId	sysName	desc	setATCH200 Time0	setATCH201 Time0	setATCH202 LB	setATCH203 LB	setATCH204 LB	setATCH205 LB	setATCH206 LB	setATCH207 LB	setATCH208 PDB	setATCH209 PDB	setATCH210 PDB	setATCH211 PDB	setATCH212 PDB	setATCH213 PDB	setATCH214 M9	setATCH215 M9	setATCH216 M9	setATCH217 M9	setATCH218 M9	setATCH219 M9	setATCH220 Atlantic	setATCH221 Atlantic	setATCH222 Atlantic	setATCH223 Atlantic	setATCH224 Atlantic	setATCH225 Atlantic	setATCH226 Norland	setATCH227 Norland	setATCH228 Norland	setATCH229 Norland	setATCH230 Norland	setATCH231 Norland	setATCH233 Upstate	setATCH234 Upstate	setATCH235 Upstate	setATCH236 Upstate	setATCH237 Upstate
HGI48_RS00015	HGI48_RS00015	DNA replication/repair protein RecF	0.153858564126277	-0.153858564126277	-0.643182817436713	-0.0215008675961066	-0.00233436194158476	0.863580156813983	0.226433794664009	-0.293115650188703	-0.0859179341844583	0.335490675190889	0.159590748334655	0.367344340794112	-0.112210344121197	-1.08766548926174	0.110361360700419	-0.389359163376171	-0.18481426871686	-0.887655008781789	-0.217041905390494	-0.158036491609129	0.162049528011053	0.626482130038561	-0.821406056629351	-0.821205130679576	-1.50826415130269	0.192347087562665	-0.0116212200605675	-1.47088740457107	-0.0130763582966253	0.294122805943728	-0.438382901872633	0.256346425106509	-0.397152515271486	-0.566441521936716	-0.130751999197244	-0.090689816778954	0.454036149677909
HGI48_RS00025	HGI48_RS00025	AAA family ATPase	0.0548623117920427	-0.0548623117920423	0.185794889439352	-0.0130558421391646	0.0238410221222434	-0.217563298008619	0.0497945539056173	-0.0357458343073436	-0.25134181219641	-0.212008470648097	-0.236714113464038	0.023664604494181	0.0304633375043464	-0.250589799072083	-0.0174081836671249	0.120634155483336	0.0519601259570367	0.0236017039169998	0.39844400907759	-0.0513026287739125	0.212794368148793	0.164091988947636	-0.0318177316994904	-0.0513742999944302	-0.166937112137974	0.197432557005636	-0.0841697622412841	0.109822223949605	-0.0703359762580593	-0.212980169496016	-0.105559491396943	0.0832723111938859	0.158373211997775	-0.155863403211371	-0.220139472934866	-0.231929790110534	-0.184821670064187
HGI48_RS00035	HGI48_RS00035	MFS transporter	-0.112841445224188	0.112841445224188	0.0295749659082156	-0.104703968403701	0.146581039947995	0.138079053036992	-0.170907567077094	-0.127633204186657	-0.0390335491563674	0.0277368248786701	-0.0427004184078444	0.27992239938543	-0.0827703764151393	-0.185867906097843	-0.22717187202852	-0.0550819169283959	0.0705142264463209	0.125224697361652	0.10861804990039	0.0370719855355512	-0.0686051979075759	-0.120453704058493	0.220199323854324	-0.123355050528947	-0.560009393203814	-0.129807966593164	0.170107261532317	0.165525878790114	-0.263914048966428	-0.134530846634426	-0.176281577482936	-0.0757866734694566	-0.155281453566867	-0.438037340247002	0.201536604641319	0.0769209101525252	0.296960391898118
HGI48_RS00040	HGI48_RS00040	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	-0.223193945612027	0.223193945612028	-0.23507749102335	0.567681397238368	-1.06617880625837	0.211640801990925	-0.0938777854638828	0.162282301509484	-0.36455791524174	-0.600276751008492	0.063478278867014	-0.640047705302171	-0.165923221258482	0.225614727473504	0.0552748982337615	0.230292860593487	0.832875062632677	-1.17328229523068	-0.62525312538175	0.131534269067944	-0.839511682423973	0.297736713571224	-1.27432044305333	-1.01372203003992	-0.6750531679083	-0.702526261333816	0.00749447616030008	-0.0850279699339245	-0.587094211798991	0.0186082081450236	-0.352594935085484	0.222537496573466	-0.559431480014493	-0.204482714879877	-0.208375827546512	-0.306906930912642	0.382622699079708
HGI48_RS00045	HGI48_RS00045	oligopeptidase A	0.0801274624793343	-0.0801274624793339	0.0493105426987618	-0.1409817433383	-0.0433920090498274	0.0310079734415014	0.111914716677023	-0.178052678808724	-1.24277174406188	-1.81234207886565	-1.54487788057262	-1.34472445824004	-1.28285703109797	-1.21056243215983	0.387353323826808	-0.0460974104426807	-0.23024657253037	0.204791898535596	0.289147263838484	0.284411321844091	-0.223260902155308	-0.109628256406397	-0.176609371759321	-0.36941125942287	-0.179715458221719	-0.183514190020908	-0.0658687394295517	-0.171740031643934	-0.491706626656556	-0.298240310242225	-0.0582145141124365	-0.205506099507812	0.0299650764308831	-0.525325390108187	-0.222097545607198	-0.021381229511541	-0.0927576035220359
HGI48_RS00050	HGI48_RS00050	DUF2623 domain-containing protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGI48_RS00055	HGI48_RS00055	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.0499244171076469	0.0499244171076474	-0.144027397232391	0.127188154961307	0.105312784967345	-0.146699441382028	-0.0499987224219047	0.11222084885573	0.276113540270421	-0.0294941726032508	0.0893187787400566	-0.284996344047208	-0.412121014893049	-0.0946884607739059	-0.151076990568733	0.319831798202747	0.105297892536715	-0.162093236671638	0.0408836635952596	0.028119486008517	0.121963871590735	0.267677768265693	-0.0140616467354467	-0.123910864978361	-0.173915837430588	-0.254726947661349	0.128544944426494	-0.207536692792397	0.297149234663404	-0.110730417667605	-0.120542488228387	0.00608870127762806	0.180949629044085	-0.0412237415336143	0.472880832915115	-0.209316353474253	-0.22458587467955
HGI48_RS00060	HGI48_RS00060	ribonuclease Z	-0.33125211158419	0.33125211158419	0.51441599043872	0.146153179212883	0.193657364124799	-0.209010151936027	0.0104207453480774	0.0736375538385696	0.332614511542686	-0.410396645810032	-0.261533201382335	-0.304170512100149	-0.214827428959257	-0.513940687366051	0.0787338623196492	-0.502729185601975	-0.187646518999843	0.157173008978332	-0.7446844427549	0.00724440733309217	-0.0956165771347661	-0.180156237416226	-0.416959501973356	-0.0696112044606381	0.830949910830409	0.188309414183492	-0.235381555127066	0.00672020710123511	-0.17108082555421	0.109046125817283	0.501510270503302	-0.0267587226818617	-0.0182271229888322	-0.312480923024506	0.0716626636853589	-0.0437516636046131	0.414354753586604
HGI48_RS00065	HGI48_RS00065	glutathione-disulfide reductase	0.119153791316903	-0.119153791316903	-0.552992714190183	-0.146281840301799	-0.169979060634827	-0.204501971274258	-0.0798299024634268	-0.359066102329007	-0.0978867579913385	-0.0855197641687117	0.00137795342020064	0.0249357023506787	0.0835010460550962	0.132244637190477	-0.114154891115004	0.599231369355918	-0.0383184371574644	0.126599672059315	0.238991492220783	-0.195099425878304	0.355848397635148	-0.998229764659709	-0.171029012106566	0.0754365927004622	-0.83375144038698	-0.0757856910253125	-0.508802877169006	-0.123808274598025	-0.312245709622072	-0.297885389824706	-0.118567233714328	-0.83645775926993	-0.548565005227797	-0.408320738126046	-0.318314649647574	-0.255607943771197	-0.224482760723076
HGI48_RS00070	HGI48_RS00070	MBOAT family protein	0.181543201296222	-0.181543201296222	-0.528503158413249	-0.30096715713448	-0.239075837937326	-0.432497093689668	-0.469206756720036	-0.102780956641418	0.0858624756966633	-1.22629181856722	0.0548666698291713	-0.451830919298006	-0.578794849103247	-0.0199065745221251	-0.0824229564662159	0.0597183171692014	-0.268170978868432	-0.250648680014593	-0.509328811823008	-0.86354772111427	-0.35735696975617	-0.067333052893233	-0.841769167768911	-0.235315033155949	0.599673711905742	-0.372539942957866	-0.680027979680393	-0.254566295480684	-0.494316889805585	-0.0552289364216589	-1.06276457546071	-0.0110899188369269	-0.199223979401658	0.0747680263833239	-0.724974052925275	-0.484036012242794	-0.793014360339797
HGI48_RS00075	HGI48_RS00075	DUF459 domain-containing protein	-0.025209047915252	0.0252090479152525	-0.107771863221441	6.73205871706273e-05	0.249693278751734	-0.130014165208145	0.0957858344643236	-0.0745142948509578	-0.233111312754747	-0.0851733417015588	-0.469070691416966	0.174440976418964	0.157930434821146	-0.357925169055503	0.113214168524646	-0.23143487191648	0.263536251491877	0.26140801014629	-0.72759439204247	-0.323996974294796	0.230940232688323	0.137153999687298	0.365001341513412	0.324728824731296	-0.11116475499352	-0.2072615839974	0.0415938248312474	0.142405925672127	-0.0299277754964176	0.204545201509297	-0.118561472012689	0.146850180450226	0.0898390971738824	-0.114875076859716	0.0756760894485132	0.107490840198218	-0.0966097946605942
HGI48_RS00080	HGI48_RS00080	hypothetical protein	-0.0782657672019119	0.0782657672019124	-0.20933232600381	0.117436073733667	0.159028659912064	0.266625433069489	-0.306667558549157	-0.309924321879179	-0.0284837663730183	-0.147409518867643	-0.230050247285739	0.0792640360412938	-0.205293519625829	0.0383997412241346	-0.0361869779140925	0.0889487797535692	0.00812685888363329	-0.479129089074603	0.171614889185042	-0.0911525193910778	0.0652865315108389	0.187881531387815	-0.135035098372681	-0.58966593394428	0.0688233078868304	-0.0770673849256471	0.161581634043675	0.0991491919059635	0.624291632763846	0.177561296912952	0.0315199340576212	-0.0867757088747896	0.155316501002929	-0.397949409738519	0.109341394755045	-0.0857214155465718	-0.00334704887033244
HGI48_RS00090	HGI48_RS00090	formyl-CoA transferase	0.126874132113406	-0.126874132113406	-0.0012587934152577	0.144688323269023	-0.238979549710823	-0.0651084567846933	-0.0444977186134614	-0.0466916646901253	0.065138979224008	0.0800519637296695	-0.0651537720986853	0.155881125770142	0.208656299951284	-0.0621216358803477	-0.236189958684616	-0.207505722542219	0.285308868732596	-0.38737492935058	0.175217899729838	0.00208201984505418	0.116635067592333	-0.101943492194719	-0.487917111421776	0.327843048016367	0.252555183358807	-0.0241532438191365	0.095275938853609	0.0918300277938676	0.542235174413874	0.0895670535625874	0.141720964007361	0.22629249554785	-0.342922985309196	-0.0902937321658053	-0.10214990550056	0.0553451190463712	0.175030835685063
HGI48_RS00095	HGI48_RS00095	PAS domain-containing protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGI48_RS00100	HGI48_RS00100	formyl-CoA transferase	0.0363825447041249	-0.0363825447041246	-0.0512512745839669	-0.0936298457937518	0.173604272125684	0.0704760392763164	-0.0497847791396588	-0.16418705421736	-0.452172489335948	0.0852376877640062	-0.0149718023997435	-0.251232180451379	0.000885203826276326	0.078321409262344	0.212887699978697	0.211082083629427	-0.0328027552013422	0.104769078041168	-0.0262674506245486	0.151325289551029	-0.0713229487486886	-0.121897170980551	-0.103282542707917	-0.389911520625621	0.430830726759788	0.168179756812772	0.0544751603815553	-0.0369219140010393	-0.0562635972186885	-0.0334142394504513	-0.1113846805927	-0.0153197544138188	-0.158591943162411	-0.0901126446286702	-0.212966693240109	-0.0454500883481908	-0.0081389620894039
HGI48_RS00105	HGI48_RS00105	oxalyl-CoA decarboxylase	0.0948196533848509	-0.0948196533848504	0.0742006811153425	0.0012817973250151	-0.0548031918953278	-0.236878537773785	-0.024797615507461	0.0973628085978718	0.0725709698006549	0.119832186248572	-0.00567219217458026	0.122921467898158	0.0382518387441937	0.165130554972403	-0.227968402286371	-0.0486355580257357	-0.0565891739689567	-0.189727748757182	0.261485313440503	-0.532858981462376	-0.119859505701177	0.127036854978938	0.474267818715705	-0.229575240049512	0.43039566327337	-0.0305781305090167	-0.00794390512324805	0.114499553663833	-0.145053532814107	0.259037250334205	-0.104824961460847	0.0436242097789818	-0.0955040162207929	0.0922253555258895	-0.095361936166578	0.193672021220604	-0.0323081737854254
HGI48_RS00110	HGI48_RS00110	OFA family MFS transporter	0.141872806579266	-0.141872806579266	0.0599260579504308	-0.087291853992409	0.129760604867112	0.577311634346009	0.285099009138617	0.0974604687654093	0.197416297355922	0.0238829055584683	-0.171624199449973	-0.316897539550304	-0.0543105882319312	0.0853023471743479	0.281650033801561	0.105940113106919	0.197782203442018	-0.160495678701781	0.381083866993252	0.100001470481162	0.0542998147471554	-0.340931598306253	0.880898307010902	0.640989410409536	0.475537929514125	0.456373862604182	0.141018855741047	0.213910701555385	0.371084669209804	-0.015933318549503	0.179045971944855	0.02326157119556	0.228514276911709	-0.0724512775428867	0.419683901733031	0.411794660849741	0.11957504698332
HGI48_RS00115	HGI48_RS00115	LysR family transcriptional regulator	0.0360521416138264	-0.036052141613826	-0.192892655257039	0.0435502589144816	-0.181263299470128	0.00436766205351069	-0.155491216020674	0.249906157825633	-0.0714059451519167	-0.759587166318738	-0.313077015191686	-0.354875610423625	-0.127734672356431	-0.203296652519163	-0.245698524859344	-0.163933381223913	-0.204373158946626	-0.449459632517995	0.153284889884598	0.136315554799029	0.0159511417513634	0.0913318198685061	-0.477916785797169	-0.398270334254582	-0.623198355276095	0.0630510255584835	0.102111990113925	-0.280470949654988	0.297419294587873	-0.199245372642985	-0.0368215769994188	-0.17935131338031	0.497372954849315	-0.201790378193335	0.0203342429151415	0.0124526112365411	-0.352866450240474
HGI48_RS00120	HGI48_RS00120	GNAT family N-acetyltransferase	0.119875783365801	-0.1198757833658	0.136506461735724	-0.043067828787817	-0.106976750005553	0.140720348707843	-0.211485800824387	0.315012673380054	0.442479980273076	0.272558871560929	0.486745873497693	0.191119668539385	0.277017372058898	0.120781267295168	0.666822711823365	-0.49380430608116	0.478096014461439	-0.386606098284437	-0.49196243310528	0.0975143573375046	-0.0846565246553552	-0.215330748795011	-0.38491366222396	-0.360912544322628	1.53175726895897	0.0266567599404541	-0.0368065462664323	0.00339943780458873	0.200615047640702	0.0114308894475974	0.579382449564154	0.504311012795229	0.379685494890175	0.213524350168247	-0.0214134492176302	0.207586148285286	0.514041843715473
