locusId	sysName	desc	setATCH200 Time0	setATCH201 Time0	setATCH202 LB	setATCH203 LB	setATCH204 LB	setATCH205 LB	setATCH206 LB	setATCH207 LB	setATCH208 PDB	setATCH209 PDB	setATCH210 PDB	setATCH211 PDB	setATCH212 PDB	setATCH213 PDB	setATCH214 M9	setATCH215 M9	setATCH216 M9	setATCH217 M9	setATCH218 M9	setATCH219 M9	setATCH220 Atlantic	setATCH221 Atlantic	setATCH222 Atlantic	setATCH223 Atlantic	setATCH224 Atlantic	setATCH225 Atlantic	setATCH226 Norland	setATCH227 Norland	setATCH228 Norland	setATCH229 Norland	setATCH230 Norland	setATCH231 Norland	setATCH233 Upstate	setATCH234 Upstate	setATCH235 Upstate	setATCH236 Upstate	setATCH237 Upstate
HGI48_RS00015	HGI48_RS00015	DNA replication/repair protein RecF	0.256085850707064	-0.256085850707064	-0.438116802705724	-0.292542319361842	-0.251808114137599	0.432349769295063	-0.032059067862152	-0.492081328336691	0.00779754203972843	-0.13004544127784	0.15132035023439	-0.319631174627707	0.221021987102757	-0.842663694688255	0.0300549537680822	-0.0870323908564985	-0.441759158629636	-0.620182175598016	-0.29105169841519	-0.0581276975861023	0.348822401926244	0.521235615732067	-0.162248372803306	-0.0410827905092772	-0.472967867062221	-0.364376947425189	-0.0672108538962652	-0.875787446746013	-0.436004174886689	-0.276518394092326	-0.410195160513813	0.0940002787612545	-0.30975348719137	-0.208695315812959	-0.313774672432269	-0.255655424251612	0.113758453996964
HGI48_RS00025	HGI48_RS00025	AAA family ATPase	-0.00887797509649246	0.00887797509649246	-0.129577687483715	-0.243903454852824	-0.337063579887338	-0.438213177962728	-0.201255298560415	-0.260910780482243	-0.173852224076839	-0.322676830731493	-0.381174220267995	-0.292595418213539	-0.216526953280435	-0.324888511031951	-0.370830705565617	-0.154888642572839	-0.2190274584625	-0.145804298296905	0.0795417512523668	-0.243509741698841	-0.213842466074788	-0.161415803692521	-0.222292398756632	-0.330394014980224	-0.250681256961757	0.00427146323276584	-0.343852004038291	-0.193189889540891	-0.287580946649834	-0.381998776623873	-0.311113509776843	-0.132644326409129	-0.148008586274547	-0.370451438295509	-0.41819688743784	-0.312781436183494	-0.302388140347052
HGI48_RS00035	HGI48_RS00035	MFS transporter	0.0145199605621151	-0.0145199605621151	-0.300244270517141	-0.38645933368297	-0.237645918286566	-0.230199302185366	-0.505551044714141	-0.245626542914947	-0.0607943935163097	-0.174102382354419	-0.0128634952486182	-0.0288049343997604	-0.169830067592937	-0.205415249654951	-0.372544910936341	-0.190427934081112	-0.186769383737663	-0.351916514340805	-0.200682139196666	-0.328736061049899	-0.290402377244011	-0.380517718779453	-0.193891588021875	-0.236251607429008	-0.595730071974308	-0.236974404611558	-0.177440288658128	-0.0627047689292183	-0.58463067543457	-0.139312630077861	-0.407060123926165	-0.306153123091813	-0.33803213192824	-0.566450100968697	-0.169412866867118	-0.173333550485514	-0.0973042459299702
HGI48_RS00040	HGI48_RS00040	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	-0.413131552775637	0.413131552775637	-0.339859162741376	0.128199161664619	-1.2443805231785	0.110029441089327	-0.551557099654554	-0.0536762277698078	-0.152698328784814	-0.364365032642385	-0.336826462620681	-0.699716030806007	-0.658488241455957	-0.201310055959979	-0.386258669679781	-0.347634370691688	0.331903703706159	-0.875258919920981	-1.16688756207553	-0.797366281335882	-0.848675921015966	0.113361965517275	-1.40459439570209	-1.05709154373945	-0.831379261161444	-1.17433635480298	-0.882500905069033	-0.464702647798101	-0.62537090463842	-0.433121614554159	-0.519847101238814	-0.0509334860738468	-0.669530461309752	-0.431539611643634	-0.539395154950445	-0.764372219525564	-0.342568546505507
HGI48_RS00045	HGI48_RS00045	oligopeptidase A	-0.00971769487398622	0.00971769487398622	-0.127452204054576	-0.428040418784409	-0.433791825681491	-0.366247111978831	-0.171630717398384	-0.56345393711698	-1.37442232472004	-1.67484139864687	-1.45337760748076	-1.59205303166287	-1.711754615402	-1.4147284484616	-0.115996064935089	-0.182976102535672	-0.510148252352228	-0.308456283270832	-0.205304067018482	-0.402526665008879	-0.55708376193192	-0.229830678758321	-0.512660664483638	-0.340475762131941	-0.302791348367273	-0.622055912489145	-0.448030481283338	-0.444977460517745	-0.481105906557028	-0.606039532194164	-0.452332800203764	-0.422811805344017	-0.422842639942625	-0.607185146853325	-0.62935976228433	-0.361248562516793	-0.454218958339845
HGI48_RS00050	HGI48_RS00050	DUF2623 domain-containing protein	-0.000107472146919085	0.000107472146919085	0.354371997271931	0.241949063107656	-0.23873790932354	0.120935357892444	0.154064383491613	0.0385188089238021	0.275117443844801	-0.0923978477701863	-0.361182390793231	0.351753040309886	0.623270385969006	0.297428800798369	0.392377482818249	-0.928490990411642	-0.173655505388294	0.403922033322244	1.22035663134468	-0.134520452918321	0.0693034063167488	0.696283357094701	0.151240402907184	0.0397422630290994	0.10001934400004	0.0679847365970901	-0.222026173736443	-0.146242079235377	0.231230042599294	-0.00431736539288874	-0.0337376721642275	0.19314323893633	-0.254351158683766	0.311050684032284	-0.799600335322239	-0.00403759038169926	-0.0150463158768552
HGI48_RS00055	HGI48_RS00055	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.0319801534094468	0.0319801534094468	-0.41908303808974	-0.21627198617556	-0.274831387533725	-0.527285319704576	-0.40984924034983	-0.159145606233932	0.0342645762895434	-0.163973395326127	-0.0686696179503241	-0.446837875276592	-0.463444069134691	-0.296288880020133	-0.463970999844709	-0.122431795621132	-0.229753721439963	-0.540271741771658	-0.369121032426395	-0.458252690955	-0.145324063366885	-0.0850395688673474	-0.542355141512707	-0.183143812331974	-0.0995497936984276	-0.495633172336708	-0.244213436333104	-0.362527857019369	0.0457005085245101	-0.424484100143272	-0.321271608347517	-0.353339208967156	-0.197173943262051	-0.294563602309799	-0.0462299508469614	-0.259061513581604	-0.397368686356822
HGI48_RS00060	HGI48_RS00060	ribonuclease Z	-0.161453296705502	0.161453296705502	-0.0456364593214886	-0.170901950689142	-0.5007954576958	-0.397685977451754	-0.432772925694072	-0.251745578114986	0.0267610640336688	-0.100047781890477	-0.276506130082549	-0.251194326103703	-0.356886668378685	-0.319632667442545	-0.365554936365821	-0.647728319518089	-0.19033675194624	-0.382510923003875	-0.602662625913342	-0.160026819666595	-0.380028442181594	-0.43727613137241	-0.0811151035691366	0.0447957049460679	0.0893345625101608	-0.113166265381113	-0.280146099827694	-0.363434321006906	-0.205710220056684	-0.338559459596433	0.0459486358992607	-0.407638786165378	-0.594235477409441	-0.226844316615517	-0.446009432820918	-0.180100896748768	-0.17628243788504
HGI48_RS00065	HGI48_RS00065	glutathione-disulfide reductase	0.101707251477215	-0.101707251477215	-0.425995852188002	-0.467890703403242	-0.307812323186982	-0.333950346365241	-0.260464887817043	-0.340847746345991	-0.0224905824255343	-0.265275632411569	-0.123889955332456	-0.133463150536427	-0.205303269919536	-0.013701356828791	-0.3232423625185	-0.133078485097286	-0.275457979952585	-0.199935078162474	-0.166370291729818	-0.356800763499938	-0.346462861719271	-0.504698096391077	-0.270588871431779	-0.23798255848067	-0.507942791056869	-0.357831385114553	-0.573568555856526	-0.459721271613196	-0.449370158037257	-0.264699714214145	-0.478333262476041	-0.562448929722115	-0.62417865584621	-0.359617883771891	-0.559994480002496	-0.504398076286401	-0.128698226000504
HGI48_RS00070	HGI48_RS00070	MBOAT family protein	0.147499275907217	-0.147499275907217	-0.492091291896124	-0.427034318696783	-0.476291882904848	-0.420623761891782	-0.235311472633652	-0.347313092796821	-0.107276399529209	-0.430532525003782	-0.198620094019888	-0.307411925140533	-0.356110852700188	-0.540374440198271	-0.385328882735042	-0.370229775822537	-0.414573799579976	-0.501068586604859	-0.51723235950718	-0.442075789418519	-0.409699664152854	-0.0956369230753853	-0.422804318457277	-0.0453413630834549	0.239491791713791	-0.439473179876557	-0.495887053975833	-0.365301814550559	-0.350560767107422	-0.4664295140832	-0.483649684695933	-0.213129699821871	-0.53035395380286	-0.0730158098024899	-0.546356739415594	-0.634248481098475	-0.503995346747295
