name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH200	Time0	1/26/21 Ddia6719	1	1737297	4127	1027169	999872	173	289	283.410430839002	0.00572934089526899	0.214958200658397	1.32651927429405	1.32104246246127	-0.0131584316938835	0.0233735174078084	-0.00335293791885434	1.07775649604679	FALSE
setATCH201	Time0	1/26/21 Ddia6719	2	2885542	7034	1705960	1660811	289	173	470.75141723356	0.00572934089526899	0.214958200658397	1.32104246246127	1.32651927429405	-0.0131584316938835	0.0233735174078084	0.00335293791885434	1.45177235148571	FALSE
setATCH202	LB	1/26/21 Ddia6719	3	3125655	7928	1855866	1760291	303	463	498.948696145125	0.0776028226381529	0.231240836005163	1.39263837829927	1.3177023839845	0.0765414261176093	0.0133401975314872	-0.0251935127817042	0.946827885669591	FALSE
setATCH203	LB	1/26/21 Ddia6719	4	3143478	7141	1867263	1770933	303.5	463	501.965136054422	0.114466165735339	0.218272896783879	1.40482882408106	1.3177023839845	0.111738840495252	0.0466184112019137	-0.059123106045876	1.21664412234883	TRUE
setATCH204	LB	1/26/21 Ddia6719	5	2850205	9463	1692024	1604820	273	463	454.880952380952	0.117913793896367	0.231055360568045	1.37114296304973	1.3177023839845	0.120903328216241	-0.0217416155165252	-0.0403231081125742	1.10640372630894	TRUE
setATCH205	LB	1/26/21 Ddia6719	6	2390533	5450	1420677	1347163	229	463	381.848922902494	0.0804139454390183	0.240922704589414	1.36980112980542	1.3177023839845	0.0675720991089265	0.0382982090706912	-0.0461634051741001	0.935029295674528	FALSE
setATCH206	LB	1/26/21 Ddia6719	7	2362949	5606	1405243	1332311	228	463	377.639172335601	0.129831766466196	0.223414878309058	1.39113197054739	1.3177023839845	0.0692434516991766	0.0200662336645464	-0.0256079869392762	1.16702947398016	TRUE
setATCH207	LB	1/26/21 Ddia6719	8	3315501	7485	1970220	1870384	319	463	530.154195011338	0.117328670183725	0.217763283681596	1.38550358376337	1.3177023839845	0.052195512410007	-0.0432204141215232	-0.0314442469691681	0.911677363997708	TRUE
setATCH208	PDB	1/26/21 Ddia6719	9	3465973	8114	2059372	1948557	336	463	552.312074829932	0.233835982230177	0.276481636917673	1.37102334651344	1.3177023839845	0.212715645963087	0.0356183279384412	0.105879999511177	2.58514394522135	TRUE
setATCH209	PDB	1/26/21 Ddia6719	10	2648273	6201	1573376	1489900	256	463	422.307256235828	0.252911212406588	0.269331109147988	1.37851162325373	1.3177023839845	0.24619721345244	0.0125871973817788	0.105801724391333	2.34660028483047	TRUE
