locusId	sysName	desc	expName	expDesc	fit	absDiff	p
HGI48_RS19785	HGI48_RS19785	Fe-S biogenesis protein NfuA	setATCH206	LB	-1.12437851145317	1.99238144097071	0.00645158328865442
HGI48_RS05455	HGI48_RS05455	pyrimidine/purine nucleoside phosphorylase	setATCH208	PDB	-1.32646387610298	1.41545902062673	0.00143906572589139
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH208	PDB	1.41257688132837	1.26251349591358	0.00231162224550325
HGI48_RS09155	HGI48_RS09155	DUF3413 domain-containing protein	setATCH209	PDB	2.34660028483047	1.59187805991631	0.0049034603548209
HGI48_RS12650	HGI48_RS12650	transcriptional regulator SlyA	setATCH209	PDB	1.19930544746266	1.00584030350701	0.00893399596640015
HGI48_RS12650	HGI48_RS12650	transcriptional regulator SlyA	setATCH210	PDB	1.17686192920175	1.14544462999062	0.00364345206038072
HGI48_RS12650	HGI48_RS12650	transcriptional regulator SlyA	setATCH211	PDB	1.35315908222319	1.30433250063599	0.00198789832735173
HGI48_RS07030	HGI48_RS07030	methyltransferase domain-containing protein	setATCH212	PDB	1.10714267005616	1.75982246079417	0.00012858822491431
HGI48_RS14260	HGI48_RS14260	NADH-quinone oxidoreductase subunit L	setATCH212	PDB	1.51617424103301	1.93699124389184	0.000175186693808651
HGI48_RS00740	HGI48_RS00740	glycosyltransferase family 9 protein	setATCH213	PDB	1.05668330186114	2.1641502688294	0.000345175830660172
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH213	PDB	1.39885258788291	2.3458040010755	0.00709717091057924
HGI48_RS05740	HGI48_RS05740	P-II family nitrogen regulator	setATCH214	M9	2.11983895932212	2.92658214921681	4.28365601548575e-05
HGI48_RS06120	HGI48_RS06120	phosphoribosylaminoimidazolesuccinocarboxamide synthase	setATCH214	M9	-2.25317076910356	2.47723689764689	0.00878228991130648
HGI48_RS07780	HGI48_RS07780	ABC transporter substrate-binding protein	setATCH214	M9	1.29743164463297	1.8335989651669	0.000737343222643627
HGI48_RS08380	HGI48_RS08380	DNA sulfur modification protein DndB	setATCH214	M9	-1.25281119830069	1.63586567141275	0.00185188296632453
HGI48_RS08920	HGI48_RS08920	5-oxoprolinase subunit PxpA	setATCH214	M9	1.33769503934254	2.50434448109992	4.03023500442606e-07
HGI48_RS08940	HGI48_RS08940	biotin-dependent carboxyltransferase	setATCH214	M9	1.39450465335496	2.59515048098735	0.000286347512531536
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH214	M9	3.09432263672883	2.74621766908291	1.35117783202517e-05
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH214	M9	2.31224776954199	3.37649104345197	4.61735967570261e-06
HGI48_RS13915	HGI48_RS13915	hypothetical protein	setATCH214	M9	2.93870309554343	1.17019472518785	0.00292879712494364
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH214	M9	3.06897025532903	1.50937132643545	5.68780800194382e-12
HGI48_RS05740	HGI48_RS05740	P-II family nitrogen regulator	setATCH215	M9	1.80110101190043	2.88337788496991	0.00293056603266183
HGI48_RS07780	HGI48_RS07780	ABC transporter substrate-binding protein	setATCH215	M9	1.26439542896654	2.11134573213877	0.000142575654601872
HGI48_RS08920	HGI48_RS08920	5-oxoprolinase subunit PxpA	setATCH215	M9	1.30688085178714	1.94981889181998	1.10647477758573e-05
HGI48_RS10365	HGI48_RS10365	thymidine kinase	setATCH215	M9	1.0966059367726	1.69098363921078	0.00371310649930863
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH215	M9	2.99764629321281	2.72783375283756	8.40001880469479e-06
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH215	M9	2.50179904839556	2.64892013046841	1.33971898125003e-05
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH215	M9	3.07342118149328	1.89946228003194	1.25912714042695e-14
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH216	M9	2.91958832026907	3.68065219549712	0.000628566691675603
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH216	M9	3.25761999071242	3.11791721100005	2.91654325778918e-10
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH216	M9	2.39585526165891	1.71294990920772	0.00152965143889712
HGI48_RS13915	HGI48_RS13915	hypothetical protein	setATCH216	M9	3.09514687006411	1.07192187226832	0.000411872705246194
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH216	M9	1.82325195283129	1.43741012158317	1.81750552319201e-17
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH217	M9	2.80738700104358	2.93985134727835	0.00503884751541199
HGI48_RS05740	HGI48_RS05740	P-II family nitrogen regulator	setATCH217	M9	2.08497506589573	1.9963895518793	0.000986988265255952
HGI48_RS07780	HGI48_RS07780	ABC transporter substrate-binding protein	setATCH217	M9	1.13248410759323	2.1222848592374	0.000110804471449221
HGI48_RS08380	HGI48_RS08380	DNA sulfur modification protein DndB	setATCH217	M9	-1.27648907648944	1.20689669571184	0.0046173417751963
HGI48_RS08920	HGI48_RS08920	5-oxoprolinase subunit PxpA	setATCH217	M9	1.37075758001791	1.8087274363103	3.16625138353342e-05
HGI48_RS08940	HGI48_RS08940	biotin-dependent carboxyltransferase	setATCH217	M9	1.2513967575706	2.00508875273093	0.00425308080921784
HGI48_RS10365	HGI48_RS10365	thymidine kinase	setATCH217	M9	1.41310276414301	1.37468877706297	0.00152912752078438
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH217	M9	2.79585481365334	3.0026478527879	5.29308593337826e-09
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH217	M9	1.85134204659435	2.47305399403245	3.69471314861493e-05
HGI48_RS13915	HGI48_RS13915	hypothetical protein	setATCH217	M9	2.789446733987	1.21889370972497	0.000125973422819935
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH217	M9	2.84174407077618	1.28701964574407	8.66629575108274e-12
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH218	M9	2.88040978490824	2.05697317380931	0.00479472303867067
HGI48_RS05740	HGI48_RS05740	P-II family nitrogen regulator	setATCH218	M9	2.4102895050591	3.04582468634424	1.96984459905074e-05
HGI48_RS07780	HGI48_RS07780	ABC transporter substrate-binding protein	setATCH218	M9	1.25356791020217	1.63805710678128	0.000416674953546822
HGI48_RS08920	HGI48_RS08920	5-oxoprolinase subunit PxpA	setATCH218	M9	1.20420545775505	1.95388547027072	1.21526479747884e-05
HGI48_RS08940	HGI48_RS08940	biotin-dependent carboxyltransferase	setATCH218	M9	1.12589978914237	2.11425440024973	0.000243330236714872
HGI48_RS10365	HGI48_RS10365	thymidine kinase	setATCH218	M9	1.16349118223049	1.68463319788071	0.00157650407721681
HGI48_RS11245	HGI48_RS11245	septum site-determining protein MinD	setATCH218	M9	1.14904146143215	2.07581484070409	0.000866798634706232
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH218	M9	3.06804324574193	2.86951955486038	2.86652805648215e-09
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH218	M9	2.51756401760887	2.51756997554006	6.90713849857201e-05
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH218	M9	3.05826738773923	1.84788594696838	5.5708624795674e-18
HGI48_RS01555	HGI48_RS01555	glutamate synthase small subunit	setATCH219	M9	-1.67386000708089	1.04423170431884	0.00187113039795103
HGI48_RS05740	HGI48_RS05740	P-II family nitrogen regulator	setATCH219	M9	1.51186511191242	1.67892550869886	0.00978470748462817
HGI48_RS13910	HGI48_RS13910	hypothetical protein	setATCH219	M9	1.10544452371532	2.2132215787766	1.67343735745745e-07
HGI48_RS13915	HGI48_RS13915	hypothetical protein	setATCH219	M9	1.44607309706047	1.17528954995997	6.85643980969132e-05
HGI48_RS21315	HGI48_RS21315	ribokinase	setATCH219	M9	1.75913804407541	1.23915692980474	2.38742627970759e-11
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH220	Atlantic	5.91051856514006	5.76744622918407	4.45505264476961e-08
HGI48_RS13905	HGI48_RS13905	hypothetical protein	setATCH220	Atlantic	1.89020471180871	1.54504298311174	0.000105532304506144
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH221	Atlantic	5.9690263896399	5.42706486991617	5.87885461277623e-05
HGI48_RS04380	HGI48_RS04380	GNAT family N-acetyltransferase	setATCH221	Atlantic	1.09366950642983	2.60192500851681	0.00339143849658117
HGI48_RS18075	HGI48_RS18075	siderophore-interacting protein	setATCH221	Atlantic	-1.09943578503434	1.81449125903885	0.00507586962043983
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH222	Atlantic	4.09755778836977	4.70589512904625	8.78947744571482e-05
HGI48_RS07580	HGI48_RS07580	ABC transporter ATP-binding protein	setATCH222	Atlantic	-1.02428029390655	2.13897748365103	0.000915688896259345
HGI48_RS21220	HGI48_RS21220	ribosome-dependent GTPase TypA	setATCH222	Atlantic	-1.38145237766107	1.80587600237058	0.00159096760275072
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH223	Atlantic	4.64158522053123	5.48486905876033	0.000297568067260568
HGI48_RS02765	HGI48_RS02765	YqjK-like family protein	setATCH223	Atlantic	-1.06195879766789	2.62542249841294	0.00503705159521987
HGI48_RS13175	HGI48_RS13175	beta-ketoacyl-ACP synthase II	setATCH223	Atlantic	-1.05317175958134	1.53138828991413	0.000682685154484602
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH224	Atlantic	3.49384716454023	4.74259338885268	2.26898809193241e-05
HGI48_RS06065	HGI48_RS06065	phosphoribosylglycinamide formyltransferase	setATCH224	Atlantic	-1.00130138471533	1.7201228512773	0.0024896770168795
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH225	Atlantic	6.14400657950391	6.80808578281335	5.17184811758383e-05
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH226	Norland	3.88902039223656	4.7477640554601	1.4934394690227e-13
