locusId	sysName	desc	comb	setATCH113 LB	setATCH114 LB	setATCH115 LB	setATCH131 M9	setATCH132 M9	setATCH133 M9	setATCH168 PDB	setATCH169 PDB	setATCH170 PDB	setATCH171 Atlantic	setATCH172 Atlantic	setATCH173 Atlantic	setATCH174 Atlantic	setATCH175 Atlantic	setATCH176 Atlantic	setATCH177 Norland	setATCH178 Norland	setATCH179 Norland	setATCH180 Norland	setATCH181 Norland	setATCH182 Norland	setATCH183 Upstate	setATCH184 Upstate	setATCH185 Upstate	setATCH186 Upstate	setATCH187 Upstate	setATCH188 Upstate	setATCH240 LB	setATCH241 LB	setATCH242 LB	setATCH243 PDB	setATCH244 PDB	setATCH245 PDB	setATCH246 M9	setATCH247 M9	setATCH248 M9
DZA65_RS00015	DZA65_RS00015	DNA replication/repair protein RecF	DZA65_RS00015 DNA replication/repair protein RecF	-0.275580944834942	-0.115861126569864	-0.155213002841576	-0.287944804153947	-0.247891993299628	-0.35022170791099	-0.133514241732793	-0.327486380230043	-0.227938163965156	0.0652185361348547	-0.282140673770932	-0.0159304343594999	-0.0719864117087572	-0.13095001952381	0.00177729788118053	0.0639716012949425	0.131331927594413	-0.101059429926519	-0.0807776209011589	0.0544628311817092	-0.0247274371414117	-0.167795047304185	-0.0281522681326244	-0.0812102324273419	-0.185882917473737	-0.0151981177864862	-0.0340257057282563	-0.107569486466111	-0.29997073465958	-0.00292825822231912	-0.138934865983772	-0.118434688161307	-0.213958536494949	-0.255257075821182	0.0295748382364667	-0.0224561798276814
DZA65_RS00025	DZA65_RS00025	MFS transporter	DZA65_RS00025 MFS transporter	0.0609537432152112	0.0733697585264768	-0.0715351430082977	-0.000292908421528182	-0.185309654319446	-0.0300563910030289	-0.0263293613874169	-0.13635788306663	0.00966410436140408	-0.229536037715809	0.114600839466907	0.107709346385713	0.0116915863958864	-0.104833869776311	-0.0630585710369609	0.0204403180418424	-0.000836542247652172	-0.0894769429102993	-0.0322213744385214	-0.113623348961337	-0.0585128627371357	0.0115763699306056	-0.104925258625155	-0.0247383976762641	-0.135658934385786	-0.190947619084942	0.108782141067434	-0.061897503548964	-0.0353488714722352	-0.0697895637689596	-0.127247759503368	-0.216275832938466	-0.0401855186643389	-0.180545646453854	-0.110415295728402	-0.150784977281759
DZA65_RS00030	DZA65_RS00030	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	DZA65_RS00030 16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	-0.0149705626752112	0.00877145765740917	0.0977287686899933	-0.0636034489411055	0.265006008150276	-0.199826045618371	-0.334181538205621	0.00444954116532126	-0.326780674626786	-0.0837130968622531	-0.280964224702131	0.0701525981943752	-0.464731168633899	-0.292175537436292	0.22557951970112	-0.299469264442217	-0.0609347236785578	0.0792468767651062	-0.0140223219296576	-0.133463032314941	-0.00334221493013576	-0.277523584008343	-0.177596464432694	-0.173931726449704	0.340151430605563	-0.456871701242437	-0.385753812605791	0.0799063303879048	0.147489931443128	0.162589737324494	-0.335577674963336	-0.353152135236045	-0.195825568209982	-0.363864529405911	0.0691071395953793	-0.185494859873491
DZA65_RS00035	DZA65_RS00035	oligopeptidase A	DZA65_RS00035 oligopeptidase A	-0.165096723333602	-0.0221366491098671	-0.141014991426935	-0.00499739378425756	0.0341390193909055	-0.0342469966131504	-1.52881480689374	-1.73384301653928	-1.52928593504038	-0.253045702244064	-0.170759184047893	-0.338030270711652	-0.291440059955036	-0.579259743828522	-0.484796812592589	-0.2617131682173	-0.424265735017654	-0.307641407336671	-0.391101370276689	-0.320402911953114	-0.189725000115639	-0.190153795632241	-0.153173443615293	-0.24951472505633	-0.200493439894545	-0.38142525739147	-0.234169443689348	-0.0926770981060667	-0.279957186950876	-0.182496502107678	-1.09253778138802	-1.03510265730324	-1.10260635116971	-0.161866045446759	-0.236546016610262	-0.143270860847585
DZA65_RS00040	DZA65_RS00040	DUF2623 domain-containing protein	DZA65_RS00040 DUF2623 domain-containing protein	-0.052439426877164	-0.0605227367242272	-0.0768464382698492	-0.0771254476003669	0.23338687564988	0.166671852409113	0.0801579477043098	0.0836850038917715	0.407260602926357	0.108847665109938	0.349734253193056	0.0287001393096405	0.0610894987223702	-0.194120200144356	-0.105666428030879	0.207315180390394	0.229950552953562	0.252010552881346	-0.00434142427037865	-0.206140493487831	-0.169854061743594	-0.0819999179652475	-0.185790446438702	0.282818737053496	0.234075856389324	0.118189991975044	-0.246542612141856	0.319257397117638	0.0582725867398475	0.345540367686078	0.0248270929970538	0.051513810933189	0.224051621201752	0.0505893625986495	0.198312059618246	0.0432706079805398
DZA65_RS00045	DZA65_RS00045	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	DZA65_RS00045 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	-0.291546159360717	0.0661507060825698	0.146056535611431	0.0208309124606691	0.0208740379951045	0.00648715451539594	0.0598860304562079	-0.107468623659607	0.211573074937469	0.128278257908483	0.284005389951509	-0.0787897826848134	-0.0505028768273132	0.0395761167527147	0.0987174428186274	0.159995749082724	0.171615474060497	0.420667592435526	0.275992668290982	0.152493331362651	0.0580153542232006	0.021759906499023	0.185210980341488	0.122921019017093	-0.0878039924332836	0.0809884013833997	0.0282434133309373	0.0200943003317287	-0.0688307567242004	-0.135150465758492	-0.0195822349413592	0.08177913709836	-0.109560096099319	-0.0197867023819205	-0.00256082859870821	0.0382203362165998
DZA65_RS00050	DZA65_RS00050	ribonuclease Z	DZA65_RS00050 ribonuclease Z	-0.0823923008964389	0.028938512426824	-0.00806570314046917	-0.0466721922493611	-0.0270203917923428	0.0510503734352399	0.0380943078491448	0.0375200100046019	0.13311920466824	0.116605761620246	0.348784648342843	-0.00735036988772841	0.0413095749897696	0.128045481005548	-0.203676381854727	0.0414829713715306	-0.136387621509813	-0.0736596543313652	0.0147842001231837	-0.103551249111842	-0.0247705386628275	0.1419277135766	0.0122649353742624	0.0227554767613466	-0.0786969082607003	-0.0921380104032499	0.0263449330332342	-0.15509988946935	-0.198053259943662	-0.205510284567282	-0.110780112117899	-0.0940105279673098	-0.152729955853601	-0.227023359562148	-0.128002244739132	-0.105962805006226
DZA65_RS00055	DZA65_RS00055	glutathione-disulfide reductase	DZA65_RS00055 glutathione-disulfide reductase	0.0462730713989949	0.066974400751751	0.0444730677834047	0.14123733328694	0.107983164691571	0.0504580758079212	-0.273788719826398	-0.406458180855459	-0.36258186736379	-0.165124441316019	-0.147266888895211	-0.017856483829191	-0.273261322033663	-0.0627606421385932	-0.229065690505553	-0.297128930741552	-0.222970861901141	-0.25354948065225	-0.295389358982613	-0.327334583891776	-0.10687238500588	-0.329918878525685	-0.257726388050273	-0.263801782307677	-0.120868934397542	-0.267215862332364	-0.236146454553806	-0.0790855220071784	-0.00404213056644265	-0.128460819654324	-0.0486863051541433	-0.10876835546708	-0.102672996897776	0.00788952727289405	-0.00852979505884544	-0.0781956052346178
DZA65_RS00060	DZA65_RS00060	DASS family sodium-coupled anion symporter	DZA65_RS00060 DASS family sodium-coupled anion symporter	0.102377913734931	-0.0127697368532949	-0.123268323281366	-0.0354915489697363	-0.155552721614164	-0.0202793634478615	0.106733661540518	0.0978450913620384	-0.0287971744533655	0.00912894346032356	-0.201021390890432	-0.125453176387906	-0.0287874224641622	0.0819779505846269	-0.0771752711653237	-0.149202379159933	0.0554798553835552	-0.0523475871129262	0.122788510985993	-0.00359149638821854	-0.0570515933332257	0.0190975164409789	-0.110482207455286	-0.0628425661857274	0.172840530119464	-0.0637027807063015	-0.0364880642064171	0.0545662853341609	0.031709665831221	-0.12668484202533	-0.0314167573023993	-0.0242538966881918	0.121409667376392	-0.0269136457460613	-0.0893932109708564	-0.0637113590047083
DZA65_RS00065	DZA65_RS00065	adenylosuccinate lyase family protein	DZA65_RS00065 adenylosuccinate lyase family protein	0.0687803272558654	-0.0232342984452409	0.116010618401357	0.0206278780154119	0.0216762587758812	-0.0118802819207342	0.0180439208274839	-0.0714616728798088	-0.0705062143208226	-0.1008052411873	-0.0274561346617992	-0.276205593154136	-0.051120051112417	-0.0760349996922032	-0.0825616729384004	-0.127544212144149	0.0317811859391963	0.0365888326661816	0.145630231431689	-0.0443860862723708	-0.072297388413741	0.0277259435042161	0.0855990527818189	-0.0613313475041365	-0.0606464891515623	-0.140457873217412	-0.0759000505612213	0.0216717209055723	-0.00592115537672777	-0.0569713587533687	-0.0461409801781858	-0.0985222703558273	0.0341616265245219	0.0283611164891591	0.0284832262951302	-0.0575226042741301
