name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH99	Time0	8/2/20 DdiaME23	1	2822384	35759	1629783	1581023	302	374	420.37303908535	0.0106294669909167	0.169643990525669	0.988318194952365	1.00250250720317	-0.00413950620390038	0.0075028829204047	-0.00868187210940571	1.08002207679162	FALSE
setATCH100	Time0	8/2/20 DdiaME23	2	3459408	43204	2002802	1944084	374	302	516.906141983515	0.0106294669909167	0.169643990525669	1.00250250720317	0.988318194952365	-0.00413950620390038	0.0075028829204047	0.00868187210940571	1.49861882202854	FALSE
setATCH113	LB	8/2/20 DdiaME23	3	1320910	13917	765700	738798	142	678	196.436586014358	0.134120509356326	0.226080182633563	1	0.996424545776173	0.174893415236335	0.0434267091206613	-0.0273164714202269	1.35474342086518	TRUE
setATCH114	LB	8/2/20 DdiaME23	4	4669327	48785	2709096	2618354	511	678	696.185588939112	0.208854644269636	0.15974824843255	1	0.996424545776173	0.133377241793834	0.025065652520901	-0.00200490304917779	1.02883549204576	TRUE
setATCH115	LB	8/2/20 DdiaME23	5	4637651	48310	2687887	2597654	503	678	690.681733581494	0.176348176217594	0.163719972668399	1.011055188509	0.996424545776173	0.135027752852738	-0.0243874391437163	0.0156762276321666	1.04483927937598	TRUE
setATCH131	M9	8/2/20 DdiaME23	6	3879803	41932	2270025	2185865	403	678	581.19250199415	0.307145557506945	0.198238469404222	1.01559685505102	0.996424545776173	0.278034497220596	0.0485797152032446	-0.0697705320489111	3.85740592946229	TRUE
setATCH132	M9	8/2/20 DdiaME23	7	2990765	32809	1744705	1679022	311	678	446.429672959319	0.322680174597746	0.196987452933161	1.00257394366383	0.996424545776173	0.285135987995271	0.00977060473333104	-0.0714227194331825	2.51900479577473	TRUE
setATCH133	M9	8/2/20 DdiaME23	8	2558584	28429	1490455	1433348	266	678	381.108215900027	0.304940727686922	0.195699672103525	1.0146467759644	0.996424545776173	0.255315615723108	0.0594023741051379	-0.076193670017064	2.02682189637361	TRUE
setATCH166	Time0	11/16/20 DdiaME23	9	2855363	36164	1653035	1607428	306	283	427.393778250465	-0.02418366174382	0.16976959199013	1	0.994397293770625	-0.0651481388802043	0.00783384740973589	0.0219265310745578	1.49012750398534	FALSE
setATCH167	Time0	11/16/20 DdiaME23	10	2613335	32215	1513438	1472420	283	306	391.496942302579	-0.02418366174382	0.16976959199013	0.994397293770625	1	-0.0651481388802043	0.00783384740973589	-0.0219265310745578	1.19778585104951	FALSE
setATCH168	PDB	11/16/20 DdiaME23	11	3752627	42377	2177729	2096815	403	591	557.515288487104	0.326931788146961	0.195383647396346	1.00910220710725	0.991779493195031	0.257175285284402	0.0733143331295593	0.1097626649649	1.68786131455681	TRUE
setATCH169	PDB	11/16/20 DdiaME23	12	4089258	45875	2371558	2283807	439	591	607.233980324382	0.334063073404091	0.187861897431352	1.00836347293463	0.991779493195031	0.261180514125463	0.0498885112164095	0.101068675736428	1.51756009392691	TRUE
setATCH170	PDB	11/16/20 DdiaME23	13	3983696	43808	2310935	2226110	429	591	591.893113533635	0.304090017660922	0.186527740366079	1	0.991779493195031	0.289666303717881	0.10082516067544	0.100324163413953	1.60627515061018	TRUE
setATCH171	Atlantic	11/16/20 DdiaME23	14	3855821	41832	2221263	2137218	419	591	568.257910130284	0.198289616832274	0.182301641035862	1	0.991779493195031	0.142659293138829	0.00954701348875369	-0.0607756067692132	1.23904700669618	TRUE
setATCH172	Atlantic	11/16/20 DdiaME23	15	3432973	35429	1980830	1908994	373	591	507.57617654879	0.189953288531384	0.235096576753335	1.04113869479349	0.991779493195031	0.0954843278156459	0.0675840680906114	-0.00869963611356914	2.16792636052838	TRUE
setATCH173	Atlantic	11/16/20 DdiaME23	16	3471720	40888	2003537	1921630	373	591	510.935921297527	0.144659588707984	0.251672445055275	1.04809428820105	0.991779493195031	0.119380685265061	0.0144037365744705	0.0235933055298745	1.40055281458232	TRUE
setATCH174	Atlantic	11/16/20 DdiaME23	17	2818890	28551	1626659	1567168	302	591	416.689178409997	0.22571066666664	0.205284718263389	1.02236781302845	0.991779493195031	0.223250371995986	0.00136226435223436	-0.00950847634664726	2.5234717020798	TRUE
setATCH175	Atlantic	11/16/20 DdiaME23	18	3722818	38378	2136397	2058133	403	591	547.23025791013	0.242034103466069	0.202871024636219	1.01292617444427	0.991779493195031	0.214497329936292	0.0401622609604985	-0.0727654661315767	1.10672990277616	TRUE
setATCH176	Atlantic	11/16/20 DdiaME23	19	3344125	35344	1926426	1856479	364	591	493.613134804573	0.249477016383408	0.204484627004657	1.00866486112713	0.991779493195031	0.197252453227687	0.00558839691203013	-0.031377155841927	1.42541610608521	TRUE
setATCH177	Norland	11/16/20 DdiaME23	20	3393097	33825	1967089	1897054	360	591	504.401488965701	0.211034819460381	0.222814677393147	1.03435150479078	0.991779493195031	0.229597867657234	0.0435618282444188	-0.0100258098196917	1.59271461236898	TRUE
setATCH178	Norland	11/16/20 DdiaME23	21	3381119	34417	1953513	1880599	367	591	500.026322786493	0.226097277122862	0.191236967735777	1	0.991779493195031	0.175757105335639	0.0257677826635116	-0.0273568243658186	1.28699605180924	TRUE
setATCH179	Norland	11/16/20 DdiaME23	22	3264758	32808	1887934	1818217	347	591	483.439776655145	0.194074045112182	0.216975601401864	1.02974734339405	0.991779493195031	0.216088795789033	-0.012074833736176	-0.0226507411277788	2.10074375869187	TRUE
setATCH180	Norland	11/16/20 DdiaME23	23	4042042	41034	2333689	2242257	439	591	596.186386599309	0.206239867719902	0.196920418166188	1.00741747156248	0.991779493195031	0.14851426230358	-0.0238514583468188	-0.0315084706837033	1.24374887960298	TRUE
setATCH181	Norland	11/16/20 DdiaME23	24	3624559	37647	2089134	2008307	391	591	533.982185588939	0.220654701447749	0.193068648517568	1.0036756581434	0.991779493195031	0.198351531130183	0.00692570592679544	-0.0706215778390252	0.865584554583015	TRUE
setATCH182	Norland	11/16/20 DdiaME23	25	3796217	38890	2189137	2109388	410	591	560.85828237171	0.268157445308498	0.1875409543925	1.01837852931485	0.991779493195031	0.183837597665135	0.0342838178116876	-0.0325958101657234	1.58227002114876	TRUE
setATCH183	Upstate	11/16/20 DdiaME23	26	3946272	41945	2277313	2194699	426	591	583.541345386865	0.214430241519701	0.196833851027106	1.01885902725132	0.991779493195031	0.210569598472871	-0.000614664800795054	-0.0465238973941054	1.42430649004499	TRUE
