locusId	sysName	desc	comb	setATCH264 M9
HER17_RS00015	HER17_RS00015	DNA replication/repair protein RecF	HER17_RS00015 DNA replication/repair protein RecF	0.120326653735695
HER17_RS00025	HER17_RS00025	MFS transporter	HER17_RS00025 MFS transporter	-0.207295848858533
HER17_RS00035	HER17_RS00035	methyl-accepting chemotaxis protein	HER17_RS00035 methyl-accepting chemotaxis protein	-0.0124747436029724
HER17_RS00040	HER17_RS00040	LacI family DNA-binding transcriptional regulator	HER17_RS00040 LacI family DNA-binding transcriptional regulator	0.171426707769736
HER17_RS00045	HER17_RS00045	PTS sugar transporter subunit IIB	HER17_RS00045 PTS sugar transporter subunit IIB	-0.672297293936286
HER17_RS00050	HER17_RS00050	PTS sugar transporter subunit IIC	HER17_RS00050 PTS sugar transporter subunit IIC	-0.0210096855034596
HER17_RS00055	HER17_RS00055	PTS lactose/cellobiose transporter subunit IIA	HER17_RS00055 PTS lactose/cellobiose transporter subunit IIA	0.0668632435740155
HER17_RS00060	HER17_RS00060	6-phospho-beta-glucosidase	HER17_RS00060 6-phospho-beta-glucosidase	-0.0680540533042384
HER17_RS00065	HER17_RS00065	sugar-phosphatase	HER17_RS00065 sugar-phosphatase	-0.281095867671526
HER17_RS00070	HER17_RS00070	Hcp family type VI secretion system effector	HER17_RS00070 Hcp family type VI secretion system effector	0.0931342919020102
HER17_RS00075	HER17_RS00075	hypothetical protein	HER17_RS00075 hypothetical protein	0.377423675218352
HER17_RS00080	HER17_RS00080	DUF1311 domain-containing protein	HER17_RS00080 DUF1311 domain-containing protein	-0.374562300475376
HER17_RS00085	HER17_RS00085	LysR family transcriptional regulator	HER17_RS00085 LysR family transcriptional regulator	-0.0856887937515001
HER17_RS00090	HER17_RS00090	ABC transporter substrate-binding protein	HER17_RS00090 ABC transporter substrate-binding protein	0.011167388259242
HER17_RS00095	HER17_RS00095	dihydrodipicolinate synthase family protein	HER17_RS00095 dihydrodipicolinate synthase family protein	-0.154496056611644
HER17_RS00100	HER17_RS00100	nucleoside hydrolase	HER17_RS00100 nucleoside hydrolase	-0.0129289100541645
HER17_RS00105	HER17_RS00105	nucleoside hydrolase	HER17_RS00105 nucleoside hydrolase	-0.0719160001465533
HER17_RS00110	HER17_RS00110	ABC transporter permease	HER17_RS00110 ABC transporter permease	0.13153413302273
HER17_RS00115	HER17_RS00115	ABC transporter permease	HER17_RS00115 ABC transporter permease	0.318991986621895
HER17_RS00120	HER17_RS00120	ABC transporter ATP-binding protein	HER17_RS00120 ABC transporter ATP-binding protein	0.265824293644645
HER17_RS00125	HER17_RS00125	DUF1471 domain-containing protein	HER17_RS00125 DUF1471 domain-containing protein	0.31653684057461
HER17_RS00130	HER17_RS00130	aliphatic sulfonates ABC transporter ATP-binding protein	HER17_RS00130 aliphatic sulfonates ABC transporter ATP-binding protein	0.0753927448779115
HER17_RS00135	HER17_RS00135	aliphatic sulfonate ABC transporter permease SsuC	HER17_RS00135 aliphatic sulfonate ABC transporter permease SsuC	-0.29169136193572
HER17_RS00140	HER17_RS00140	FMNH2-dependent alkanesulfonate monooxygenase	HER17_RS00140 FMNH2-dependent alkanesulfonate monooxygenase	0.637144635546403
HER17_RS00145	HER17_RS00145	sulfonate ABC transporter substrate-binding protein	HER17_RS00145 sulfonate ABC transporter substrate-binding protein	-0.0298327384165114
HER17_RS00150	HER17_RS00150	PTS sugar transporter subunit IIB	HER17_RS00150 PTS sugar transporter subunit IIB	0.396505694405146
HER17_RS00155	HER17_RS00155	PTS sugar transporter subunit IIC	HER17_RS00155 PTS sugar transporter subunit IIC	-0.0592743112842662
HER17_RS00160	HER17_RS00160	glycoside hydrolase family 1 protein	HER17_RS00160 glycoside hydrolase family 1 protein	0.0663882886415825
HER17_RS00165	HER17_RS00165	DUF1471 domain-containing protein	HER17_RS00165 DUF1471 domain-containing protein	-0.11416311831026
HER17_RS00170	HER17_RS00170	DUF3748 domain-containing protein	HER17_RS00170 DUF3748 domain-containing protein	0.129068456461766
HER17_RS00175	HER17_RS00175	YceK/YidQ family lipoprotein	HER17_RS00175 YceK/YidQ family lipoprotein	-0.0813134905536217
HER17_RS00180	HER17_RS00180	heat shock chaperone IbpA	HER17_RS00180 heat shock chaperone IbpA	-0.0103482197878699
HER17_RS00185	HER17_RS00185	heat shock chaperone IbpB	HER17_RS00185 heat shock chaperone IbpB	0.0127581511346215
HER17_RS00190	HER17_RS00190	putative transporter	HER17_RS00190 putative transporter	-0.0400667962836192
HER17_RS00195	HER17_RS00195	anion permease	HER17_RS00195 anion permease	0.0429065072813146
HER17_RS00200	HER17_RS00200	two-component system sensor histidine kinase DcuS	HER17_RS00200 two-component system sensor histidine kinase DcuS	0.125631125908814
HER17_RS00205	HER17_RS00205	two-component system response regulator DcuR	HER17_RS00205 two-component system response regulator DcuR	-0.350747885206961
HER17_RS00210	HER17_RS00210	hypothetical protein	HER17_RS00210 hypothetical protein	-0.010314067884283
HER17_RS00215	HER17_RS00215	2-hydroxycarboxylate transporter family protein	HER17_RS00215 2-hydroxycarboxylate transporter family protein	0.129742849654688
HER17_RS00220	HER17_RS00220	ABC transporter substrate-binding protein	HER17_RS00220 ABC transporter substrate-binding protein	-0.076055657039608
HER17_RS00225	HER17_RS00225	dipeptide ABC transporter permease DppB	HER17_RS00225 dipeptide ABC transporter permease DppB	0.195936531007256
HER17_RS00230	HER17_RS00230	dipeptide ABC transporter permease DppC	HER17_RS00230 dipeptide ABC transporter permease DppC	0.23404722767621
HER17_RS00235	HER17_RS00235	dipeptide ABC transporter ATP-binding protein	HER17_RS00235 dipeptide ABC transporter ATP-binding protein	-0.0158744716846047
HER17_RS00240	HER17_RS00240	ABC transporter ATP-binding protein	HER17_RS00240 ABC transporter ATP-binding protein	-0.240980486167731
HER17_RS00245	HER17_RS00245	hypothetical protein	HER17_RS00245 hypothetical protein	0.260276698438944
HER17_RS00250	HER17_RS00250	RHS repeat protein	HER17_RS00250 RHS repeat protein	0.198270975883762
HER17_RS00265	HER17_RS00265	hypothetical protein	HER17_RS00265 hypothetical protein	-0.0851557835415511
HER17_RS00270	HER17_RS00270	hypothetical protein	HER17_RS00270 hypothetical protein	-0.631853210859888
HER17_RS00280	HER17_RS00280	RHS repeat-associated core domain-containing protein	HER17_RS00280 RHS repeat-associated core domain-containing protein	0.0992573482045362
HER17_RS00285	HER17_RS00285	hypothetical protein	HER17_RS00285 hypothetical protein	-0.167155510326504
HER17_RS00295	HER17_RS00295	PAAR domain-containing protein	HER17_RS00295 PAAR domain-containing protein	-0.0128340862973635
HER17_RS00300	HER17_RS00300	DUF1795 domain-containing protein	HER17_RS00300 DUF1795 domain-containing protein	-0.505444305370122
HER17_RS00305	HER17_RS00305	type VI secretion system tip protein VgrG	HER17_RS00305 type VI secretion system tip protein VgrG	0.00169510431162689
HER17_RS00310	HER17_RS00310	Hcp family type VI secretion system effector	HER17_RS00310 Hcp family type VI secretion system effector	-0.550952620810119
HER17_RS00315	HER17_RS00315	valine--pyruvate transaminase	HER17_RS00315 valine--pyruvate transaminase	-0.165753526828153
