name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH249	Time0	1/26/21 PcWPP14	1	1344241	18854	784765	719972	144	136	198.558190843905	-0.0161855624742805	0.241866277952685	0.80514037690476	0.830074998557688	0.0234097643737488	-0.00419842857244356	0.00422469548156504	1.66562937953322	FALSE
setATCH250	Time0	1/26/21 PcWPP14	2	1260006	17321	736036	675271	136	144	186.23028130171	-0.0161855624742805	0.241866277952685	0.830074998557688	0.80514037690476	0.0234097643737488	-0.00419842857244356	-0.00422469548156505	1.28064497268809	FALSE
setATCH251	LB	1/26/21 PcWPP14	3	1077863	16595	628742	529921	107	280	146.144787644788	-0.000447790578200399	0.274990225762754	0.855330877376863	0.812914447399504	-0.0142715542731136	0.0350441325008772	0.0304082717490692	0.934195695976022	FALSE
setATCH252	LB	1/26/21 PcWPP14	4	1370236	21049	799975	673482	136	280	185.736900165472	0.0296088643874838	0.244457856435922	0.853879823277511	0.812914447399504	-0.00640650228422671	0.0203579289047323	0.0435444176959822	0.90796262901733	FALSE
setATCH253	LB	1/26/21 PcWPP14	5	994874	15731	580602	487104	98	280	134.336458907887	0.0296832080187874	0.272276745025465	0.874469117916141	0.812914447399504	0.0359920112363678	0.000953189563499135	0.0213002135130567	1.2025350500452	FALSE
setATCH254	LB	1/26/21 PcWPP14	6	1007827	15990	587807	493700	100	280	136.1555432984	0.0161800779750084	0.262578824608698	0.849050738035946	0.812914447399504	-0.0430231615187041	-0.042688549433014	0.0209530159346222	1.10491667722125	FALSE
setATCH255	LB	1/26/21 PcWPP14	7	948697	15122	553406	464152	93	280	128.006618863762	0.0264954868533554	0.271241694802712	0.868325965357201	0.812914447399504	0.0219361900325844	0.011917255961558	0.0385785827624866	1.03113992338955	FALSE
setATCH256	LB	1/26/21 PcWPP14	8	1249900	20064	728404	614564	124	280	169.488141202427	0.0183794782590374	0.253717254186642	0.87833079930031	0.812914447399504	0.00943484398392096	0.082803455854503	0.0175118134717796	1.06526021550768	FALSE
setATCH257	PDB	1/26/21 PcWPP14	9	1453467	20333	848194	717318	143	280	197.826254826255	0.0327369010055784	0.286914321530867	0.862496476250065	0.812914447399504	0.0923470129531747	0.0252538583999172	0.057527425172019	1.49749470843771	FALSE
setATCH258	PDB	1/26/21 PcWPP14	10	1418101	19816	827974	701481	139	280	193.458632101489	0.0339563445783068	0.296662763170517	0.884876297666995	0.812914447399504	0.0778196956210643	0.00443039478801603	0.0506800717812629	1.16248852541778	FALSE
setATCH259	PDB	1/26/21 PcWPP14	11	1394343	19572	814772	687834	135	280	189.694980694981	0.0388666229508502	0.289135433430594	0.874469117916141	0.812914447399504	0.018520721451324	-0.0506347680664882	0.0678046416394437	1.56387479100251	FALSE
setATCH260	PDB	1/26/21 PcWPP14	12	1081616	15126	629890	533544	106	280	147.143960286817	0.0413797372988708	0.320128365541433	0.879145605125615	0.812914447399504	0.00791192741306869	0.0495360997684218	0.0559706585297675	1.88790515272651	FALSE
setATCH261	PDB	1/26/21 PcWPP14	13	1222844	16923	713339	604548	120	280	166.725868725869	0.0548948115200932	0.296362830729137	0.877918477996166	0.812914447399504	0.0351715729826865	-0.092739014569835	0.0535653408453443	1.27686718585329	FALSE
setATCH262	PDB	1/26/21 PcWPP14	14	1539767	21748	897922	759910	151	280	209.572531715389	0.027737927924704	0.285041291820833	0.869820893771987	0.812914447399504	0.0691943801019973	-0.0504468746381308	0.0257408592722987	1.39901753960684	FALSE
setATCH263	M9	1/26/21 PcWPP14	15	1328109	21382	756428	635438	123	280	175.244897959184	0.0409467769196027	0.259187117119628	0.860949073038632	0.812914447399504	0.125242217022647	-0.0199105589419097	0.00656384080468172	1.3527441157374	FALSE
setATCH264	M9	1/26/21 PcWPP14	16	1421747	22290	808497	682073	130	280	188.106177606178	0.117147470966844	0.246215213537784	0.870536429312893	0.812914447399504	0.0978995860689961	0.0138352585471509	0.00916289986431915	1.19907105705528	TRUE
setATCH265	M9	1/26/21 PcWPP14	17	1342251	23175	779346	657028	133	280	181.199117484832	0.0313494549951286	0.255875957871452	0.862496476250065	0.812914447399504	0.119829502942554	0.0195782489741177	-0.0123309897250071	1.04008870912117	FALSE
setATCH266	M9	1/26/21 PcWPP14	18	1198802	20577	697796	585737	118	280	161.53805846663	0.0437917258772961	0.257659461516422	0.865660601984818	0.812914447399504	0.0914032533217356	-0.0176612928777195	-0.0308756309611105	1.24102850711108	FALSE
setATCH267	M9	1/26/21 PcWPP14	19	1300396	21512	749130	631103	125.5	280	174.049365692223	0.0410340095652137	0.252191710129067	0.874469117916141	0.812914447399504	0.0457316300241627	-0.0138555824274347	-0.0245139607582131	1.02950677969904	FALSE
setATCH268	M9	1/26/21 PcWPP14	20	1342262	21992	771003	651009	126	280	179.53916161059	0.0581305341380479	0.255983832818369	0.867496755209824	0.812914447399504	0.0619743490213868	-0.0328144616590305	-0.0213834171070778	1.01118598077741	FALSE
setATCH269	Atlantic	1/26/21 PcWPP14	21	985843	16385	573931	491160	61	280	135.455046883618	0.0322444409536991	0.683391444546201	1.54748779530249	0.812914447399504	0.0462378783406706	0.00162071864936425	-0.0151166217026486	5.72198961847573	FALSE
setATCH270	Atlantic	1/26/21 PcWPP14	22	672163	13905	396098	338457	56	280	93.3416988416988	0.0388952623039484	0.446024926702547	1	0.812914447399504	0.0464470126578685	-0.00936642980655574	-0.0253825230659037	4.07327542297664	FALSE
setATCH271	Atlantic	1/26/21 PcWPP14	23	1038333	19744	594609	507326	70	280	139.913403199117	0.011273412774356	0.508057245673248	1.16992500144231	0.812914447399504	0.0233004068778161	-0.0191975035452441	0.00670561035486435	4.49660598374752	FALSE
setATCH272	Atlantic	1/26/21 PcWPP14	24	987740	20652	574054	491809	73	280	135.634031991175	0.0190721960961422	0.536767223987441	1.2523590828895	0.812914447399504	0.0146259137997117	-0.00912352716240714	0.0119602133583362	3.21022993240697	FALSE
