locusId	sysName	desc	setATCH99 Time0	setATCH100 Time0	setATCH113 LB	setATCH114 LB	setATCH115 LB	setATCH131 M9	setATCH132 M9	setATCH133 M9	setATCH166 Time0	setATCH167 Time0	setATCH168 PDB	setATCH169 PDB	setATCH170 PDB	setATCH171 Atlantic	setATCH172 Atlantic	setATCH173 Atlantic	setATCH174 Atlantic	setATCH175 Atlantic	setATCH176 Atlantic	setATCH177 Norland	setATCH178 Norland	setATCH179 Norland	setATCH180 Norland	setATCH181 Norland	setATCH182 Norland	setATCH183 Upstate	setATCH184 Upstate	setATCH185 Upstate	setATCH186 Upstate	setATCH187 Upstate	setATCH188 Upstate	setATCH238 Time0	setATCH239 Time0	setATCH240 LB	setATCH241 LB	setATCH242 LB	setATCH243 PDB	setATCH244 PDB	setATCH245 PDB	setATCH246 M9	setATCH247 M9	setATCH248 M9
DZA65_RS00015	DZA65_RS00015	DNA replication/repair protein RecF	0.0877479896852521	-0.0877479896852521	-0.455238592962413	-0.322870744083154	-0.338938625392651	-0.674222316201405	-0.606490042668079	-0.69806021218293	0.00682936215008065	-0.00682936215008068	-0.292173623246229	-0.445199905555882	-0.368327024200084	-0.325092534166181	-0.574691550540796	-0.371590177503403	-0.352176871898349	-0.484673597310121	-0.341935243315411	-0.269090665889609	-0.22163508972033	-0.449064456661533	-0.486836073637346	-0.331009588517577	-0.378958107481551	-0.566635607672256	-0.272933330338852	-0.436318054209567	-0.512889131013904	-0.413824443975106	-0.358155958203346	-0.0547210637411116	0.0547210637411117	-0.43189364492926	-0.60198069659176	-0.320595078679728	-0.444244537190814	-0.417349175477387	-0.515373104454974	-0.607948199212707	-0.365806977170295	-0.37755549157152
DZA65_RS00025	DZA65_RS00025	MFS transporter	-0.0479523149156714	0.0479523149156714	-0.11870390491226	-0.133639858986813	-0.255260765559373	-0.386570420468986	-0.543907703687898	-0.377894895274969	-0.0602819522423845	0.0602819522423845	-0.184988742900853	-0.254071408392469	-0.130724755873524	-0.619847108016845	-0.177950037302956	-0.24795039675819	-0.268498873793706	-0.458557447562623	-0.406771112233552	-0.312621949142709	-0.353803559562395	-0.437481969645314	-0.438279827174708	-0.499095768660624	-0.412743533077275	-0.387264190437466	-0.349706320831383	-0.379846219458489	-0.462665147925953	-0.589573945273562	-0.215348111407655	0.0152128412586399	-0.0152128412586399	-0.386221662012113	-0.337358833404416	-0.387456384226369	-0.432557430710411	-0.515190320254546	-0.341600086624363	-0.533236769845379	-0.505797111135164	-0.505884289025598
DZA65_RS00030	DZA65_RS00030	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	0.375159295640652	-0.375159295640652	-0.194628210802682	-0.198238159855881	-0.0859968538610816	-0.449880960988563	-0.0935920412181759	-0.547664549890312	-0.114067370790427	0.114067370790427	-0.492840919719057	-0.113263984160518	-0.467169534861714	-0.474024167163288	-0.573515101471995	-0.285507144949528	-0.744921628823491	-0.645899115222604	-0.118133021495471	-0.632531531626768	-0.413901740993301	-0.268758149969908	-0.420080774665845	-0.518935452014228	-0.357572885270275	-0.676364144376414	-0.422377526638922	-0.529039548231929	0.0131452170653967	-0.855498027431056	-0.70988406508088	-0.0580448925820523	0.0580448925820522	-0.244417828075245	-0.154520030489052	-0.155077083132916	-0.640887346170378	-0.652066622552125	-0.497240136170006	-0.716555652797436	-0.326274675811383	-0.54059417161733
DZA65_RS00035	DZA65_RS00035	oligopeptidase A	0.0745540114390627	-0.0745540114390627	-0.344754371461073	-0.229146266623157	-0.32474061397801	-0.391274905831715	-0.324459029977546	-0.382085500885091	-0.0235629585059946	0.0235629585059946	-1.68747418840717	-1.85155654186511	-1.66967479527531	-0.643356772545099	-0.463310060817757	-0.693690013855556	-0.571630520144628	-0.932983321614833	-0.82850935378918	-0.594775435401851	-0.777232752332397	-0.655646434071686	-0.797159823012876	-0.705875331652401	-0.543955670455778	-0.588994356000312	-0.397954505821521	-0.604622546838555	-0.527499653434712	-0.78005158358009	-0.558299696164437	-0.00108793141395927	0.00108793141395927	-0.417001256569216	-0.581967148883056	-0.500163322565087	-1.39784745259506	-1.33401714461932	-1.40402091912974	-0.514557168838284	-0.631927832017025	-0.498370172591424
DZA65_RS00040	DZA65_RS00040	DUF2623 domain-containing protein	0.106011567435484	-0.106011567435484	-0.232097075004635	-0.267532354237517	-0.260572060820924	-0.463402959647825	-0.125211173718572	-0.181166651862827	0.1853932815752	-0.1853932815752	-0.0785014338091263	-0.0340285214340679	0.266871742691429	-0.281463405191097	0.0571833764231927	-0.326959603834263	-0.219100961467222	-0.547843777930667	-0.449378969227471	-0.125747086794157	-0.123016464361181	-0.0959944738536681	-0.410399877006566	-0.591612913187117	-0.524084732083734	-0.480840478333319	-0.43057150864493	-0.0722890847287293	-0.0929303571508431	-0.280436334213575	-0.570672864616946	-0.120346083594468	0.120346083594468	-0.00506676134551132	-0.243737375192333	0.0278735472286684	-0.280482578209989	-0.247400676382891	-0.0773629467582726	-0.302101760792876	-0.197069755788516	-0.311828703763299
DZA65_RS00045	DZA65_RS00045	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.120724406865057	-0.120724406865057	-0.471203807488188	-0.14085891143072	-0.0376690869396436	-0.365446599586788	-0.337724011373347	-0.341351349756544	0.228578400584579	-0.228578400584579	-0.0987733510572283	-0.225182148985447	0.0711842147025409	-0.262032812392552	-0.00854548681835421	-0.434449525828717	-0.330693337016905	-0.314147461033597	-0.244995098377964	-0.173066518101828	-0.181351543254246	0.0726625657005111	-0.130065784445205	-0.232979088336635	-0.296215316116939	-0.377080653869049	-0.0595700818647399	-0.232186802765132	-0.41481020597345	-0.31763792480522	-0.295886839144152	0.173943759651403	-0.173943759651403	-0.304229858131421	-0.370840718656381	-0.452817286215901	-0.324891906148402	-0.21713535021772	-0.410974664059344	-0.372477825773446	-0.39794264400547	-0.316878975527239
DZA65_RS00050	DZA65_RS00050	ribonuclease Z	-0.0854152790106876	0.0854152790106876	-0.26204994902391	-0.178071105086466	-0.191791325691544	-0.432949704296819	-0.385618441160795	-0.2967881308367	-0.0638459447415491	0.0638459447415491	-0.120565073664291	-0.0801935153212375	-0.0072696555666884	-0.273705308680789	0.05623377157298	-0.363010113031632	-0.238880885199822	-0.225678096780763	-0.547388923051318	-0.291579295813021	-0.489354638824556	-0.42166468106638	-0.391274252613003	-0.489023668811128	-0.379001209002967	-0.256912846791472	-0.232516126831965	-0.332352345020879	-0.405703121800867	-0.490764336591869	-0.297785319441855	-0.0463363409893332	0.0463363409893332	-0.4794240479325	-0.500063221875842	-0.523177105024691	-0.416089783324941	-0.39292501528339	-0.454144523813625	-0.579714482953673	-0.523384060145895	-0.461062116750065
DZA65_RS00055	DZA65_RS00055	glutathione-disulfide reductase	-0.0110666801965827	0.0110666801965827	-0.133384576728476	-0.140035216761539	-0.13925255476767	-0.245040178760518	-0.250614884676881	-0.297380428464019	-0.0369101188760199	0.0369101188760199	-0.432448101339834	-0.524171706181299	-0.502970727598719	-0.555435511617055	-0.439817765665074	-0.373516226973094	-0.553451782223255	-0.416484219924905	-0.572778231702145	-0.630191197926103	-0.575937879215884	-0.601554507387264	-0.7014478117188	-0.712807003591063	-0.46110305534602	-0.728759438893756	-0.502507450256501	-0.618909604089902	-0.447875147937709	-0.665842188520984	-0.560276707028896	0.00454138816127005	-0.00454138816127005	-0.403409680470328	-0.306052092498623	-0.446127640111734	-0.353995976361186	-0.407682842783159	-0.4040875648578	-0.344801596118631	-0.403911610465608	-0.433294916978457
DZA65_RS00060	DZA65_RS00060	DASS family sodium-coupled anion symporter	-0.0280271851121026	0.0280271851121026	-0.0772797343925404	-0.219779354366585	-0.306993945832441	-0.421769061017194	-0.514150770982616	-0.368117867719802	0.0161574984053623	-0.0161574984053623	-0.0519257199729186	-0.0198684339638009	-0.169186034688294	-0.381182126840712	-0.493572267660295	-0.481112919531809	-0.308977882653754	-0.271745627201685	-0.420887812361915	-0.482264646344485	-0.297487161931188	-0.400352613847941	-0.283269941750194	-0.389063916087505	-0.411282263673365	-0.379743043927093	-0.355263269661513	-0.417950387967952	-0.154165683420703	-0.462329106894921	-0.360618316681507	-0.0517833927916217	0.0517833927916218	-0.269757873128989	-0.270300296100959	-0.44435166248274	-0.336726428509442	-0.323168384004272	-0.180004900583632	-0.379604769137586	-0.484775026377618	-0.418810670748547
DZA65_RS00065	DZA65_RS00065	adenylosuccinate lyase family protein	-0.0310074733781487	0.0310074733781487	-0.110877320871606	-0.230243915958531	-0.0677150041497181	-0.365649634032046	-0.336921790592571	-0.359718786192675	-0.0653547058829396	0.0653547058829396	-0.140615460685952	-0.189175198205648	-0.210895074555751	-0.491116311488336	-0.320007011431663	-0.631865336298039	-0.331310511302009	-0.429758577478515	-0.426274214134992	-0.4606064793287	-0.321185831375547	-0.311416194068833	-0.260428221304498	-0.429858505971657	-0.426528058753881	-0.371114616863855	-0.159182009424409	-0.416439169286362	-0.387652702691729	-0.539084199406031	-0.400030303036311	-0.0190604574639339	0.0190604574639338	-0.302652437557577	-0.307931117308908	-0.374638179210778	-0.351450651385228	-0.397436757671907	-0.267252941435502	-0.324330006902366	-0.366898589111632	-0.412621916017969
