locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
HER17_RS00005	HER17_RS00005	1	NZ_CP051652	1	1398	+		chromosomal replication initiator protein DnaA
HER17_RS00010	HER17_RS00010	1	NZ_CP051652	1403	2503	+		DNA polymerase III subunit beta
HER17_RS00015	HER17_RS00015	1	NZ_CP051652	2554	3639	+		DNA replication/repair protein RecF
HER17_RS00020	HER17_RS00020	1	NZ_CP051652	3658	6075	+		DNA topoisomerase (ATP-hydrolyzing) subunit B
HER17_RS00025	HER17_RS00025	1	NZ_CP051652	6213	7403	-		MFS transporter
HER17_RS00030	HER17_RS00030	1	NZ_CP051652	7567	7935	+		GFA family protein
HER17_RS00035	HER17_RS00035	1	NZ_CP051652	7988	9991	-		methyl-accepting chemotaxis protein
HER17_RS00040	HER17_RS00040	1	NZ_CP051652	10241	11254	-		LacI family DNA-binding transcriptional regulator
HER17_RS00045	HER17_RS00045	1	NZ_CP051652	11466	11771	+		PTS sugar transporter subunit IIB
HER17_RS00050	HER17_RS00050	1	NZ_CP051652	11788	13101	+		PTS sugar transporter subunit IIC
HER17_RS00055	HER17_RS00055	1	NZ_CP051652	13091	13432	+		PTS lactose/cellobiose transporter subunit IIA
HER17_RS00060	HER17_RS00060	1	NZ_CP051652	13469	14911	+		6-phospho-beta-glucosidase
HER17_RS00065	HER17_RS00065	1	NZ_CP051652	15067	15882	+		sugar-phosphatase
HER17_RS00070	HER17_RS00070	1	NZ_CP051652	16138	16605	+		Hcp family type VI secretion system effector
HER17_RS00075	HER17_RS00075	1	NZ_CP051652	16616	17236	+		hypothetical protein
HER17_RS00080	HER17_RS00080	1	NZ_CP051652	17233	17658	+		DUF1311 domain-containing protein
HER17_RS00085	HER17_RS00085	1	NZ_CP051652	17704	18600	-		LysR family transcriptional regulator
HER17_RS00090	HER17_RS00090	1	NZ_CP051652	18743	20293	+		ABC transporter substrate-binding protein
HER17_RS00095	HER17_RS00095	1	NZ_CP051652	20365	21249	+		dihydrodipicolinate synthase family protein
HER17_RS00100	HER17_RS00100	1	NZ_CP051652	21351	22304	+		nucleoside hydrolase
HER17_RS00105	HER17_RS00105	1	NZ_CP051652	22306	23295	+		nucleoside hydrolase
HER17_RS00110	HER17_RS00110	1	NZ_CP051652	23295	24272	+		ABC transporter permease
HER17_RS00115	HER17_RS00115	1	NZ_CP051652	24269	25177	+		ABC transporter permease
HER17_RS00120	HER17_RS00120	1	NZ_CP051652	25217	27022	+		ABC transporter ATP-binding protein
HER17_RS00125	HER17_RS00125	1	NZ_CP051652	27098	27355	-		DUF1471 domain-containing protein
HER17_RS00130	HER17_RS00130	1	NZ_CP051652	27528	28328	-		aliphatic sulfonates ABC transporter ATP-binding protein
HER17_RS00135	HER17_RS00135	7	NZ_CP051652	28325	29119	-		aliphatic sulfonate ABC transporter permease SsuC
HER17_RS00140	HER17_RS00140	1	NZ_CP051652	29130	30272	-		FMNH2-dependent alkanesulfonate monooxygenase
HER17_RS00145	HER17_RS00145	1	NZ_CP051652	30331	31353	-		sulfonate ABC transporter substrate-binding protein
HER17_RS00150	HER17_RS00150	1	NZ_CP051652	31771	32094	+		PTS sugar transporter subunit IIB
HER17_RS00155	HER17_RS00155	1	NZ_CP051652	32091	33413	+		PTS sugar transporter subunit IIC
HER17_RS00160	HER17_RS00160	1	NZ_CP051652	33439	34851	+		glycoside hydrolase family 1 protein
HER17_RS00165	HER17_RS00165	1	NZ_CP051652	35057	35314	-		DUF1471 domain-containing protein
HER17_RS00170	HER17_RS00170	1	NZ_CP051652	35550	36830	+		DUF3748 domain-containing protein
HER17_RS00175	HER17_RS00175	1	NZ_CP051652	36866	37222	-		YceK/YidQ family lipoprotein
HER17_RS00180	HER17_RS00180	1	NZ_CP051652	37610	38023	+		heat shock chaperone IbpA
HER17_RS00185	HER17_RS00185	1	NZ_CP051652	38190	38642	+		heat shock chaperone IbpB
HER17_RS00190	HER17_RS00190	1	NZ_CP051652	38818	40476	+		putative transporter
HER17_RS00195	HER17_RS00195	1	NZ_CP051652	41048	42460	+		anion permease
HER17_RS00200	HER17_RS00200	1	NZ_CP051652	42649	44277	+		two-component system sensor histidine kinase DcuS
HER17_RS00205	HER17_RS00205	1	NZ_CP051652	44270	44992	+		two-component system response regulator DcuR
HER17_RS00210	HER17_RS00210	7	NZ_CP051652	45102	46006	+		hypothetical protein
HER17_RS00215	HER17_RS00215	1	NZ_CP051652	46418	47761	-		2-hydroxycarboxylate transporter family protein
HER17_RS00220	HER17_RS00220	1	NZ_CP051652	49229	50836	+		ABC transporter substrate-binding protein
HER17_RS00225	HER17_RS00225	1	NZ_CP051652	51047	52066	+		dipeptide ABC transporter permease DppB
HER17_RS00230	HER17_RS00230	1	NZ_CP051652	52080	52982	+		dipeptide ABC transporter permease DppC
HER17_RS00235	HER17_RS00235	1	NZ_CP051652	52996	53976	+		dipeptide ABC transporter ATP-binding protein
HER17_RS00240	HER17_RS00240	1	NZ_CP051652	53973	54983	+		ABC transporter ATP-binding protein
HER17_RS00245	HER17_RS00245	1	NZ_CP051652	55071	55550	-		hypothetical protein
HER17_RS00250	HER17_RS00250	7	NZ_CP051652	55778	56116	-		RHS repeat protein
HER17_RS00255	HER17_RS00255	1	NZ_CP051652	56288	56398	+		SymE family type I addiction module toxin
HER17_RS00260	HER17_RS00260	1	NZ_CP051652	56469	56756	-		hypothetical protein
HER17_RS00265	HER17_RS00265	1	NZ_CP051652	56786	57154	-		hypothetical protein
HER17_RS00270	HER17_RS00270	1	NZ_CP051652	58015	58434	-		hypothetical protein
HER17_RS00275	HER17_RS00275	1	NZ_CP051652	59145	59588	-		hypothetical protein
HER17_RS00280	HER17_RS00280	7	NZ_CP051652	59900	61216	-		RHS repeat-associated core domain-containing protein
HER17_RS00285	HER17_RS00285	1	NZ_CP051652	61270	61452	+		hypothetical protein
HER17_RS00290	HER17_RS00290	1	NZ_CP051652	61491	61934	-		hypothetical protein
HER17_RS00295	HER17_RS00295	7	NZ_CP051652	62360	66298	-		PAAR domain-containing protein
HER17_RS00300	HER17_RS00300	1	NZ_CP051652	66310	66717	-		DUF1795 domain-containing protein
HER17_RS00305	HER17_RS00305	1	NZ_CP051652	66726	68579	-		type VI secretion system tip protein VgrG
HER17_RS00310	HER17_RS00310	1	NZ_CP051652	68670	69188	-		Hcp family type VI secretion system effector
HER17_RS00315	HER17_RS00315	1	NZ_CP051652	69727	70977	-		valine--pyruvate transaminase
HER17_RS00320	HER17_RS00320	1	NZ_CP051652	71370	72578	+		aldose 1-epimerase family protein
HER17_RS00325	HER17_RS00325	1	NZ_CP051652	72741	73652	+		O-acetylserine/cysteine exporter
HER17_RS00330	HER17_RS00330	1	NZ_CP051652	73866	75644	+		gamma-glutamyltransferase
HER17_RS00335	HER17_RS00335	1	NZ_CP051652	75974	77686	+		thiamine pyrophosphate-binding protein
HER17_RS00340	HER17_RS00340	1	NZ_CP051652	77676	78653	+		hypothetical protein
HER17_RS00345	HER17_RS00345	1	NZ_CP051652	78695	79675	+		ketoacyl-ACP synthase III
HER17_RS00350	HER17_RS00350	1	NZ_CP051652	79742	83212	-		cellulose biosynthesis protein BcsC
HER17_RS00355	HER17_RS00355	1	NZ_CP051652	84304	85419	-		cellulase
HER17_RS00360	HER17_RS00360	1	NZ_CP051652	85426	87753	-		cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB
HER17_RS00365	HER17_RS00365	1	NZ_CP051652	87828	90527	-		UDP-forming cellulose synthase catalytic subunit
HER17_RS00370	HER17_RS00370	1	NZ_CP051652	90524	91261	-		cellulose synthase operon protein YhjQ
HER17_RS00375	HER17_RS00375	1	NZ_CP051652	91264	91473	-		hypothetical protein
HER17_RS00380	HER17_RS00380	1	NZ_CP051652	91814	93418	+		cellulose biosynthesis protein BcsE
HER17_RS00385	HER17_RS00385	1	NZ_CP051652	93415	93633	+		cellulose biosynthesis protein BcsF
HER17_RS00390	HER17_RS00390	1	NZ_CP051652	93635	95296	+		cellulose biosynthesis protein BcsG
HER17_RS00395	HER17_RS00395	1	NZ_CP051652	95634	96821	+		diguanylate cyclase
HER17_RS00400	HER17_RS00400	1	NZ_CP051652	97141	98433	+		dicarboxylate/amino acid:cation symporter
HER17_RS00405	HER17_RS00405	1	NZ_CP051652	98793	100310	+		insulinase family protein
HER17_RS00410	HER17_RS00410	1	NZ_CP051652	100392	101324	-		sugar kinase
HER17_RS00415	HER17_RS00415	1	NZ_CP051652	101492	102508	-		inner membrane protein YhjD
HER17_RS00420	HER17_RS00420	1	NZ_CP051652	102762	103958	+		MFS transporter
HER17_RS00425	HER17_RS00425	1	NZ_CP051652	104008	104574	-		DcrB family lipoprotein
HER17_RS00430	HER17_RS00430	1	NZ_CP051652	104762	105439	-		7-cyano-7-deazaguanine/7-aminomethyl-7- deazaguanine transporter
HER17_RS00435	HER17_RS00435	1	NZ_CP051652	105673	105915	+		sulfurtransferase TusA
HER17_RS00440	HER17_RS00440	1	NZ_CP051652	105975	108329	-		zinc/cadmium/mercury/lead-transporting ATPase
HER17_RS00445	HER17_RS00445	1	NZ_CP051652	108628	109257	-		lysoplasmalogenase
HER17_RS00450	HER17_RS00450	1	NZ_CP051652	109449	109769	+		DUF1820 family protein
HER17_RS00455	HER17_RS00455	1	NZ_CP051652	109769	110128	+		DUF2500 domain-containing protein
HER17_RS00460	HER17_RS00460	1	NZ_CP051652	110132	110407	-		DUF1145 family protein
HER17_RS00465	HER17_RS00465	1	NZ_CP051652	110437	111012	-		16S rRNA (guanine(966)-N(2))-methyltransferase
HER17_RS00470	HER17_RS00470	1	NZ_CP051652	111362	112828	+		signal recognition particle-docking protein FtsY
HER17_RS00475	HER17_RS00475	1	NZ_CP051652	112834	113505	+		cell division ATP-binding protein FtsE
HER17_RS00480	HER17_RS00480	1	NZ_CP051652	113495	114463	+		cell division protein FtsX
