"X","Dickeya_dadantii_3937","Dickeya_dianthicola_67_19","Dickeya_dianthicola_ME23","Pectobacterium_carotovorum_WPP14","Dda3937_locus","DdiaME23_locus","Ddia6719_locus","PcWPP14_locus"
"group_00001","WP_033111817.1","WP_192991111.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09680","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991112.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09680","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991110.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09680","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991111.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09685","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991112.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09685","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991110.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09685","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991111.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09675","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991112.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09675","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111817.1","WP_192991110.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09360","DZA65_RS09675","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991111.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09680","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991112.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09680","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991110.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09680","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991111.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09685","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991112.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09685","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991110.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09685","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991111.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09675","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991112.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09675","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_033111816.1","WP_192991110.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09350","DZA65_RS09675","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991111.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09680","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991112.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09680","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991110.1","WP_024105648.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09680","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991111.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09685","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991112.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09685","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991110.1","WP_024105649.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09685","HGI48_RS09365","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991111.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09675","HGI48_RS09370","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991112.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09675","HGI48_RS09375","HER17_RS12775"
"group_00001","WP_013317653.1","WP_192991110.1","WP_024105647.1","WP_029367285.1","DDA3937_RS09355","DZA65_RS09675","HGI48_RS09365","HER17_RS12775"
"group_00002","WP_013316545.1","WP_013316545.1","WP_024108343.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013316545.1","WP_013316545.1","WP_024108343.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS13860","HER17_RS04920"
"group_00002","WP_013316545.1","WP_192991002.1","WP_024108343.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013316545.1","WP_192991002.1","WP_024108343.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013316545.1","WP_038904890.1","WP_024108343.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013316545.1","WP_038904890.1","WP_024108343.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS07185","HER17_RS04920"
"group_00002","WP_013316545.1","WP_013316545.1","WP_012768188.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013316545.1","WP_013316545.1","WP_012768188.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS13860","HER17_RS04920"
