Gene ID	Locus Tag	Name	Function	
648180334	Dda3937_02355	putative cytoplasmic sugar-binding protein	COG1869	
648180335	Dda3937_02356	ribose ABC transporter ATP-binding protein	COG1129	
648180336	Dda3937_02357	D-ribose ABC transporter membrane protein	COG1172	
648180337	Dda3937_02358	D-ribose ABC transporter periplasmic-binding protein	COG1879	
648180338	Dda3937_02359	ribokinase	COG0524	
648180374	Dda3937_01135	MFS superfamily transporter	COG2814	
648180376	Dda3937_01137	putative transporter	COG2814	
648180378	Dda3937_01139	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
648180379	Dda3937_01140	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
648180380	Dda3937_01141	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
648180389	Dda3937_01149	transcriptional regulator FrcR for fructose utilization, ROK family	COG1940	
648180390	Dda3937_01150	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG2182	
648180391	Dda3937_01151	Sugar ABC transporter permease	COG1175	
648180392	Dda3937_01152	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
648180393	Dda3937_01153	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
648180405	Dda3937_02522	Mannonate dehydratase	COG1312	
648180410	Dda3937_02527	D-ribulokinase	COG1069	
648180413	Dda3937_02530	putative cytoplasmic protein	COG4692	
648180419	Dda3937_02536	2-oxoglutarate/malate translocator	COG0471	
648180449	Dda3937_02001	2-dehydro-3-deoxygluconate kinase	COG0524	
648180453	Dda3937_02004	transporter	COG2814	
648180478	Dda3937_02029	periplasmic binding protein of sn-glycerol 3-phosphate transport system	COG1653	
648180479	Dda3937_04431	glycerol 3-phosphate ABC transporter membrane protein	COG1175	
648180480	Dda3937_03043	glycerol-3-phosphate ABC transporter membrane protein	COG0395	
648180481	Dda3937_03044	glycerol-3-phosphate ABC transporter ATP-binding protein	COG3839	
648180503	Dda3937_03867	6-phosphofructokinase (EC 2.7.1.11)	COG0205	
648180507	Dda3937_03871	triosephosphate isomerase (EC 5.3.1.1)	COG0149	
648180511	Dda3937_03875	Fructose-1,6-bisphosphatase, GlpX type	COG1494	
648180513	Dda3937_03877	glycerol uptake facilitator protein	COG0580	
648180603	Dda3937_01587	putative oxidoreductase, Zn-dependent and NAD(P)-binding protein	COG1064	
648180642	Dda3937_00678	HPr-like nitrogen-regulatory protein NPr	COG1925	
648180644	Dda3937_00680	PTS IIA-like nitrogen-regulatory protein PtsN	COG1762	
648180651	Dda3937_00687	D-Arabinose 5-phosphate isomerase	COG0794	
648180668	Dda3937_00704	Multidrug resistance transporter, Bcr/CflA family	COG2814	
648180681	Dda3937_00718	DnaA initiator-associating factor	COG0279	
648180711	Dda3937_01266	beta-fructofuranosidase (EC 3.2.1.26)	COG1621	
648180712	Dda3937_01267	PTS system sucrose-specific IIB component, Glc family (TC 4.A.1.2.1)/PTS system sucrose-specific IIC component, Glc family (TC 4.A.1.2.1)	COG1263	
648180713	Dda3937_01268	maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	COG4580	
648180714	Dda3937_01269	Fructokinase	COG0524	
648180732	Dda3937_04450	biofilm protein TabA	COG2731	
648180734	Dda3937_01286	6-phospho-beta-glucosidase	COG2723	
648180784	Dda3937_01332	transcriptional regulator, DeoR family	COG1349	
648180785	Dda3937_01333	transketolase, N-terminal section	COG3959	
648180786	Dda3937_01334	transketolase, C-terminal section	COG3958	
648180788	Dda3937_01336	periplasmic binding protein of an ABC transporter	COG1879	
648180790	Dda3937_01338	ABC transporter ATP-binding protein	COG1129	
648180791	Dda3937_01339	membrane protein of an ABC transporter	COG1172	
648180815	Dda3937_02874	rhamnulose-1-phosphate aldolase	COG0235	
648180816	Dda3937_02875	L-rhamnose isomerase	COG4806	
648180817	Dda3937_02876	rhamnulokinase	COG1070	
