"Var1","Freq","desc","COG","group"
"DZA65_RS00035",6,"oligopeptidase A","amino acid transport and metabolism","group_00188"
"DZA65_RS00360",1,"MarR family transcriptional regulator","transcription","group_02627"
"DZA65_RS00735",1,"orotate phosphoribosyltransferase","nucleotide transport and metabolism","group_02337"
"DZA65_RS00800",4,"O-antigen ligase family protein","none","group_01114"
"DZA65_RS00995",3,"transcription/translation regulatory transformer protein RfaH","transcription","group_02628"
"DZA65_RS01495",1,"RNase adapter RapZ","signal transduction mechanisms","group_01624"
"DZA65_RS01500",5,"PTS IIA-like nitrogen regulatory protein PtsN","signal transduction mechanisms","group_02657"
"DZA65_RS01510",6,"RNA polymerase factor sigma-54","transcription","group_00602"
"DZA65_RS01525",3,"LPS export ABC transporter periplasmic protein LptC","cell wall/membrane/envelope biogenesis","group_02471"
"DZA65_RS01970",2,"aspartate carbamoyltransferase","nucleotide transport and metabolism","group_01481"
"DZA65_RS02490",6,"phosphoserine phosphatase","amino acid transport and metabolism","group_01340"
"DZA65_RS02680",3,"heavy metal translocating P-type ATPase",NA,NA
"DZA65_RS03260",3,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis","group_01514"
"DZA65_RS03625",3,"polysaccharide biosynthesis protein","postranslational modification, protein turnover, chaperones","group_00261"
"DZA65_RS03670",1,"kdo(2)-lipid IV(A) palmitoleoyltransferase","lipid transport and metabolism","group_01482"
"DZA65_RS04255",3,"divalent metal cation transporter","inorganic ion transport and metabolism","group_00972"
"DZA65_RS04310",3,"Dyp-type peroxidase","inorganic ion transport and metabolism","group_01500"
"DZA65_RS04355",3,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism","group_00317"
"DZA65_RS05310",6,"thymidylate synthase","nucleotide transport and metabolism","group_01653"
"DZA65_RS05445",6,"bifunctional uridylyltransferase/uridylyl-removing protein GlnD","signal transduction mechanisms","group_00072"
"DZA65_RS05490",1,"sigma E protease regulator RseP","none","group_00659"
"DZA65_RS06020",1,"endopeptidase La","postranslational modification, protein turnover, chaperones","group_00126"
"DZA65_RS06685",3,"asparagine synthase B",NA,"group_03513"
"DZA65_RS06745",5,"alpha-D-glucose phosphate-specific phosphoglucomutase","carbohydrate transport and metabolism","group_00327"
"DZA65_RS06855",1,"ADP-forming succinate--CoA ligase subunit beta","energy production and conversions","group_00934"
"DZA65_RS06895",6,"Tol-Pal system protein TolQ","intracellular trafficking, secretion, and vesicular transport","group_02216"
"DZA65_RS07170",4,"UTP--glucose-1-phosphate uridylyltransferase","cell wall/membrane/envelope biogenesis","group_01640"
"DZA65_RS09515",1,"hypothetical protein","none","group_02939"
"DZA65_RS10165",4,"DUF496 family protein","function unknown","group_02996"
"DZA65_RS10485",3,"membrane protein","function unknown","group_02906"
"DZA65_RS10550",2,"murein DD-endopeptidase MepM","cell wall/membrane/envelope biogenesis","group_00573"
"DZA65_RS10890",2,"cardiolipin synthase","lipid transport and metabolism","group_00517"
"DZA65_RS10915",6,"septation protein A","cell cycle control, cell division, chromosome partitioning","group_02534"
"DZA65_RS10920",2,"UPF0259 family protein","none","group_02276"
"DZA65_RS10940",6,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"DZA65_RS10945",6,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"DZA65_RS10950",3,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism","group_00740"
"DZA65_RS10955",3,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism","group_01328"
"DZA65_RS10965",5,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"DZA65_RS11020",3,"HTH-type transcriptional regulator CysB","transcription","group_01314"
"DZA65_RS11120",4,"mannose-6-phosphate isomerase","none","group_00938"
"DZA65_RS11145",3,"ROK family transcriptional regulator","transcription","group_00872"
"DZA65_RS11435",1,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis","group_01051"
"DZA65_RS11865",2,"tRNA 2-thiouridine(34) synthase MnmA","translation, ribosomal structure, and biogenesis","group_00956"
"DZA65_RS12505",3,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones","group_00195"
"DZA65_RS12955",1,"peptide ABC transporter substrate-binding protein SapA","amino acid transport and metabolism","group_00285"
"DZA65_RS12975",2,"peptide ABC transporter ATP-binding protein SapF","defense mechanisms","group_01843"
"DZA65_RS13030",1,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism","group_02019"
"DZA65_RS13085",6,"pyridoxamine 5'-phosphate oxidase","none","group_02149"
"DZA65_RS13390",1,"quinone-dependent dihydroorotate dehydrogenase","nucleotide transport and metabolism","group_01246"
"DZA65_RS13425",3,"nicotinate phosphoribosyltransferase","coenzyme transport and metabolism","group_00835"
"DZA65_RS13435",3,"porin","cell wall/membrane/envelope biogenesis","group_00008"
"DZA65_RS13710",2,"dihydroorotase","nucleotide transport and metabolism","group_01145"
"DZA65_RS13750",6,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis","group_00097"
"DZA65_RS13755",6,"glucan biosynthesis protein G","cell wall/membrane/envelope biogenesis","group_00352"
"DZA65_RS13880",2,"flagellar export chaperone FliS","intracellular trafficking, secretion, and vesicular transport","group_02865"
"DZA65_RS14025",1,"flagella synthesis chaperone protein FlgN","intracellular trafficking, secretion, and vesicular transport","group_02815"
"DZA65_RS15335",1,"amidophosphoribosyltransferase","nucleotide transport and metabolism","group_00412"
"DZA65_RS15340",2,"colicin V production protein","function unknown","group_02663"
"DZA65_RS15370",5,"tRNA pseudouridine(38-40) synthase TruA","translation, ribosomal structure, and biogenesis","group_01689"
"DZA65_RS15380",6,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"DZA65_RS15520",5,"tRNA-Arg",NA,NA
"DZA65_RS15900",1,"MarR family transcriptional regulator",NA,NA
"DZA65_RS15990",1,"5-(carboxyamino)imidazole ribonucleotide mutase","nucleotide transport and metabolism","group_02659"
"DZA65_RS15995",2,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism","group_01064"
"DZA65_RS16045",5,"polyphosphate kinase 1","inorganic ion transport and metabolism","group_00176"
"DZA65_RS16225",1,"LacI family transcriptional regulator","transcription","group_01463"
"DZA65_RS16460",1,"hypothetical protein",NA,NA
"DZA65_RS16610",5,"IMP dehydrogenase","nucleotide transport and metabolism","group_00559"
"DZA65_RS16705",2,"co-chaperone HscB","postranslational modification, protein turnover, chaperones","group_02629"
"DZA65_RS16810",3,"nitrogen regulatory protein P-II","signal transduction mechanisms","group_02992"
"DZA65_RS16885",5,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism","group_02113"
"DZA65_RS16960",1,"tRNA-Ala",NA,NA
"DZA65_RS17245",4,"tRNA-Asp",NA,NA
"DZA65_RS17270",2,"murein transglycosylase D","cell wall/membrane/envelope biogenesis","group_00595"
"DZA65_RS18145",1,"GTP diphosphokinase","transcription","group_00129"
"DZA65_RS18270",1,"glycerol-3-phosphate 1-O-acyltransferase PlsY","lipid transport and metabolism","group_02264"
"DZA65_RS18650",1,"alanine racemase","cell wall/membrane/envelope biogenesis","group_01156"
"DZA65_RS19350",1,"bis(5'-nucleosyl)-tetraphosphatase (symmetrical)","signal transduction mechanisms","group_01648"
"DZA65_RS19515",5,"non-canonical purine NTP phosphatase","nucleotide transport and metabolism","group_02514"
"DZA65_RS19540",6,"phosphoglycerate dehydrogenase","general function prediction only","group_00830"
"DZA65_RS19655",1,"adenylosuccinate synthase","nucleotide transport and metabolism","group_00688"
"DZA65_RS19665",1,"protease modulator HflC","postranslational modification, protein turnover, chaperones","group_01428"
"DZA65_RS19670",2,"FtsH protease activity modulator HflK","postranslational modification, protein turnover, chaperones","group_01013"
"DZA65_RS19720",4,"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","cell wall/membrane/envelope biogenesis","group_00544"
"DZA65_RS19725",3,"phosphomannomutase/phosphoglucomutase","carbohydrate transport and metabolism","group_00629"
"DZA65_RS19730",2,"GDP-mannose 4,6-dehydratase","cell wall/membrane/envelope biogenesis","group_00977"
"DZA65_RS19740",2,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis","group_02104"
"DZA65_RS19745",3,"GDP-L-fucose synthase","cell wall/membrane/envelope biogenesis","group_01353"
"DZA65_RS19750",1,"hypothetical protein","cell wall/membrane/envelope biogenesis","group_00884"
"DZA65_RS19755",5,"glycosyltransferase","cell wall/membrane/envelope biogenesis","group_01025"
"DZA65_RS20355",5,"Trk system potassium transporter TrkA","inorganic ion transport and metabolism","group_00637"
"DZA65_RS20555",1,"sulfurtransferase complex subunit TusD","inorganic ion transport and metabolism","group_02919"
"DZA65_RS20840",1,"two-component system response regulator OmpR","transcription","group_02033"
"DZA65_RS20970",4,"gluconate operon transcriptional repressor GntR","transcription","group_01337"
"DZA65_RS21080",1,"DNA helicase II","replication, recombination, and repair","group_00146"
"DZA65_RS21370",3,"DUF413 domain-containing protein","function unknown","group_02958"
"DZA65_RS21375",3,"HTH-type transcriptional regulator HdfR","transcription","group_01730"
"DZA65_RS21420",6,"glutamate racemase","cell wall/membrane/envelope biogenesis","group_01703"
"DZA65_RS21450",3,"DNA-binding transcriptional regulator OxyR","transcription","group_01485"
"DZA65_RS21565",1,"agmatine deiminase","amino acid transport and metabolism","group_01003"
"DZA65_RS21610",3,"envelope stress response regulator transcription factor CpxR","transcription","group_02139"
"DZA65_RS22005",2,"inorganic phosphate transporter PitA","none","group_00546"
"DZA65_RS22160",2,"ATP-dependent DNA helicase RecG","replication, recombination, and repair","group_00181"
"DZA65_RS22195",3,"ribosome-dependent GTPase TypA","signal transduction mechanisms","group_00244"
"DZA65_RS22210",6,"nitrogen regulation protein NR(I)","signal transduction mechanisms","group_00527"
"DZA65_RS22290",3,"substrate-binding domain-containing protein","transcription","group_01280"
"DZA65_RS22335",6,"low affinity potassium transporter Kup","inorganic ion transport and metabolism","group_00240"
"DZA65_RS22635",6,"4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE","none","group_03065"
"DZA65_RS22640",6,"4-amino-4-deoxy-L-arabinose-phospho-UDP flippase","none","group_02926"
"DZA65_RS22705",1,"membrane protein insertion efficiency factor YidD","cell wall/membrane/envelope biogenesis","group_03103"
