locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
DZA65_RS00010	DZA65_RS00010	1	NZ_CP031560	1325	2425	+		DNA polymerase III subunit beta
DZA65_RS00015	DZA65_RS00015	1	NZ_CP031560	2591	3676	+		DNA replication/repair protein RecF
DZA65_RS00020	DZA65_RS00020	1	NZ_CP031560	3694	6105	+		DNA topoisomerase (ATP-hydrolyzing) subunit B
DZA65_RS00025	DZA65_RS00025	1	NZ_CP031560	6182	7366	-		MFS transporter
DZA65_RS00030	DZA65_RS00030	1	NZ_CP031560	7560	8312	-		16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ
DZA65_RS00035	DZA65_RS00035	1	NZ_CP031560	8309	10351	-		oligopeptidase A
DZA65_RS00040	DZA65_RS00040	1	NZ_CP031560	10497	10781	-		DUF2623 domain-containing protein
DZA65_RS00045	DZA65_RS00045	1	NZ_CP031560	10954	11796	+		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
DZA65_RS00050	DZA65_RS00050	1	NZ_CP031560	11895	12809	-		ribonuclease Z
DZA65_RS00055	DZA65_RS00055	1	NZ_CP031560	13190	14542	+		glutathione-disulfide reductase
DZA65_RS00060	DZA65_RS00060	7	NZ_CP031560	14659	15630	-		DASS family sodium-coupled anion symporter
DZA65_RS00065	DZA65_RS00065	1	NZ_CP031560	15673	17025	-		adenylosuccinate lyase family protein
DZA65_RS00070	DZA65_RS00070	1	NZ_CP031560	17234	17968	+		GntR family transcriptional regulator
DZA65_RS00080	DZA65_RS00080	1	NZ_CP031560	18660	20063	+		MBOAT family protein
DZA65_RS00085	DZA65_RS00085	1	NZ_CP031560	20050	21117	+		DUF459 domain-containing protein
DZA65_RS00090	DZA65_RS00090	1	NZ_CP031560	21140	22354	+		hypothetical protein
DZA65_RS00095	DZA65_RS00095	7	NZ_CP031560	22452	22630	+		AsnC family transcriptional regulator
DZA65_RS00100	DZA65_RS00100	1	NZ_CP031560	22633	23754	-		phosphoserine transaminase
DZA65_RS00105	DZA65_RS00105	1	NZ_CP031560	24057	25304	-		formyl-CoA transferase
DZA65_RS00110	DZA65_RS00110	1	NZ_CP031560	25398	25835	-		PAS sensor domain-containing protein
DZA65_RS00115	DZA65_RS00115	1	NZ_CP031560	25841	27118	-		formyl-CoA transferase
DZA65_RS00120	DZA65_RS00120	1	NZ_CP031560	27157	28902	-		oxalyl-CoA decarboxylase
DZA65_RS00125	DZA65_RS00125	1	NZ_CP031560	28956	30263	-		MFS transporter
DZA65_RS00130	DZA65_RS00130	1	NZ_CP031560	30741	31637	+		LysR family transcriptional regulator
DZA65_RS00135	DZA65_RS00135	1	NZ_CP031560	32075	32542	+		GNAT family N-acetyltransferase
DZA65_RS00140	DZA65_RS00140	1	NZ_CP031560	32629	33072	-		MarR family transcriptional regulator
DZA65_RS00145	DZA65_RS00145	1	NZ_CP031560	33219	33509	+		DUF3861 domain-containing protein
DZA65_RS00150	DZA65_RS00150	1	NZ_CP031560	33650	34618	+		glucokinase
DZA65_RS00155	DZA65_RS00155	1	NZ_CP031560	34711	35829	-		alkylhydroperoxidase domain protein
DZA65_RS00160	DZA65_RS00160	1	NZ_CP031560	35826	36875	-		putative FMN-dependent luciferase-like monooxygenase
DZA65_RS00165	DZA65_RS00165	1	NZ_CP031560	36905	38557	-		ABC transporter ATP-binding protein
DZA65_RS00170	DZA65_RS00170	1	NZ_CP031560	38554	39444	-		ABC transporter permease
DZA65_RS00175	DZA65_RS00175	1	NZ_CP031560	39446	40387	-		ABC transporter permease
DZA65_RS00180	DZA65_RS00180	1	NZ_CP031560	40416	42059	-		TIGR04028 family ABC transporter substrate-binding protein
DZA65_RS00185	DZA65_RS00185	1	NZ_CP031560	42385	43641	-		valine--pyruvate transaminase
DZA65_RS00190	DZA65_RS00190	1	NZ_CP031560	43995	45203	+		aldose 1-epimerase family protein
DZA65_RS00195	DZA65_RS00195	1	NZ_CP031560	45305	46267	-		glyoxylate/hydroxypyruvate reductase GhrB
DZA65_RS00200	DZA65_RS00200	1	NZ_CP031560	46767	47222	-		N-acetyltransferase
DZA65_RS00205	DZA65_RS00205	1	NZ_CP031560	47219	47779	-		DNA-3-methyladenine glycosylase I
DZA65_RS00210	DZA65_RS00210	1	NZ_CP031560	48019	48825	+		sulfite exporter TauE/SafE family protein
DZA65_RS00215	DZA65_RS00215	1	NZ_CP031560	48970	49884	+		glycine--tRNA ligase subunit alpha
DZA65_RS00220	DZA65_RS00220	1	NZ_CP031560	49894	51978	+		glycine--tRNA ligase subunit beta
DZA65_RS00225	DZA65_RS00225	1	NZ_CP031560	52565	53335	+		alpha/beta hydrolase
DZA65_RS00230	DZA65_RS00230	1	NZ_CP031560	53673	57266	-		urea carboxylase
DZA65_RS00235	DZA65_RS00235	1	NZ_CP031560	57368	58003	-		urea carboxylase-associated family protein
DZA65_RS00240	DZA65_RS00240	1	NZ_CP031560	58006	58725	-		urea carboxylase-associated family protein
DZA65_RS00245	DZA65_RS00245	1	NZ_CP031560	58754	59530	-		ABC transporter ATP-binding protein
DZA65_RS00250	DZA65_RS00250	1	NZ_CP031560	59558	60370	-		ABC transporter permease subunit
DZA65_RS00255	DZA65_RS00255	1	NZ_CP031560	60387	61442	-		ABC transporter substrate-binding protein
DZA65_RS00260	DZA65_RS00260	1	NZ_CP031560	62153	62863	+		DUF3053 domain-containing protein
DZA65_RS00265	DZA65_RS00265	1	NZ_CP031560	63353	65260	+		PTS mannitol transporter subunit IICBA
DZA65_RS00270	DZA65_RS00270	1	NZ_CP031560	65336	66484	+		mannitol-1-phosphate 5-dehydrogenase
DZA65_RS00275	DZA65_RS00275	1	NZ_CP031560	66651	67181	+		MltR family transcriptional regulator
DZA65_RS00280	DZA65_RS00280	1	NZ_CP031560	67287	69173	-		HAMP domain-containing protein
DZA65_RS00285	DZA65_RS00285	1	NZ_CP031560	69441	70067	-		superoxide dismutase [Mn]
DZA65_RS00290	DZA65_RS00290	1	NZ_CP031560	70341	71195	-		formate dehydrogenase accessory sulfurtransferase FdhD
DZA65_RS00295	DZA65_RS00295	1	NZ_CP031560	71531	73066	+		aldehyde dehydrogenase
DZA65_RS00300	DZA65_RS00300	1	NZ_CP031560	73145	74605	-		xylulokinase
DZA65_RS00310	DZA65_RS00310	1	NZ_CP031560	74909	76228	-		xylose isomerase
DZA65_RS00315	DZA65_RS00315	1	NZ_CP031560	76720	77715	+		D-xylose ABC transporter substrate-binding protein
DZA65_RS00320	DZA65_RS00320	1	NZ_CP031560	77790	79331	+		xylose ABC transporter ATP-binding protein
DZA65_RS00325	DZA65_RS00325	1	NZ_CP031560	79309	80493	+		sugar ABC transporter permease
DZA65_RS00330	DZA65_RS00330	1	NZ_CP031560	80685	81908	+		DNA-binding transcriptional regulator
DZA65_RS00335	DZA65_RS00335	1	NZ_CP031560	81950	82525	-		DJ-1/PfpI family protein
DZA65_RS00340	DZA65_RS00340	1	NZ_CP031560	82719	82997	-		metal/formaldehyde-sensitive transcriptional repressor
DZA65_RS00345	DZA65_RS00345	1	NZ_CP031560	83097	83990	+		nickel/cobalt efflux protein RcnA
DZA65_RS00350	DZA65_RS00350	1	NZ_CP031560	84001	84198	-		hypothetical protein
DZA65_RS00355	DZA65_RS00355	1	NZ_CP031560	84318	85667	+		argininosuccinate synthase
DZA65_RS00360	DZA65_RS00360	1	NZ_CP031560	85764	86264	-		MarR family transcriptional regulator
DZA65_RS00365	DZA65_RS00365	1	NZ_CP031560	86623	87516	+		DMT family transporter
DZA65_RS00370	DZA65_RS00370	1	NZ_CP031560	87856	88806	+		pseudouridine-5'-phosphate glycosidase
DZA65_RS00375	DZA65_RS00375	1	NZ_CP031560	88818	89510	+		HAD family hydrolase
