locusId	sysName	desc	expName	expDesc	fit	absDiff	p
DDA3937_RS12440	DDA3937_RS12440	peptide ABC transporter substrate-binding protein SapA	setATCH110	LB	-1.09154851057172	1.20415075312613	0.00328624877414049
DDA3937_RS13935	DDA3937_RS13935	hypothetical protein	setATCH110	LB	1.10339093482273	2.40459323106177	3.92188131619266e-07
DDA3937_RS14950	DDA3937_RS14950	hypothetical protein	setATCH110	LB	1.07922107742645	1.3921440914764	0.00496029703146703
DDA3937_RS10470	DDA3937_RS10470	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	setATCH111	LB	-1.37149242406002	1.0352020566844	0.0013991281384237
DDA3937_RS13935	DDA3937_RS13935	hypothetical protein	setATCH111	LB	1.56645167363387	3.06258274705245	1.14723992388847e-08
DDA3937_RS13945	DDA3937_RS13945	hypothetical protein	setATCH111	LB	1.39042471672513	1.18156797842867	1.00959837953785e-05
DDA3937_RS13935	DDA3937_RS13935	hypothetical protein	setATCH112	LB	1.49215814793638	2.75136872776829	1.61744683420884e-06
DDA3937_RS14950	DDA3937_RS14950	hypothetical protein	setATCH112	LB	1.24946530670168	1.42356343039794	0.0010769049312226
DDA3937_RS00050	DDA3937_RS00050	ribokinase	setATCH128	M9	1.44229912874132	1.70577063433661	5.71833006919471e-11
DDA3937_RS01660	DDA3937_RS01660	FAD-dependent oxidoreductase	setATCH128	M9	-3.6990024444243	1.06601829740372	0.00443556680962982
DDA3937_RS05320	DDA3937_RS05320	hypothetical protein	setATCH128	M9	1.93401775997962	3.60158181503386	4.54810967338103e-05
DDA3937_RS06070	DDA3937_RS06070	outer membrane protein assembly factor BamC	setATCH128	M9	-1.15709872925502	1.42169531276434	9.44685120896728e-05
DDA3937_RS13395	DDA3937_RS13395	flagellar basal body-associated protein FliL	setATCH128	M9	2.27064024539349	1.78180530353477	0.00182504408084871
DDA3937_RS19665	DDA3937_RS19665	maltodextrin phosphorylase	setATCH128	M9	1.22885584279691	1.63974529542677	5.08814408185168e-05
DDA3937_RS00050	DDA3937_RS00050	ribokinase	setATCH129	M9	1.63773637158787	1.9036678444106	3.92994189117262e-10
DDA3937_RS01600	DDA3937_RS01600	outer membrane-stress sensor serine endopeptidase DegS	setATCH129	M9	-1.77137744171447	1.18164491194657	0.000403241446099628
DDA3937_RS05320	DDA3937_RS05320	hypothetical protein	setATCH129	M9	2.41832556080046	3.39369583859049	0.000457126432455126
DDA3937_RS13395	DDA3937_RS13395	flagellar basal body-associated protein FliL	setATCH129	M9	2.46155746030703	1.440085448992	0.00695242858999287
DDA3937_RS13945	DDA3937_RS13945	hypothetical protein	setATCH129	M9	1.057401636078	1.67490833397858	1.4677063515105e-06
DDA3937_RS19665	DDA3937_RS19665	maltodextrin phosphorylase	setATCH129	M9	1.52043095681138	2.31284702557483	3.69754902322763e-07
DDA3937_RS23335	DDA3937_RS23335	leu operon leader peptide	setATCH129	M9	-1.13006434903163	1.87735206773276	0.00220793535026313
DDA3937_RS00050	DDA3937_RS00050	ribokinase	setATCH130	M9	1.62402947484862	1.6957701594634	3.85912384175423e-06
DDA3937_RS04405	DDA3937_RS04405	GNAT family N-acetyltransferase	setATCH130	M9	1.11408312574511	2.04255056166902	1.71265467666077e-05
DDA3937_RS13395	DDA3937_RS13395	flagellar basal body-associated protein FliL	setATCH130	M9	2.63876920561156	2.27818774595929	0.000343793242947292
DDA3937_RS13945	DDA3937_RS13945	hypothetical protein	setATCH130	M9	1.04955469063432	2.00521638317464	3.89965646587148e-09
DDA3937_RS19665	DDA3937_RS19665	maltodextrin phosphorylase	setATCH130	M9	1.27629578372297	2.02764052605828	1.306224212728e-05
DDA3937_RS00130	DDA3937_RS00130	nitrogen regulation protein NR(II)	setATCH145	PDB	-1.67013657706491	1.09677465766063	0.00608703592331304
DDA3937_RS00345	DDA3937_RS00345	inorganic phosphate transporter PitA	setATCH145	PDB	1.06278824941973	1.25468560199066	0.00480678901371673
DDA3937_RS01550	DDA3937_RS01550	3-deoxy-manno-octulosonate-8-phosphatase KdsC	setATCH145	PDB	1.40297281756209	1.59639028300525	0.00200452749477653
DDA3937_RS03095	DDA3937_RS03095	lipoprotein NlpI	setATCH145	PDB	-2.54591067340893	1.10808853355672	0.00158586321221111
DDA3937_RS04220	DDA3937_RS04220	hypothetical protein	setATCH145	PDB	2.09983192570958	3.04769889310421	0.00196965990336217
DDA3937_RS04655	DDA3937_RS04655	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	setATCH145	PDB	-1.02125659414232	1.2025215363439	0.00362607213654406
DDA3937_RS07715	DDA3937_RS07715	TonB-dependent receptor	setATCH145	PDB	2.66014776564288	2.17536843870416	2.35569505851563e-07
DDA3937_RS10375	DDA3937_RS10375	oligopeptide ABC transporter substrate-binding protein OppA	setATCH145	PDB	3.62124472367375	1.16489837575112	1.7528825383099e-32
DDA3937_RS10385	DDA3937_RS10385	oligopeptide ABC transporter permease OppC	setATCH145	PDB	3.70304010560211	1.07532986635117	9.14349874410944e-17
DDA3937_RS16430	DDA3937_RS16430	acyl carrier protein	setATCH145	PDB	-1.05292109487732	1.9435970464123	0.00512100321907379
DDA3937_RS18430	DDA3937_RS18430	protein CreA	setATCH145	PDB	-1.06257223745581	1.77263886727793	0.00328202520880021
DDA3937_RS01525	DDA3937_RS01525	ribosome hibernation promoting factor	setATCH146	PDB	-1.18508892223014	1.18248556291734	0.0028094780930866
DDA3937_RS04220	DDA3937_RS04220	hypothetical protein	setATCH146	PDB	2.08856389179227	4.21281936730974	0.00023894621134958
DDA3937_RS04225	DDA3937_RS04225	DUF2586 domain-containing protein	setATCH146	PDB	1.57548883801844	1.94780342528213	0.00303738617879759
DDA3937_RS07715	DDA3937_RS07715	TonB-dependent receptor	setATCH146	PDB	2.31928016937786	1.87081431605254	4.08787431647416e-07
DDA3937_RS10375	DDA3937_RS10375	oligopeptide ABC transporter substrate-binding protein OppA	setATCH146	PDB	3.62372565749468	1.07766817915925	7.31865870618428e-33
DDA3937_RS17665	DDA3937_RS17665	PAAR domain-containing protein	setATCH146	PDB	1.06008595353872	3.64544408363007	0.00192448725989502
DDA3937_RS17835	DDA3937_RS17835	D-threonate 4-phosphate dehydrogenase	setATCH146	PDB	1.44604248931892	1.66074337757231	0.000938091873385921
DDA3937_RS20470	DDA3937_RS20470	glycosyltransferase family 9 protein	setATCH146	PDB	1.97579184472901	1.860783233627	0.00252109223528303
DDA3937_RS00100	DDA3937_RS00100	thiol:disulfide interchange protein DsbA	setATCH147	PDB	1.19394324324391	1.35998916030761	0.00211994062098744
DDA3937_RS03095	DDA3937_RS03095	lipoprotein NlpI	setATCH147	PDB	-2.5660602337027	1.08364188227617	0.00871728512668906
DDA3937_RS04220	DDA3937_RS04220	hypothetical protein	setATCH147	PDB	2.55304814674303	4.00652056547814	0.00257314960800273
DDA3937_RS04235	DDA3937_RS04235	phage holin family protein	setATCH147	PDB	2.88438596482495	3.97823341216184	0.00222018214386778
DDA3937_RS07715	DDA3937_RS07715	TonB-dependent receptor	setATCH147	PDB	2.44221454268579	1.77022234071963	3.15052388479607e-06
DDA3937_RS10375	DDA3937_RS10375	oligopeptide ABC transporter substrate-binding protein OppA	setATCH147	PDB	3.4176737657443	1.00394005895174	4.82392078465207e-27
DDA3937_RS11975	DDA3937_RS11975	GAF domain-containing protein	setATCH147	PDB	1.12537788042455	3.24247713898198	0.00573022567075172
DDA3937_RS12595	DDA3937_RS12595	transcriptional regulator SlyA	setATCH147	PDB	1.20209985084433	1.50359884149094	0.00452099518458513
DDA3937_RS14950	DDA3937_RS14950	hypothetical protein	setATCH147	PDB	1.54617182972137	3.42450265556521	0.000363926423098578
DDA3937_RS15635	DDA3937_RS15635	nitrogen regulatory protein P-II	setATCH147	PDB	-1.75616625880259	2.28685813160897	0.00770482625725232
DDA3937_RS18135	DDA3937_RS18135	siderophore-interacting protein	setATCH147	PDB	2.2802617916794	2.21450896013968	0.00183495025746731
DDA3937_RS20455	DDA3937_RS20455	putative lipopolysaccharide heptosyltransferase III	setATCH147	PDB	2.41715346024911	4.12710224377788	0.000500132406120813
DDA3937_RS11715	DDA3937_RS11715	hypothetical protein	setATCH148	Atlantic	-2.06761864677638	2.46497999027012	0.00564228180303374
DDA3937_RS15705	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	setATCH148	Atlantic	4.70214834080264	1.66047081972552	0.000838606513971884
DDA3937_RS18610	DDA3937_RS18610	RNA chaperone Hfq	setATCH148	Atlantic	1.75874154391103	2.04757582703607	0.00143476039806142
DDA3937_RS21960	DDA3937_RS21960	helix-turn-helix transcriptional regulator	setATCH148	Atlantic	5.01881582836114	6.73599991483927	7.71218636055378e-07
DDA3937_RS04405	DDA3937_RS04405	GNAT family N-acetyltransferase	setATCH149	Atlantic	1.25961167866191	2.38318590005964	0.00498917089856922
DDA3937_RS06070	DDA3937_RS06070	outer membrane protein assembly factor BamC	setATCH149	Atlantic	-1.08237353684422	2.35101975681796	2.59977293789738e-05
DDA3937_RS06615	DDA3937_RS06615	UDP-glucose 4-epimerase GalE	setATCH149	Atlantic	-1.31916424641547	1.79697467481814	4.14507281693201e-14
DDA3937_RS14440	DDA3937_RS14440	colicin V production protein	setATCH149	Atlantic	-2.17501712967207	1.65338603130326	1.04426087973504e-05
