"Var1","Freq","desc","COG","group"
"DDA3937_RS00010",4,"transcriptional regulator AsnC","transcription","group_02715"
"DDA3937_RS00050",6,"ribokinase","carbohydrate transport and metabolism","group_01613"
"DDA3937_RS00055",6,"ribose operon transcriptional repressor RbsR","transcription","group_01280"
"DDA3937_RS00100",1,"thiol:disulfide interchange protein DsbA","none","group_02319"
"DDA3937_RS00140",3,"ribosome-dependent GTPase TypA","signal transduction mechanisms","group_00244"
"DDA3937_RS00155",1,"fatty acid biosynthesis protein FabY","general function prediction only","group_01372"
"DDA3937_RS00170",1,"ATP-dependent DNA helicase RecG","replication, recombination, and repair","group_00181"
"DDA3937_RS00525",1,"cellulose synthase operon protein YhjQ","cell motility","group_01929"
"DDA3937_RS00545",1,"cellulose synthase","none","group_02687"
"DDA3937_RS00640",1,"cell division ATP-binding protein FtsE","cell cycle control, cell division, chromosome partitioning","group_02203"
"DDA3937_RS00655",3,"aspartate 1-decarboxylase autocleavage activator PanM","none","group_02795"
"DDA3937_RS00890",6,"glycerol kinase GlpK","energy production and conversions","group_00390"
"DDA3937_RS00895",6,"aquaporin","carbohydrate transport and metabolism","group_01754"
"DDA3937_RS00900",2,"cell division protein ZapB","cell cycle control, cell division, chromosome partitioning","group_03211"
"DDA3937_RS00950",6,"cystathionine gamma-synthase","amino acid transport and metabolism","group_00959"
"DDA3937_RS01150",4,"2-iminoacetate synthase ThiH","coenzyme transport and metabolism","group_00887"
"DDA3937_RS01155",4,"thiazole synthase","coenzyme transport and metabolism","group_01968"
"DDA3937_RS01165",3,"HesA/MoeB/ThiF family protein","coenzyme transport and metabolism","group_02092"
"DDA3937_RS01170",5,"thiamine phosphate synthase","coenzyme transport and metabolism","group_02358"
"DDA3937_RS01175",3,"phosphomethylpyrimidine synthase ThiC","coenzyme transport and metabolism","group_00218"
"DDA3937_RS01215",6,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"DDA3937_RS01220",6,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism","group_00389"
"DDA3937_RS01425",1,"RNase E specificity factor CsrD","signal transduction mechanisms","group_00220"
"DDA3937_RS01515",2,"RNase adapter RapZ","signal transduction mechanisms","group_01624"
"DDA3937_RS01525",1,"ribosome hibernation promoting factor","translation, ribosomal structure, and biogenesis","group_03090"
"DDA3937_RS01530",2,"RNA polymerase factor sigma-54","transcription","group_00602"
"DDA3937_RS01590",2,"BolA family iron metabolism protein IbaG","signal transduction mechanisms","group_03144"
"DDA3937_RS01600",5,"outer membrane-stress sensor serine endopeptidase DegS","postranslational modification, protein turnover, chaperones","group_01222"
"DDA3937_RS01660",6,"FAD-dependent oxidoreductase","general function prediction only","group_00477"
"DDA3937_RS01665",6,"glutamate synthase large subunit","amino acid transport and metabolism","group_00021"
"DDA3937_RS01675",1,"aerobic respiration two-component sensor histidine kinase ArcB",NA,NA
"DDA3937_RS01695",6,"divisome-associated lipoprotein YraP","function unknown","group_02518"
"DDA3937_RS01815",6,"cystathionine beta-lyase","amino acid transport and metabolism","group_00890"
"DDA3937_RS01920",6,"aspartate carbamoyltransferase regulatory subunit","nucleotide transport and metabolism","group_02679"
"DDA3937_RS01940",6,"ornithine carbamoyltransferase","amino acid transport and metabolism","group_01248"
"DDA3937_RS01945",1,"ribonuclease E inhibitor RraB","translation, ribosomal structure, and biogenesis","group_02903"
"DDA3937_RS02425",6,"phosphoserine phosphatase","amino acid transport and metabolism","group_01340"
"DDA3937_RS02545",6,"heavy metal translocating P-type ATPase","inorganic ion transport and metabolism","group_03341"
"DDA3937_RS02685",6,"hypothetical protein","none","group_03485"
"DDA3937_RS02765",4,"zinc uptake transcriptional repressor Zur","inorganic ion transport and metabolism","group_02565"
"DDA3937_RS02915",2,"TetR/AcrR family transcriptional regulator","transcription","group_02602"
"DDA3937_RS03190",3,"16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC","translation, ribosomal structure, and biogenesis","group_01235"
"DDA3937_RS03220",1,"DUF1435 domain-containing protein","none","group_03110"
"DDA3937_RS04070",1,"helix-turn-helix transcriptional regulator","none","group_03478"
"DDA3937_RS04125",2,"acetyltransferase",NA,NA
"DDA3937_RS04225",1,"DUF2586 domain-containing protein","none","group_03730"
"DDA3937_RS04235",1,"phage holin family protein","none","group_03801"
"DDA3937_RS04315",1,"RnfH family protein","defense mechanisms","group_03118"
"DDA3937_RS04405",2,"GNAT family N-acetyltransferase","none","group_03442"
"DDA3937_RS04480",6,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism","group_00317"
"DDA3937_RS04945",4,"RNA pyrophosphohydrolase","defense mechanisms","group_02466"
"DDA3937_RS04990",6,"amino-acid N-acetyltransferase","amino acid transport and metabolism","group_00678"
"DDA3937_RS05105",1,"bifunctional uridylyltransferase/uridylyl-removing protein GlnD","signal transduction mechanisms","group_00072"
"DDA3937_RS05150",3,"sigma E protease regulator RseP","none","group_00659"
"DDA3937_RS05320",5,"hypothetical protein","none","group_02568"
"DDA3937_RS05415",5,"hypothetical protein","replication, recombination, and repair","group_00051"
"DDA3937_RS05420",5,"exonuclease subunit SbcD","replication, recombination, and repair","group_00854"
"DDA3937_RS05500",4,"transcriptional regulator NrdR","transcription","group_02731"
"DDA3937_RS05555",3,"2-dehydropantoate 2-reductase","coenzyme transport and metabolism","group_01472"
"DDA3937_RS05645",3,"ATP-dependent protease ATP-binding subunit ClpX","postranslational modification, protein turnover, chaperones","group_00742"
"DDA3937_RS05755",3,"pleiotropic regulatory protein RsmS","none","group_03306"
"DDA3937_RS05840",1,"TraB/GumN family protein","function unknown","group_01719"
"DDA3937_RS06020",1,"phosphoribosylglycinamide formyltransferase","nucleotide transport and metabolism","group_02274"
"DDA3937_RS06025",6,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism","group_01110"
"DDA3937_RS06070",1,"outer membrane protein assembly factor BamC","function unknown","group_01250"
"DDA3937_RS06075",4,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism","group_02061"
"DDA3937_RS06235",2,"CNNM family magnesium/cobalt transport protein CorC","inorganic ion transport and metabolism","group_01637"
"DDA3937_RS06295",6,"asparagine synthase B",NA,NA
"DDA3937_RS06350",1,"replication initiation negative regulator SeqA","replication, recombination, and repair","group_02614"
"DDA3937_RS06545",4,"quinolinate synthase NadA","coenzyme transport and metabolism","group_01256"
"DDA3937_RS06655",2,"6-phosphogluconolactonase","carbohydrate transport and metabolism","group_01774"
"DDA3937_RS06685",2,"iron-sulfur cluster carrier protein ApbC","cell cycle control, cell division, chromosome partitioning","group_01037"
"DDA3937_RS06735",6,"dTDP-glucose 4,6-dehydratase","cell wall/membrane/envelope biogenesis","group_01030"
"DDA3937_RS06740",6,"glucose-1-phosphate thymidylyltransferase RfbA","cell wall/membrane/envelope biogenesis","group_01646"
"DDA3937_RS06805",3,"NADP-dependent phosphogluconate dehydrogenase","carbohydrate transport and metabolism","group_00594"
"DDA3937_RS07115",2,"GGDEF domain-containing protein","none","group_00545"
"DDA3937_RS07710",3,"diaminobutyrate--2-oxoglutarate transaminase","amino acid transport and metabolism","group_00596"
"DDA3937_RS07715",5,"TonB-dependent receptor","inorganic ion transport and metabolism","group_00171"
"DDA3937_RS08510",2,"biotin synthase BioB","coenzyme transport and metabolism","group_01159"
"DDA3937_RS08590",3,"iron ABC transporter substrate-binding protein","inorganic ion transport and metabolism","group_01279"
