Gene ID	Locus Tag	Name	Function	
648180344	Dda3937_01107	molybdopterin-guanine dinucleotide biosynthesis protein B	COG1763	
648180345	Dda3937_01108	Molybdopterin-guanine dinucleotide biosynthesis protein A	COG0746	
648180353	Dda3937_01115	coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent	COG0635	
648180358	Dda3937_01120	putative haloacid dehalogenase-like hydrolase	COG1011	
648180404	Dda3937_02521	multifunctional Erythrose 4-P, mannose 1-P, and alpha-D-glucose-1-P phosphatase	COG0561	
648180517	Dda3937_03881	1,4-dihydroxy-2-naphthoate prenyltransferase (EC 2.5.1.74)	COG1575	
648180535	Dda3937_03897	vitamin B12/cobalamin outer membrane transporter	COG4206	
648180542	Dda3937_04217	bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/DNA-binding protein transcriptional repressor, bio-5'-AMP-binding protein	COG0340	
648180543	Dda3937_04218	pantothenate kinase (EC 2.7.1.33)	COG1072	
648180569	Dda3937_00230	tyrosine lyase ThiH	COG1060	
648180570	Dda3937_00231	thiazole-phosphate synthase	COG2022	
648180571	Dda3937_00232	thiamin biosynthesis protein, sulfur donor	COG2104	
648180572	Dda3937_00233	[sulfur carrier protein ThiS] adenylyltransferase	COG0476	
648180573	Dda3937_00234	thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)	COG0352	
648180574	Dda3937_00235	thiamin (pyrimidine moiety) biosynthesis protein	COG0422	
648180577	Dda3937_00238	uroporphyrinogen decarboxylase (EC 4.1.1.37)	COG0407	
648180616	Dda3937_01598	pantothenate:sodium symporter	COG4145	
648180619	Dda3937_04028	acetyl CoA carboxylase, BCCP subunit	COG0511	
648180830	Dda3937_02684	putative oxidoreductase with FAD/NAD(P)-binding domain	COG0654	
648180831	Dda3937_02683	2-octaprenyl-6-methoxyphenol hydroxylase FAD/NAD(P)-binding protein	COG0654	
648180836	Dda3937_02679	putative ligase	COG0212	
648180837	Dda3937_02678	NadR transcriptional repressor/ribosylnicotinamide kinase/NMN adenylyltransferase	COG3172	
