locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
DZA65_RS00010	DZA65_RS00010	1	NZ_CP031560	1325	2425	+	NA	DNA polymerase III subunit beta	0.5995	26	FALSE
DZA65_RS00015	DZA65_RS00015	1	NZ_CP031560	2591	3676	+	NA	DNA replication/repair protein RecF	0.6169	24	TRUE
DZA65_RS00020	DZA65_RS00020	1	NZ_CP031560	3694	6105	+	NA	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.5796	75	FALSE
DZA65_RS00025	DZA65_RS00025	1	NZ_CP031560	6182	7366	-	NA	MFS transporter	0.6068	36	TRUE
DZA65_RS00030	DZA65_RS00030	1	NZ_CP031560	7560	8312	-	NA	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	0.66	16	TRUE
DZA65_RS00035	DZA65_RS00035	1	NZ_CP031560	8309	10351	-	NA	oligopeptidase A	0.5977	51	TRUE
DZA65_RS00040	DZA65_RS00040	1	NZ_CP031560	10497	10781	-	NA	DUF2623 domain-containing protein	0.5825	12	TRUE
DZA65_RS00045	DZA65_RS00045	1	NZ_CP031560	10954	11796	+	NA	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.6038	23	TRUE
DZA65_RS00050	DZA65_RS00050	1	NZ_CP031560	11895	12809	-	NA	ribonuclease Z	0.6317	23	TRUE
DZA65_RS00055	DZA65_RS00055	1	NZ_CP031560	13190	14542	+	NA	glutathione-disulfide reductase	0.5935	39	TRUE
DZA65_RS00060	DZA65_RS00060	7	NZ_CP031560	14659	15630	-	NA	DASS family sodium-coupled anion symporter	0.5504	37	TRUE
DZA65_RS00065	DZA65_RS00065	1	NZ_CP031560	15673	17025	-	NA	adenylosuccinate lyase family protein	0.5883	33	TRUE
DZA65_RS00070	DZA65_RS00070	1	NZ_CP031560	17234	17968	+	NA	GntR family transcriptional regulator	0.5537	25	TRUE
DZA65_RS00080	DZA65_RS00080	1	NZ_CP031560	18660	20063	+	NA	MBOAT family protein	0.4003	104	TRUE
DZA65_RS00085	DZA65_RS00085	1	NZ_CP031560	20050	21117	+	NA	DUF459 domain-containing protein	0.4551	62	TRUE
DZA65_RS00090	DZA65_RS00090	1	NZ_CP031560	21140	22354	+	NA	hypothetical protein	0.5078	63	TRUE
DZA65_RS00095	DZA65_RS00095	7	NZ_CP031560	22452	22630	+	NA	AsnC family transcriptional regulator	0.5866	4	TRUE
DZA65_RS00100	DZA65_RS00100	1	NZ_CP031560	22633	23754	-	NA	phosphoserine transaminase	0.6275	22	TRUE
DZA65_RS00105	DZA65_RS00105	1	NZ_CP031560	24057	25304	-	NA	formyl-CoA transferase	0.5761	30	TRUE
DZA65_RS00110	DZA65_RS00110	1	NZ_CP031560	25398	25835	-	NA	PAS sensor domain-containing protein	0.6142	9	TRUE
DZA65_RS00115	DZA65_RS00115	1	NZ_CP031560	25841	27118	-	NA	formyl-CoA transferase	0.5743	43	TRUE
DZA65_RS00120	DZA65_RS00120	1	NZ_CP031560	27157	28902	-	NA	oxalyl-CoA decarboxylase	0.5819	42	TRUE
DZA65_RS00125	DZA65_RS00125	1	NZ_CP031560	28956	30263	-	NA	MFS transporter	0.4457	75	TRUE
DZA65_RS00130	DZA65_RS00130	1	NZ_CP031560	30741	31637	+	NA	LysR family transcriptional regulator	0.5017	36	TRUE
DZA65_RS00135	DZA65_RS00135	1	NZ_CP031560	32075	32542	+	NA	GNAT family N-acetyltransferase	0.6026	13	TRUE
DZA65_RS00140	DZA65_RS00140	1	NZ_CP031560	32629	33072	-	NA	MarR family transcriptional regulator	0.6171	6	TRUE
DZA65_RS00145	DZA65_RS00145	1	NZ_CP031560	33219	33509	+	NA	DUF3861 domain-containing protein	0.5155	8	TRUE
DZA65_RS00150	DZA65_RS00150	1	NZ_CP031560	33650	34618	+	NA	glucokinase	0.6078	19	TRUE
DZA65_RS00155	DZA65_RS00155	1	NZ_CP031560	34711	35829	-	NA	alkylhydroperoxidase domain protein	0.6586	21	TRUE
DZA65_RS00160	DZA65_RS00160	1	NZ_CP031560	35826	36875	-	NA	putative FMN-dependent luciferase-like monooxygenase	0.679	13	TRUE
DZA65_RS00165	DZA65_RS00165	1	NZ_CP031560	36905	38557	-	NA	ABC transporter ATP-binding protein	0.6479	29	TRUE
DZA65_RS00170	DZA65_RS00170	1	NZ_CP031560	38554	39444	-	NA	ABC transporter permease	0.6768	18	TRUE
DZA65_RS00175	DZA65_RS00175	1	NZ_CP031560	39446	40387	-	NA	ABC transporter permease	0.6614	14	TRUE
DZA65_RS00180	DZA65_RS00180	1	NZ_CP031560	40416	42059	-	NA	TIGR04028 family ABC transporter substrate-binding protein	0.6101	42	TRUE
DZA65_RS00185	DZA65_RS00185	1	NZ_CP031560	42385	43641	-	NA	valine--pyruvate transaminase	0.5998	22	TRUE
DZA65_RS00190	DZA65_RS00190	1	NZ_CP031560	43995	45203	+	NA	aldose 1-epimerase family protein	0.5682	32	TRUE
DZA65_RS00195	DZA65_RS00195	1	NZ_CP031560	45305	46267	-	NA	glyoxylate/hydroxypyruvate reductase GhrB	0.5846	30	TRUE
DZA65_RS00200	DZA65_RS00200	1	NZ_CP031560	46767	47222	-	NA	N-acetyltransferase	0.5921	19	TRUE
DZA65_RS00205	DZA65_RS00205	1	NZ_CP031560	47219	47779	-	NA	DNA-3-methyladenine glycosylase I	0.5704	15	TRUE
DZA65_RS00210	DZA65_RS00210	1	NZ_CP031560	48019	48825	+	NA	sulfite exporter TauE/SafE family protein	0.627	18	TRUE
DZA65_RS00215	DZA65_RS00215	1	NZ_CP031560	48970	49884	+	NA	glycine--tRNA ligase subunit alpha	0.5814	33	FALSE
DZA65_RS00220	DZA65_RS00220	1	NZ_CP031560	49894	51978	+	NA	glycine--tRNA ligase subunit beta	0.6048	38	FALSE
DZA65_RS00225	DZA65_RS00225	1	NZ_CP031560	52565	53335	+	NA	alpha/beta hydrolase	0.4682	52	TRUE
DZA65_RS00230	DZA65_RS00230	1	NZ_CP031560	53673	57266	-	NA	urea carboxylase	0.6497	76	TRUE
DZA65_RS00235	DZA65_RS00235	1	NZ_CP031560	57368	58003	-	NA	urea carboxylase-associated family protein	0.6085	19	TRUE
DZA65_RS00240	DZA65_RS00240	1	NZ_CP031560	58006	58725	-	NA	urea carboxylase-associated family protein	0.6236	18	TRUE
DZA65_RS00245	DZA65_RS00245	1	NZ_CP031560	58754	59530	-	NA	ABC transporter ATP-binding protein	0.6293	9	TRUE
DZA65_RS00250	DZA65_RS00250	1	NZ_CP031560	59558	60370	-	NA	ABC transporter permease subunit	0.6544	14	TRUE
DZA65_RS00255	DZA65_RS00255	1	NZ_CP031560	60387	61442	-	NA	ABC transporter substrate-binding protein	0.5956	20	TRUE
DZA65_RS00260	DZA65_RS00260	1	NZ_CP031560	62153	62863	+	NA	DUF3053 domain-containing protein	0.5795	20	TRUE
DZA65_RS00265	DZA65_RS00265	1	NZ_CP031560	63353	65260	+	NA	PTS mannitol transporter subunit IICBA	0.5943	45	TRUE
DZA65_RS00270	DZA65_RS00270	1	NZ_CP031560	65336	66484	+	NA	mannitol-1-phosphate 5-dehydrogenase	0.6084	31	TRUE
DZA65_RS00275	DZA65_RS00275	1	NZ_CP031560	66651	67181	+	NA	MltR family transcriptional regulator	0.5612	14	TRUE
DZA65_RS00280	DZA65_RS00280	1	NZ_CP031560	67287	69173	-	NA	HAMP domain-containing protein	0.5284	74	TRUE
DZA65_RS00285	DZA65_RS00285	1	NZ_CP031560	69441	70067	-	NA	superoxide dismutase [Mn]	0.5582	19	FALSE
DZA65_RS00290	DZA65_RS00290	1	NZ_CP031560	70341	71195	-	NA	formate dehydrogenase accessory sulfurtransferase FdhD	0.6269	16	TRUE
DZA65_RS00295	DZA65_RS00295	1	NZ_CP031560	71531	73066	+	NA	aldehyde dehydrogenase	0.5931	47	TRUE
DZA65_RS00300	DZA65_RS00300	1	NZ_CP031560	73145	74605	-	NA	xylulokinase	0.6626	25	TRUE
DZA65_RS00310	DZA65_RS00310	1	NZ_CP031560	74909	76228	-	NA	xylose isomerase	0.6015	26	TRUE
DZA65_RS00315	DZA65_RS00315	1	NZ_CP031560	76720	77715	+	NA	D-xylose ABC transporter substrate-binding protein	0.5211	44	TRUE
DZA65_RS00320	DZA65_RS00320	1	NZ_CP031560	77790	79331	+	NA	xylose ABC transporter ATP-binding protein	0.6012	27	TRUE
DZA65_RS00325	DZA65_RS00325	1	NZ_CP031560	79309	80493	+	NA	sugar ABC transporter permease	0.6414	25	TRUE
DZA65_RS00330	DZA65_RS00330	1	NZ_CP031560	80685	81908	+	NA	DNA-binding transcriptional regulator	0.5825	40	TRUE
DZA65_RS00335	DZA65_RS00335	1	NZ_CP031560	81950	82525	-	NA	DJ-1/PfpI family protein	0.5799	13	TRUE
DZA65_RS00340	DZA65_RS00340	1	NZ_CP031560	82719	82997	-	NA	metal/formaldehyde-sensitive transcriptional repressor	0.5699	5	FALSE
DZA65_RS00345	DZA65_RS00345	1	NZ_CP031560	83097	83990	+	NA	nickel/cobalt efflux protein RcnA	0.6107	20	TRUE
DZA65_RS00350	DZA65_RS00350	1	NZ_CP031560	84001	84198	-	NA	hypothetical protein	0.4495	12	TRUE
DZA65_RS00355	DZA65_RS00355	1	NZ_CP031560	84318	85667	+	NA	argininosuccinate synthase	0.5756	35	TRUE
DZA65_RS00360	DZA65_RS00360	1	NZ_CP031560	85764	86264	-	NA	MarR family transcriptional regulator	0.5649	8	TRUE
DZA65_RS00365	DZA65_RS00365	1	NZ_CP031560	86623	87516	+	NA	DMT family transporter	0.5503	30	TRUE
DZA65_RS00370	DZA65_RS00370	1	NZ_CP031560	87856	88806	+	NA	pseudouridine-5'-phosphate glycosidase	0.5941	27	TRUE
DZA65_RS00375	DZA65_RS00375	1	NZ_CP031560	88818	89510	+	NA	HAD family hydrolase	0.5873	21	TRUE
DZA65_RS00380	DZA65_RS00380	1	NZ_CP031560	89660	94126	+	NA	amino acid adenylation domain-containing protein	0.5888	148	TRUE
DZA65_RS00385	DZA65_RS00385	1	NZ_CP031560	94543	95475	+	NA	3-oxoacyl-ACP synthase	0.5456	30	TRUE
DZA65_RS00390	DZA65_RS00390	1	NZ_CP031560	95465	95755	+	NA	acyl carrier protein	0.4433	8	TRUE
DZA65_RS00395	DZA65_RS00395	1	NZ_CP031560	95745	96356	+	NA	VfmB protein	0.5784	18	TRUE
DZA65_RS00400	DZA65_RS00400	1	NZ_CP031560	96378	97733	+	NA	multidrug transporter	0.6232	25	TRUE
DZA65_RS00405	DZA65_RS00405	1	NZ_CP031560	97720	98808	+	NA	alpha/beta hydrolase	0.5978	37	TRUE
DZA65_RS00410	DZA65_RS00410	1	NZ_CP031560	98870	99433	-	NA	helix-turn-helix transcriptional regulator	0.4592	36	TRUE
