locusId	sysName	desc	name	short	lrn	t
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH132	M9	-2.26106019557623	-12.3052640671677
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH246	M9	-2.30743423507629	-11.9986471038521
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH133	M9	-2.08202902557865	-12.1026835586158
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH247	M9	-2.66677132278587	-15.0090031916041
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH131	M9	-2.16952889438636	-12.9516784762507
DZA65_RS00355	DZA65_RS00355	argininosuccinate synthase	setATCH248	M9	-2.33294523906371	-13.0820125811474
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH131	M9	-2.73502448298193	-8.16778168762524
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH133	M9	-3.07321350286288	-7.85599801648036
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH247	M9	-2.62457318167233	-6.78020730407974
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH132	M9	-2.19100921326291	-5.58948903516335
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH248	M9	-2.4716807714817	-7.74373579654613
DZA65_RS00735	DZA65_RS00735	orotate phosphoribosyltransferase	setATCH246	M9	-2.65955504707882	-8.99161032157253
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH170	PDB	-3.28194721884654	-6.32032493150274
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH248	M9	-3.05294151467852	-7.28398613521082
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH115	LB	-2.29045029645558	-5.67445134469649
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH180	Norland	-3.01342716286472	-6.01163461069985
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH132	M9	-2.99871915813869	-6.47556254169866
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH114	LB	-2.96200212334024	-6.70517376295368
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH177	Norland	-3.02275112944261	-6.26193764489805
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH131	M9	-2.19032717411884	-5.09787546589178
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH187	Upstate	-3.53621410203744	-5.3667919909648
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH133	M9	-3.22320686142712	-6.47796833388028
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH168	PDB	-3.14502023810116	-6.26321605092978
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH179	Norland	-2.2034376433208	-6.56962548928762
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH243	PDB	-3.28141987051911	-5.45044256853627
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH174	Atlantic	-2.89000690507579	-6.07889452252502
DZA65_RS00800	DZA65_RS00800	O-antigen ligase family protein	setATCH172	Atlantic	-3.12365559006229	-6.27502631925912
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH132	M9	-2.20555268843064	-13.8564428082625
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH133	M9	-2.28191823429251	-13.4721273540035
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH247	M9	-2.12143605185912	-12.8875452155438
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH248	M9	-2.32432785796112	-14.6261373773116
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH246	M9	-2.22497921432129	-13.1286788232132
DZA65_RS00895	DZA65_RS00895	phosphoenolpyruvate carboxylase	setATCH131	M9	-2.17633112242342	-12.2667819977594
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH133	M9	-2.60276876383962	-11.172989414227
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH131	M9	-2.12151849451358	-9.87310112390304
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH247	M9	-2.00510121451748	-10.3514314989438
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH248	M9	-2.22667372969901	-11.8000575672722
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH246	M9	-2.41916585248546	-12.5147599505921
DZA65_RS00935	DZA65_RS00935	N-acetyl-gamma-glutamyl-phosphate reductase	setATCH132	M9	-2.52658617682772	-11.1144531279213
DZA65_RS00940	DZA65_RS00940	acetylglutamate kinase	setATCH131	M9	-2.17211203272666	-7.30311500896544
DZA65_RS00940	DZA65_RS00940	acetylglutamate kinase	setATCH248	M9	-2.68525670756166	-9.58337625510719
DZA65_RS00940	DZA65_RS00940	acetylglutamate kinase	setATCH247	M9	-2.43607515073281	-8.44789174001361
DZA65_RS00940	DZA65_RS00940	acetylglutamate kinase	setATCH246	M9	-2.33514138300736	-9.37923292929961
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH133	M9	-2.42334203436459	-12.0496836368229
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH247	M9	-2.37960793804662	-11.3564607650411
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH246	M9	-2.3046737112351	-11.7231817971877
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH132	M9	-2.05394519142319	-10.7918040326913
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH248	M9	-2.28857615927014	-10.890494480282
DZA65_RS00945	DZA65_RS00945	argininosuccinate lyase	setATCH131	M9	-2.11881463796365	-12.1703728556283
DZA65_RS01255	DZA65_RS01255	phosphoribosylamine--glycine ligase	setATCH248	M9	-2.12406073803148	-11.2921074498139
DZA65_RS01255	DZA65_RS01255	phosphoribosylamine--glycine ligase	setATCH132	M9	-2.26001283951727	-11.4680718302991
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH179	Norland	-2.009587658129	-12.5350826893017
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH132	M9	-2.50089650689984	-12.2366737022523
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH246	M9	-2.73904029097829	-14.3311801973123
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH248	M9	-2.63388815070081	-13.6818282643727
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH133	M9	-2.53895293208849	-12.4470885961114
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH247	M9	-2.88359139572911	-16.9580851604661
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH180	Norland	-2.07896594063552	-12.8140545886305
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH131	M9	-2.25923885825094	-10.9366195483388
DZA65_RS01260	DZA65_RS01260	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH175	Atlantic	-2.26575040699384	-14.0940736551123
DZA65_RS01510	DZA65_RS01510	RNA polymerase factor sigma-54	setATCH131	M9	-2.03516972303506	-7.74202533788921
DZA65_RS01510	DZA65_RS01510	RNA polymerase factor sigma-54	setATCH243	PDB	-2.12517313610987	-7.62161229736771
DZA65_RS01510	DZA65_RS01510	RNA polymerase factor sigma-54	setATCH244	PDB	-2.56917137519883	-8.20976599311016
DZA65_RS01510	DZA65_RS01510	RNA polymerase factor sigma-54	setATCH133	M9	-2.04489588395352	-6.43562162357986
DZA65_RS01580	DZA65_RS01580	outer membrane-stress sensor serine endopeptidase DegS	setATCH247	M9	-2.21348179092053	-16.3952315199938
DZA65_RS01580	DZA65_RS01580	outer membrane-stress sensor serine endopeptidase DegS	setATCH248	M9	-2.19477499187669	-16.0115512693246
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH131	M9	-2.54993998233876	-12.7612955296612
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH246	M9	-2.66093782194905	-13.1540000217944
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH133	M9	-2.34311218602172	-12.1590473618118
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH247	M9	-2.31456436449608	-11.7161240490162
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH132	M9	-2.67231157477932	-13.1014295308774
DZA65_RS01630	DZA65_RS01630	FAD-dependent oxidoreductase	setATCH248	M9	-2.10531486627449	-11.3664142035949
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH133	M9	-2.71867528397672	-19.78108276915
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH248	M9	-2.40300787140816	-18.972825352566
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH131	M9	-2.66613146644761	-19.0820450437971
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH247	M9	-2.38182621735986	-18.1991849522402
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH246	M9	-2.64733395144637	-19.7416591542206
DZA65_RS01635	DZA65_RS01635	glutamate synthase large subunit	setATCH132	M9	-2.77722441653143	-20.2378999681174
DZA65_RS01710	DZA65_RS01710	outer membrane channel protein TolC	setATCH172	Atlantic	2.16792636052838	5.39828540352611
DZA65_RS01785	DZA65_RS01785	cystathionine beta-lyase	setATCH246	M9	-2.02298566494668	-11.5754151135879
DZA65_RS01920	DZA65_RS01920	DUF1311 domain-containing protein	setATCH184	Upstate	-2.03877613114497	-7.10764094378298
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH246	M9	-2.61752882295557	-13.5741183265064
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH132	M9	-2.33502923356055	-12.9811561612541
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH248	M9	-2.47312635583871	-13.2838794457306
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH133	M9	-2.33197855715831	-13.0882443534405
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH131	M9	-2.32099786833199	-12.6176450928022
DZA65_RS01970	DZA65_RS01970	aspartate carbamoyltransferase	setATCH247	M9	-2.84675498345485	-15.570882985947
DZA65_RS01985	DZA65_RS01985	ornithine carbamoyltransferase	setATCH133	M9	-2.27378268275109	-9.95065280890783
DZA65_RS01985	DZA65_RS01985	ornithine carbamoyltransferase	setATCH132	M9	-2.33406103057777	-11.0210577091462
DZA65_RS01985	DZA65_RS01985	ornithine carbamoyltransferase	setATCH247	M9	-2.33994316704952	-12.5632680286301
DZA65_RS01985	DZA65_RS01985	ornithine carbamoyltransferase	setATCH246	M9	-2.07639345049215	-10.6179052486565
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH183	Upstate	-2.30390595195516	-8.98878715753174
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH176	Atlantic	-2.15650656933896	-8.42813220189648
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH172	Atlantic	-2.72550997016946	-9.68535462087184
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH185	Upstate	-2.43429369474556	-9.06926128224517
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH247	M9	-2.84418755278843	-11.1934926158389
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH248	M9	-2.15501106226161	-9.11215862111126
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH174	Atlantic	-2.81952219265522	-8.87758432810164
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH171	Atlantic	-2.16137861261623	-9.95026378046819
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH178	Norland	-2.17358364055333	-9.17610131743397
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH180	Norland	-2.20051331418719	-9.05539534930578
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH173	Atlantic	-2.10458782477978	-9.10597020033497
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH188	Upstate	-2.39415880829232	-9.23728950105884
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH181	Norland	-2.34411580323516	-9.85104610105835
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH246	M9	-2.83852908594198	-11.9087937015559
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH184	Upstate	-2.15261443278355	-8.13926867390793
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH187	Upstate	-2.79309078764568	-10.1743409187943
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH175	Atlantic	-2.73494371605702	-10.3077531555433
DZA65_RS02490	DZA65_RS02490	phosphoserine phosphatase	setATCH177	Norland	-2.00443677985918	-8.79094753815834
DZA65_RS02680	DZA65_RS02680	heavy metal translocating P-type ATPase	setATCH133	M9	-2.50288370606743	-10.7377033693365
DZA65_RS02680	DZA65_RS02680	heavy metal translocating P-type ATPase	setATCH132	M9	-2.3499934885396	-12.2325185948517
DZA65_RS02680	DZA65_RS02680	heavy metal translocating P-type ATPase	setATCH131	M9	-2.16475985735786	-10.6185872334349
DZA65_RS03145	DZA65_RS03145	putative DNA-binding transcriptional regulator	setATCH184	Upstate	3.18374985164147	7.84769764194349
DZA65_RS03260	DZA65_RS03260	lipoprotein NlpI	setATCH174	Atlantic	-2.19446559962925	-7.27456228059165
DZA65_RS03260	DZA65_RS03260	lipoprotein NlpI	setATCH169	PDB	-2.41880601481042	-8.2091055991702
DZA65_RS03260	DZA65_RS03260	lipoprotein NlpI	setATCH170	PDB	-2.03756774963325	-7.33811279619713
DZA65_RS03260	DZA65_RS03260	lipoprotein NlpI	setATCH187	Upstate	-2.02270873954209	-6.30418044768737
