Gene ID	Locus Tag	Name	Function	
648180352	Dda3937_01114	hypothetical protein	COG3078	
648180359	Dda3937_01121	D-Tyr-tRNA(Tyr) deacylase	COG1490	
648180384	Dda3937_01145	putative acetyltransferase	COG1670	
648180460	Dda3937_02011	16S rRNA m(2)G-966 methyltransferase (EC 2.1.1.52)	COG0742	
648180485	Dda3937_03048	putative rRNA methylase	COG0219	
648180516	Dda3937_03880	ribonuclease E (RNase E) inhibitor protein	COG0684	
648180523	Dda3937_04717	LSU ribosomal protein L31P	COG0254	
648180534	Dda3937_03896	tRNA (uracil-5-)-methyltransferase	COG2265	
648180550	Dda3937_00214	translation elongation factor 1A (EF-1A/EF-Tu)	COG0050	
648180553	Dda3937_00217	LSU ribosomal protein L11P	COG0080	
648180554	Dda3937_00218	50S ribosomal subunit protein L1	COG0081	
648180555	Dda3937_00219	LSU ribosomal protein L10P	COG0244	
648180556	Dda3937_04437	LSU ribosomal protein L12P	COG0222	
648180614	Dda3937_01596	tRNA-U20-dihydrouridine synthase	COG0042	
648180615	Dda3937_01597	methylase for 50S ribosomal subunit protein L11	COG2264	
648180630	Dda3937_00666	cytoplasmic axial filament protein CafA and Ribonuclease G	COG1530	
648180639	Dda3937_00675	ribosome-associated protein	COG3028	
648180645	Dda3937_00681	Ribosome-associated factor	COG1544	
648180665	Dda3937_00701	LSU ribosomal protein L13P	COG0102	
648180666	Dda3937_00702	30S ribosomal subunit protein S9	COG0103	
648180684	Dda3937_00721	16S rRNA C1402 ribose 2'-O-methyltransferase	COG0313	
648180726	Dda3937_01280	indole-3-acetamide amidohydrolase	COG0154	
648180736	Dda3937_01288	ribonuclease E inhibitor protein	COG3076	
648180745	Dda3937_01296	valyl-tRNA synthetase (EC 6.1.1.9)	COG0525	
648180811	Dda3937_02870	metal-dependent phosphohydrolase	COG1418	
648180843	Dda3937_02672	peptide chain release factor RF-3	COG4108	
648180921	Dda3937_02734	hypothetical protein	COG4575	
648180932	Dda3937_03553	putative methyltransferase small domain-containing protein	COG2813	
648180952	Dda3937_03532	SSU ribosomal protein S21P	COG0828	
648180953	Dda3937_03531	putative peptidase	COG0533	
648180960	Dda3937_04463	50S ribosomal subunit protein L21	COG0261	
648180961	Dda3937_02354	50S ribosomal subunit protein L27	COG0211	
648180966	Dda3937_02349	putative RNA-binding protein	COG1534	
648180967	Dda3937_02348	cell division protein ftsJ/Ribosomal RNA large subunit methyltransferase J	COG0293	
648180975	Dda3937_02343	ribosome maturation factor RimP	COG0779	
648180977	Dda3937_02341	translation initiation factor IF2	COG0532	
648180978	Dda3937_02340	30S ribosome binding factor	COG0858	
648180979	Dda3937_02339	tRNA U55 pseudouridine synthase	COG0130	
648180980	Dda3937_02338	30S ribosomal subunit protein S15	COG0184	
648180982	Dda3937_02337	polynucleotide phosphorylase/polyadenylase	COG1185	
648181000	Dda3937_02319	acetylase for 30S ribosomal subunit protein S18	COG0456	
648181002	Dda3937_02317	Ribosomal RNA small subunit methyltransferase C	COG2813	
648181029	Dda3937_02293	bacterial peptide chain release factor 2 (bRF-2)	COG1186	
648181030	Dda3937_02292	lysyl-tRNA synthetase, class II (EC 6.1.1.6)	COG1190	
648181090	Dda3937_01178	putative acetyltransferase	COG1670	
648181246	Dda3937_02550	hypothetical protein	COG2867	
648181259	Dda3937_01402	putative acyltransferase with acyl-CoA N-acyltransferase domain	COG0456	
648181311	Dda3937_01453	metal-dependent hydrolases of the beta-lactamase superfamily III	COG1234	
648181321	Dda3937_01462	NADPH dependent preQ0 reductase	COG2904	
648181374	Dda3937_03398	tRNA (m7G46) methyltransferase, SAM-dependent	COG0220	
648181403	Dda3937_00863	hypothetical protein	COG1179	
648181410	Dda3937_04309	putative methyltransferase	COG2933	
648181416	Dda3937_00873	tRNA pseudouridine synthase	COG0564	
648181421	Dda3937_00878	methionine aminopeptidase	COG0024	
648181423	Dda3937_00879	30S ribosomal subunit protein S2	COG0052	
648181424	Dda3937_00880	translation elongation factor Ts (EF-Ts)	COG0264	
648181426	Dda3937_00882	ribosome recycling factor	COG0233	
648181441	Dda3937_01894	tRNA(Ile)-lysidine synthetase	COG0037	
648181479	Dda3937_01931	L-asparaginase	COG0252	
648181495	Dda3937_01947	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	COG0809	
648181496	Dda3937_01948	tRNA-guanine transglycosylase	COG0343	
648181511	Dda3937_01963	sulfur transfer protein	COG0301	
648181537	Dda3937_03314	enzyme in preQ0 biosynthesis	COG0603	
648181552	Dda3937_03301	50S ribosomal protein L31p	COG0254	
648181559	Dda3937_03294	tRNA-(MS[2]IO[6]A)-hydroxylase	COG4445	
648181575	Dda3937_04156	bifunctional cys-tRNA Pro deacetylase/cys-tRNA Cys deacylase	COG2606	
648181605	Dda3937_01793	spermidine N1-acetyltransferase	COG1670	
648181627	Dda3937_02503	tRNA(Met)-cytidine N(4)-acetyltransferase	COG1444	
648181649	Dda3937_02482	23S rRNA (pseudouridine1915-N3)-methyltransferase	COG1576	
648181650	Dda3937_02481	ribosome-associated protein	COG0799	
648181654	Dda3937_02477	leucyl-tRNA synthetase (EC 6.1.1.4)	COG0495	
648181662	Dda3937_02469	probable rRNA maturation factor	COG0319	
648181664	Dda3937_02467	isopentenyl-adenosine A37 tRNA methylthiolase	COG0621	
648181678	Dda3937_01562	glutaminyl-tRNA synthetase (EC 6.1.1.18)	COG0008	
648181751	Dda3937_03935	methionyl-tRNA synthetase (EC 6.1.1.10)	COG0143	
648181995	Dda3937_02844	S-adenosylmethionine:2-demethylmenaquinone methyltransferase	COG0684	
648182000	Dda3937_02839	putative acetyltransferase	COG1670	
648182206	Dda3937_02904	tRNA-U20a,U20b-dihydrouridine synthase	COG0042	
648182299	Dda3937_03820	50S ribosomal subunit protein L25	COG1825	
648182302	Dda3937_03822	16S rRNA pseudouridylate 516 synthase	COG1187	
648182315	Dda3937_04552	putative translation elongation factor	COG0231	
648182356	Dda3937_03494	MiaB-like tRNA modifying enzyme YliG, TIGR01125	COG0621	
648182371	Dda3937_03479	Ribosomal protein S6 modification protein	COG0189	
648182379	Dda3937_03472	23S rRNA m(5)U-747 methyltransferase (EC 2.1.1.189)	COG2265	
648182397	Dda3937_02362	bacterial translation initiation factor 1 (bIF-1)	COG0361	
648182406	Dda3937_00132	seryl-tRNA synthetase (EC 6.1.1.11)	COG0172	
648182418	Dda3937_03348	ribosomal protein S12 methylthiotransferase accessory factor	COG1944	
648182422	Dda3937_04328	30S ribosomal subunit protein S1	COG0539	
648182472	Dda3937_00013	Ribonuclease	COG3719	
648182484	Dda3937_01603	ribosomal-protein-S5-alanine N-acetyltransferase	COG1670	
648182488	Dda3937_01606	arginyl-tRNA synthetase (EC 6.1.1.19)	COG0018	
648182500	Dda3937_01616	aspartyl-tRNA synthetase	COG0173	
648182502	Dda3937_01618	hypothetical protein	COG0217	
648182554	Dda3937_04331	cytoplasmic L-asparaginase I	COG0252	
648182597	Dda3937_00579	putative RNA-binding protein	COG0009	
648182598	Dda3937_00580	23S rRNA pseudouridylate synthase	COG1187	
648182697	Dda3937_00040	release factors RF-1 and RF-2 N5-glutamine methyltransferase	COG2890	
648182698	Dda3937_04587	peptide chain release factor RF-1	COG0216	
648182707	Dda3937_02959	peptidyl-tRNA hydrolase	COG0193	
648182708	Dda3937_02958	putative GTP-binding protein	COG0012	
648182754	Dda3937_02918	ribonuclease D	COG0349	
648182756	Dda3937_03715	putative peptidase	COG1214	
648182792	Dda3937_03678	phenylalanyl-tRNA synthetase beta subunit (EC 6.1.1.20)	COG0072	
648182793	Dda3937_03679	phenylalanyl-tRNA synthetase, alpha subunit (EC 6.1.1.20)	COG0016	
648182794	Dda3937_03680	LSU ribosomal protein L20P	COG0292	
648182795	Dda3937_03681	50S ribosomal subunit protein L35	COG0291	
648182796	Dda3937_03682	bacterial translation initiation factor 3 (bIF-3)	COG0290	
648182797	Dda3937_03683	threonyl-tRNA synthetase (EC 6.1.1.3)	COG0441	
648182808	Dda3937_02085	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	COG0482	
648182813	Dda3937_02090	50S ribosomal protein L16 3-hydroxylase	COG2850	
648182914	Dda3937_03780	16S rRNA m(5)C-1407 methyltransferase (EC 2.1.1.178)	COG0144	
