"Var1","Freq","desc","COG","group"
"DDA3937_RS00055",3,"ribose operon transcriptional repressor RbsR","transcription","group_01280"
"DDA3937_RS00100",3,"thiol:disulfide interchange protein DsbA","none","group_02319"
"DDA3937_RS00140",1,"ribosome-dependent GTPase TypA","signal transduction mechanisms","group_00244"
"DDA3937_RS00645",5,"cell division protein FtsX","cell cycle control, cell division, chromosome partitioning","group_01645"
"DDA3937_RS00900",4,"cell division protein ZapB","cell cycle control, cell division, chromosome partitioning","group_03211"
"DDA3937_RS02915",1,"TetR/AcrR family transcriptional regulator","transcription","group_02602"
"DDA3937_RS03665",3,"MurR/RpiR family transcriptional regulator","transcription","group_01815"
"DDA3937_RS04125",2,"acetyltransferase",NA,NA
"DDA3937_RS04420",2,"Dyp-type peroxidase","inorganic ion transport and metabolism","group_01500"
"DDA3937_RS04945",1,"RNA pyrophosphohydrolase","defense mechanisms","group_02466"
"DDA3937_RS04960",1,"thymidylate synthase","nucleotide transport and metabolism","group_01653"
"DDA3937_RS05210",3,"Rho-binding antiterminator","transcription","group_03142"
"DDA3937_RS05215",1,"YaeP family protein","none","group_03256"
"DDA3937_RS05640",2,"ATP-dependent Clp endopeptidase proteolytic subunit ClpP","postranslational modification, protein turnover, chaperones","group_02293"
"DDA3937_RS05645",2,"ATP-dependent protease ATP-binding subunit ClpX","postranslational modification, protein turnover, chaperones","group_00742"
"DDA3937_RS05725",3,"Hha toxicity modulator TomB","none","group_02897"
"DDA3937_RS06350",2,"replication initiation negative regulator SeqA","replication, recombination, and repair","group_02614"
"DDA3937_RS06735",3,"dTDP-glucose 4,6-dehydratase","cell wall/membrane/envelope biogenesis","group_01030"
"DDA3937_RS09115",2,"LPS biosynthesis-modulating metalloenzyme YejM","cell wall/membrane/envelope biogenesis","group_00270"
"DDA3937_RS09670",3,"3-phosphoserine/phosphohydroxythreonine transaminase","coenzyme transport and metabolism","group_01070"
"DDA3937_RS10460",3,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"DDA3937_RS10465",3,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"DDA3937_RS10475",3,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism","group_01328"
"DDA3937_RS10485",3,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"DDA3937_RS10955",2,"universal stress protein UspE","signal transduction mechanisms","group_01362"
"DDA3937_RS10980",1,"tetratricopeptide repeat-containing protein","signal transduction mechanisms","group_01839"
"DDA3937_RS11035",1,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis","group_01051"
"DDA3937_RS11180",1,"fatty acid metabolism transcriptional regulator FadR","transcription","group_02091"
"DDA3937_RS11205",1,"septum site-determining protein MinC","cell cycle control, cell division, chromosome partitioning","group_02238"
"DDA3937_RS11210",1,"septum site-determining protein MinD","cell cycle control, cell division, chromosome partitioning","group_01842"
"DDA3937_RS11445",1,"DNA-binding transcriptional regulator KdgR","transcription","group_01912"
"DDA3937_RS11965",2,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones","group_00195"
"DDA3937_RS12440",4,"peptide ABC transporter substrate-binding protein SapA","amino acid transport and metabolism","group_00285"
"DDA3937_RS12460",1,"peptide ABC transporter ATP-binding protein SapF","defense mechanisms","group_01843"
"DDA3937_RS12595",3,"transcriptional regulator SlyA","transcription","group_02767"
"DDA3937_RS12620",1,"HTH-type transcriptional repressor PurR","transcription","group_01180"
"DDA3937_RS12900",5,"porin","cell wall/membrane/envelope biogenesis","group_00008"
"DDA3937_RS12915",3,"aspartate/tyrosine/aromatic aminotransferase","amino acid transport and metabolism","group_00906"
"DDA3937_RS13135",3,"phosphate acyltransferase PlsX","lipid transport and metabolism","group_01225"
"DDA3937_RS13180",3,"biofilm formation regulator BssS","none","group_03129"
"DDA3937_RS13320",1,"ATP-grasp domain-containing protein","nucleotide transport and metabolism","group_00885"
"DDA3937_RS13325",1,"DegT/DnrJ/EryC1/StrS family aminotransferase","cell wall/membrane/envelope biogenesis","group_00916"
"DDA3937_RS13330",3,"methyltransferase regulatory domain-containing protein",NA,NA
"DDA3937_RS13340",3,"flagellin FliC","cell motility","group_02269"
"DDA3937_RS13430",3,"flagellar hook-associated protein FlgL","cell motility","group_01700"
