"Var1","Freq","desc","COG","group"
"DZA65_RS00360",3,"MarR family transcriptional regulator","transcription","group_02627"
"DZA65_RS00365",13,"DMT family transporter","amino acid transport and metabolism","group_01795"
"DZA65_RS00425",1,"sigma-54-dependent Fis family transcriptional regulator","signal transduction mechanisms","group_00614"
"DZA65_RS00735",11,"orotate phosphoribosyltransferase","nucleotide transport and metabolism","group_02337"
"DZA65_RS00795",12,"glycosyltransferase family 9 protein","cell wall/membrane/envelope biogenesis","group_01004"
"DZA65_RS00800",12,"O-antigen ligase family protein","none","group_01114"
"DZA65_RS00835",2,"murein hydrolase activator EnvC","cell cycle control, cell division, chromosome partitioning","group_01441"
"DZA65_RS00840",1,"rhodanese-like domain-containing protein","inorganic ion transport and metabolism","group_02804"
"DZA65_RS00900",1,"ATP-binding cassette domain-containing protein",NA,NA
"DZA65_RS01170",1,"DUF1176 domain-containing protein","none","group_01014"
"DZA65_RS01255",12,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"DZA65_RS01260",18,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism","group_00389"
"DZA65_RS01405",1,"RNase E specificity factor CsrD","signal transduction mechanisms","group_00220"
"DZA65_RS01510",6,"RNA polymerase factor sigma-54","transcription","group_00602"
"DZA65_RS01525",2,"LPS export ABC transporter periplasmic protein LptC","cell wall/membrane/envelope biogenesis","group_02471"
"DZA65_RS01545",1,"phospholipid ABC transporter ATP-binding protein MlaF","cell wall/membrane/envelope biogenesis","group_01811"
"DZA65_RS01550",2,"lipid asymmetry maintenance ABC transporter permease subunit MlaE","cell wall/membrane/envelope biogenesis","group_02009"
"DZA65_RS01560",5,"phospholipid-binding protein MlaC","lipid transport and metabolism","group_02373"
"DZA65_RS01585",5,"serine endoprotease DegQ","postranslational modification, protein turnover, chaperones","group_00698"
"DZA65_RS01615",3,"stringent starvation protein A","postranslational modification, protein turnover, chaperones","group_02225"
"DZA65_RS01710",1,"outer membrane channel protein TolC","cell wall/membrane/envelope biogenesis","group_00734"
"DZA65_RS01785",3,"cystathionine beta-lyase","amino acid transport and metabolism","group_00890"
"DZA65_RS01790",7,"tol-pal system-associated acyl-CoA thioesterase","intracellular trafficking, secretion, and vesicular transport","group_02148"
"DZA65_RS01795",5,"TonB system transport protein ExbD","intracellular trafficking, secretion, and vesicular transport","group_02825"
"DZA65_RS01920",2,"DUF1311 domain-containing protein",NA,NA
"DZA65_RS01970",8,"aspartate carbamoyltransferase","nucleotide transport and metabolism","group_01481"
"DZA65_RS02490",18,"phosphoserine phosphatase","amino acid transport and metabolism","group_01340"
"DZA65_RS02505",3,"peptide chain release factor 3","translation, ribosomal structure, and biogenesis","group_00361"
"DZA65_RS02940",2,"DedA family protein","function unknown","group_02244"
"DZA65_RS03145",8,"putative DNA-binding transcriptional regulator","none","group_02970"
"DZA65_RS03260",16,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis","group_01514"
"DZA65_RS03625",6,"polysaccharide biosynthesis protein","postranslational modification, protein turnover, chaperones","group_00261"
"DZA65_RS03635",17,"sugar transferase","cell wall/membrane/envelope biogenesis","group_02550"
"DZA65_RS03670",13,"kdo(2)-lipid IV(A) palmitoleoyltransferase","lipid transport and metabolism","group_01482"
"DZA65_RS04230",12,"outer membrane protein assembly factor BamE","cell wall/membrane/envelope biogenesis","group_02971"
"DZA65_RS04355",14,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism","group_00317"
"DZA65_RS04780",3,"hypothetical protein",NA,NA
"DZA65_RS05310",18,"thymidylate synthase","nucleotide transport and metabolism","group_01653"
"DZA65_RS05500",6,"molecular chaperone Skp","postranslational modification, protein turnover, chaperones","group_02745"
"DZA65_RS05855",1,"tRNA guanosine(34) transglycosylase Tgt","translation, ribosomal structure, and biogenesis","group_00866"
"DZA65_RS06020",5,"endopeptidase La","postranslational modification, protein turnover, chaperones","group_00126"
"DZA65_RS06115",7,"multidrug efflux RND transporter permease subunit","defense mechanisms","group_00055"
"DZA65_RS06120",5,"efflux RND transporter periplasmic adaptor subunit","defense mechanisms","group_01055"
"DZA65_RS06420",16,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism","group_01110"
"DZA65_RS06470",17,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism","group_02061"
"DZA65_RS06625",2,"CNNM family magnesium/cobalt transport protein CorC","inorganic ion transport and metabolism","group_01637"
"DZA65_RS06860",1,"succinate--CoA ligase subunit alpha","energy production and conversions","group_01638"
