Gene ID	Locus Tag	Name	Function	
648180349	Dda3937_01112	DNA polymerase I (EC 2.7.7.7)	COG0749	
648180363	Dda3937_01125	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	COG1200	
648180368	Dda3937_01130	DNA ligase	COG0272	
648180522	Dda3937_03886	replication restart DNA helicase PriA	COG1198	
648180578	Dda3937_00239	Endonuclease V (EC 3.1.21.-)	COG1515	
648180580	Dda3937_00241	HU, DNA-binding transcriptional regulator, subunit alpha	COG0776	
648180682	Dda3937_00719	putative endonuclease	COG0792	
648180695	Dda3937_01251	Topoisomerase IV subunit B	COG0187	
648180698	Dda3937_01254	Topoisomerase IV subunit A	COG0188	
648180746	Dda3937_01297	DNA polymerase III, chi subunit (EC 2.7.7.7)	COG2927	
648180751	Dda3937_01301	Integrase	COG0582	
648180899	Dda3937_02713	Integrase	COG0582	
648180951	Dda3937_03533	DNA primase	COG0358	
648180963	Dda3937_02352	GTPase involved in cell partioning and DNA repair	COG0536	
648180984	Dda3937_02335	ATP-dependent RNA helicase	COG0513	
648180990	Dda3937_02329	putative endonuclease	COG2827	
648181001	Dda3937_02318	DNA polymerase III, psi subunit (EC 2.7.7.7)	COG3050	
648181026	Dda3937_02296	site-specific tyrosine recombinase	COG4974	
648181028	Dda3937_02294	ssDNA exonuclease, 5' --> 3'-specific	COG0608	
648181111	Dda3937_01199	DNA gyrase inhibitory protein	COG3449	
648181147	Dda3937_01705	Phage integrase	COG0582	
648181148	Dda3937_01706	Integrase	COG4973	
648181208	Dda3937_01762	Phage integrase	COG4974	
648181249	Dda3937_02547	recombination and repair protein	COG0497	
648181299	Dda3937_01441	DNA-3-methyladenine glycosylase II	COG0122	
648181300	Dda3937_01442	alkylated DNA repair protein alkB	COG3145	
648181344	Dda3937_01484	DNA gyrase inhibitory protein	COG3449	
648181364	Dda3937_03406	Integrase	COG0582	
648181373	Dda3937_03399	A/G-specific DNA-adenine glycosylase (EC 3.2.2.-)	COG1194	
648181384	Dda3937_03389	DNA mismatch repair protein MutH	COG3066	
648181411	Dda3937_00869	Ssb-binding protein	COG0258	
648181437	Dda3937_01890	RNase HII (EC 3.1.26.4)	COG0164	
648181438	Dda3937_01891	DNA polymerase III subunit alpha	COG0587	
648181446	Dda3937_01899	DNA mismatch repair protein MutS	COG0249	
648181483	Dda3937_01935	DNA recombination-dependent growth factor C	COG2974	
648181485	Dda3937_01937	exonuclease, dsDNA, ATP-dependent	COG0419	
648181486	Dda3937_01938	Exodeoxyribonuclease I subunit D (EC 3.1.11.1)	COG0420	
648181510	Dda3937_01962	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	COG1722	
648181533	Dda3937_03317	HU, DNA-binding transcriptional regulator, subunit beta	COG0776	
648181558	Dda3937_03295	restart primosome assembly protein PriC	COG3923	
648181562	Dda3937_03291	DNA polymerase III/DNA elongation factor III, tau and subunit gammas	COG2812	
648181564	Dda3937_03289	DNA replication and repair protein RecR	COG0353	
648181586	Dda3937_01774	DNA gyrase subunit A	COG0188	
648181652	Dda3937_02479	DNA polymerase III, delta subunit (EC 2.7.7.7)	COG1466	
648181685	Dda3937_01556	negative regulator of replication initiation SeqA	COG3057	
648181696	Dda3937_01546	deoxyribodipyrimidine photolyase, FAD-binding protein	COG0415	
648181701	Dda3937_01541	Endonuclease VIII	COG0266	
648182166	Dda3937_03753	Excinuclease ABC subunit B	COG0556	
648182191	Dda3937_04013	putative ATP-dependent RNA helicase	COG0513	
648182216	Dda3937_02894	ATP-dependent DNA helicase	COG1199	
648182291	Dda3937_02190	Phage integrase	COG0582	
648182300	Dda3937_04324	putative ATP-dependet helicase	COG1061	
648182324	Dda3937_03621	Endonuclease IV (EC 3.1.21.-)	COG0648	
648182393	Dda3937_02366	putative ATP-dependent endonuclease of the OLD family	COG3593	
648182405	Dda3937_00131	recombination protein	COG2256	
648182423	Dda3937_04067	integration host factor (IHF), DNA-binding protein, subunit beta	COG0776	
648182448	Dda3937_03731	Exodeoxyribonuclease I subunit C (EC 3.1.11.1)	COG2925	
648182503	Dda3937_01619	Holliday junction endonuclease RuvC (EC 3.1.22.4)	COG0817	
648182505	Dda3937_01621	Holliday junction DNA helicase subunit RuvA	COG0632	
648182506	Dda3937_01622	Holliday junction DNA helicase subunit RuvB	COG2255	
648182557	Dda3937_04577	DNA topoisomerase III	COG0550	
