"Var1","Freq","desc","COG","group"
"DDA3937_RS00015",6,"ATPase RavA stimulator ViaA","function unknown","group_00535"
"DDA3937_RS00020",6,"ATPase RavA","general function prediction only","group_00521"
"DDA3937_RS00025",6,"low affinity potassium transporter Kup","inorganic ion transport and metabolism","group_00240"
"DDA3937_RS00050",1,"ribokinase","carbohydrate transport and metabolism","group_01613"
"DDA3937_RS00100",5,"thiol:disulfide interchange protein DsbA","none","group_02319"
"DDA3937_RS00130",5,"nitrogen regulation protein NR(II)","signal transduction mechanisms","group_01150"
"DDA3937_RS00155",1,"fatty acid biosynthesis protein FabY","general function prediction only","group_01372"
"DDA3937_RS00185",2,"DNA-directed RNA polymerase subunit omega","transcription","group_03172"
"DDA3937_RS00345",6,"inorganic phosphate transporter PitA","none","group_00546"
"DDA3937_RS00645",3,"cell division protein FtsX","cell cycle control, cell division, chromosome partitioning","group_01645"
"DDA3937_RS00775",1,"envelope stress sensor histidine kinase CpxA","signal transduction mechanisms","group_00624"
"DDA3937_RS00890",6,"glycerol kinase GlpK","energy production and conversions","group_00390"
"DDA3937_RS00895",6,"aquaporin","carbohydrate transport and metabolism","group_01754"
"DDA3937_RS00900",3,"cell division protein ZapB","cell cycle control, cell division, chromosome partitioning","group_03211"
"DDA3937_RS00975",3,"Si-specific NAD(P)(+) transhydrogenase","energy production and conversions","group_00531"
"DDA3937_RS00980",1,"HTH-type transcriptional repressor FabR","transcription","group_02326"
"DDA3937_RS01215",2,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"DDA3937_RS01220",3,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism","group_00389"
"DDA3937_RS01285",2,"amino acid ABC transporter substrate-binding protein","signal transduction mechanisms","group_02053"
"DDA3937_RS01375",5,"tRNA dihydrouridine synthase DusB","translation, ribosomal structure, and biogenesis","group_01302"
"DDA3937_RS01450",3,"ribonuclease G","translation, ribosomal structure, and biogenesis","group_00478"
"DDA3937_RS01515",3,"RNase adapter RapZ","signal transduction mechanisms","group_01624"
"DDA3937_RS01520",5,"PTS IIA-like nitrogen regulatory protein PtsN","signal transduction mechanisms","group_02657"
"DDA3937_RS01525",1,"ribosome hibernation promoting factor","translation, ribosomal structure, and biogenesis","group_03090"
"DDA3937_RS01550",3,"3-deoxy-manno-octulosonate-8-phosphatase KdsC","general function prediction only","group_02426"
"DDA3937_RS01565",1,"phospholipid ABC transporter ATP-binding protein MlaF","cell wall/membrane/envelope biogenesis","group_01811"
"DDA3937_RS01570",3,"lipid asymmetry maintenance ABC transporter permease subunit MlaE","cell wall/membrane/envelope biogenesis","group_02009"
"DDA3937_RS01575",3,"outer membrane lipid asymmetry maintenance protein MlaD","none","group_02580"
"DDA3937_RS01580",3,"phospholipid-binding protein MlaC","lipid transport and metabolism","group_02373"
"DDA3937_RS01600",6,"outer membrane-stress sensor serine endopeptidase DegS","postranslational modification, protein turnover, chaperones","group_01222"
"DDA3937_RS01645",1,"stringent starvation protein A","postranslational modification, protein turnover, chaperones","group_02225"
