locusId	sysName	desc	setATCH99 Time0	setATCH100 Time0	setATCH113 LB	setATCH114 LB	setATCH115 LB	setATCH131 M9	setATCH132 M9	setATCH133 M9	setATCH166 Time0	setATCH167 Time0	setATCH168 PDB	setATCH169 PDB	setATCH170 PDB	setATCH171 Atlantic	setATCH172 Atlantic	setATCH173 Atlantic	setATCH174 Atlantic	setATCH175 Atlantic	setATCH176 Atlantic	setATCH177 Norland	setATCH178 Norland	setATCH179 Norland	setATCH180 Norland	setATCH181 Norland	setATCH182 Norland	setATCH183 Upstate	setATCH184 Upstate	setATCH185 Upstate	setATCH186 Upstate	setATCH187 Upstate	setATCH188 Upstate	setATCH238 Time0	setATCH239 Time0	setATCH240 LB	setATCH241 LB	setATCH242 LB	setATCH243 PDB	setATCH244 PDB	setATCH245 PDB	setATCH246 M9	setATCH247 M9	setATCH248 M9
DZA65_RS00015	DZA65_RS00015	DNA replication/repair protein RecF	0.0842836073294757	-0.0842836073294757	-0.498946949545785	-0.359581186978105	-0.307682527676414	-0.722535818282314	-0.59949885698828	-0.738680999703631	-0.0275929254147931	0.0275929254147931	-0.269926216877698	-0.346799826678656	-0.353430227855052	-0.350271875923121	-0.676366438360812	-0.482316588444523	-0.389937927110853	-0.496883906612674	-0.370954220043626	-0.161423328041075	-0.254553072529387	-0.531989073873588	-0.541755834965412	-0.300818708986013	-0.316320423898803	-0.590015092091563	-0.346107098387969	-0.50661264680724	-0.610343938561072	-0.492813788216191	-0.339202580177824	-0.0852653640562719	0.0852653640562719	-0.441569732662715	-0.574070796869996	-0.305719239717711	-0.426727479482737	-0.491684337676891	-0.526341556510415	-0.5665121955772	-0.40933674939087	-0.428935302366606
DZA65_RS00025	DZA65_RS00025	MFS transporter	0.0051506463661033	-0.0051506463661033	-0.139356563422881	-0.215166426542713	-0.268909033399572	-0.448098535412971	-0.551535028258937	-0.406470901261915	-0.0605847510256039	0.0605847510256039	-0.218311443756059	-0.243416125649266	-0.190156301789962	-0.643738328867227	-0.00683108523927345	-0.301520424910746	-0.236851682315836	-0.496902478179696	-0.42963364611661	-0.441978088577001	-0.376575737659848	-0.455231874889551	-0.471446445779413	-0.538710023443309	-0.374842083550186	-0.390612979261275	-0.339959167083985	-0.467191599096176	-0.440045971737613	-0.630331683146093	-0.221061460428667	0.0279350662489586	-0.0279350662489586	-0.426395375751888	-0.368048315707214	-0.399068374556478	-0.408739427378381	-0.526714667872025	-0.359266798656455	-0.516623319784841	-0.489410341088739	-0.514409982009607
DZA65_RS00030	DZA65_RS00030	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	0.422404871627772	-0.422404871627772	-0.22210674418696	-0.256487694014003	-0.115906805012442	-0.526345162146196	-0.148019361741376	-0.560142867956611	-0.127128598965707	0.127128598965707	-0.53918457397953	-0.140650112435238	-0.454015645101162	-0.479837706912883	-0.598545893066696	-0.363900285790923	-0.778250295828558	-0.59631722382019	-0.11342294166597	-0.678021864810853	-0.395358223274364	-0.380394070795984	-0.516999189454019	-0.575056408186748	-0.445886254888565	-0.7695259032133	-0.573545279795174	-0.729344805585714	-0.0438537699696262	-0.989482641421096	-0.813151356882646	-0.0704196784038453	0.0704196784038453	-0.208130178736607	-0.135533315653087	-0.172879155967198	-0.67726384542908	-0.675878208794538	-0.503140982073869	-0.69896249160085	-0.357633428365761	-0.544432465109058
DZA65_RS00035	DZA65_RS00035	oligopeptidase A	0.073424199358354	-0.073424199358354	-0.313297063732253	-0.240854598734011	-0.345841108049713	-0.423464165189471	-0.372574346325217	-0.375930224237691	-0.0100171630479737	0.0100171630479737	-1.76446696504959	-1.98188373164165	-1.86788766864968	-0.719801551550005	-0.497475241903079	-0.786163709845218	-0.633819448909457	-1.01663406833474	-0.892453960004856	-0.696025037769907	-0.83304451600213	-0.759606314736573	-0.845441726711418	-0.838989975276198	-0.606177957253223	-0.669661179720815	-0.403446175306034	-0.583027645052284	-0.598385274064901	-0.88491727430756	-0.59229895192887	-0.0465239020735035	0.0465239020735035	-0.433881715889742	-0.588266572222765	-0.489829897201437	-1.47795606059361	-1.44940981947205	-1.51333694236168	-0.550955935470888	-0.593115026953555	-0.537217529369397
DZA65_RS00040	DZA65_RS00040	DUF2623 domain-containing protein	-0.00827633614031509	0.00827633614031509	-0.21928123573303	-0.0439083062422236	-0.134727539707278	-0.322722887463801	-0.245595750245283	-0.340999452575916	0.0274096690456611	-0.0274096690456611	-0.426211941552179	-0.422652022909841	-0.286415696605093	-0.672359006806995	-0.278780759665278	-0.306517498324614	-0.352432957796472	-0.457268940414258	-0.588958015700972	-0.528836536013284	-0.442095998411147	-0.593151195320131	-0.537711898104313	-0.643847758331263	-0.619349218966993	-0.679728106320865	-0.367040970167564	-0.327689518227618	-0.42407649865331	-0.2680885354486	-0.629306809156524	-0.114069007016748	0.114069007016748	-0.0870896109257355	-0.415533343175986	-0.209202534267102	-0.291100918675013	-0.401338656170033	-0.293040917384896	-0.52733353917051	-0.505465121882656	-0.527287167006574
DZA65_RS00045	DZA65_RS00045	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0690598718943454	-0.0690598718943454	-0.424548008627879	-0.23454798402502	-0.106034854213281	-0.371597227211956	-0.40292804607643	-0.390251084072925	0.261141990750352	-0.261141990750352	-0.0949218898536657	-0.238097660486205	0.0400886231803081	-0.317183939797498	0.256037181604741	-0.388210159106044	-0.337035072355714	-0.368426958912224	-0.2656817187698	-0.140079515084399	-0.140953936423098	0.359287406242733	-0.109170134475721	-0.221923873467179	-0.216483669918593	-0.406005744741976	-0.0804689381983659	-0.164957972902934	-0.415796877768203	-0.313095134137367	-0.307263286661358	0.115989069969584	-0.115989069969584	-0.315733937750734	-0.379601379902277	-0.357476568531298	-0.348033428618362	-0.263308505277588	-0.384628172403045	-0.333305606992781	-0.456702309087298	-0.34826860466329
DZA65_RS00050	DZA65_RS00050	ribonuclease Z	-0.0907854947400351	0.0907854947400351	-0.228611204602198	-0.162886791290206	-0.0807037229735332	-0.430002417180486	-0.399333709600659	-0.274254742939257	-0.0899117018109346	0.0899117018109346	-0.189509541062346	-0.108320605229673	0.0211181693955602	-0.330962039214987	0.152335981461777	-0.324086569321659	-0.305581850981288	-0.295577783313418	-0.587161011058145	-0.294025661632081	-0.428560408665127	-0.295241525372004	-0.321583679203374	-0.458821259253695	-0.378056889174718	-0.242255765838318	-0.312029137239487	-0.333495139908822	-0.383098671742555	-0.394500795219463	-0.329935473017339	-0.0594499567458628	0.0594499567458628	-0.470709311444068	-0.481997377233141	-0.538947993677055	-0.4099739718173	-0.334558173646903	-0.506724963250499	-0.600939605718317	-0.522922256350724	-0.495362430175247
DZA65_RS00055	DZA65_RS00055	glutathione-disulfide reductase	0.0398967360740388	-0.0398967360740388	-0.16101601143707	-0.15759978361242	-0.170637896167081	-0.283560118723479	-0.248251350242096	-0.308109352495324	-0.052979803042315	0.052979803042315	-0.460691659912877	-0.533268529361025	-0.560277132923241	-0.604143370204725	-0.466015864585062	-0.403793601749004	-0.579460162800702	-0.43740527307954	-0.606734638651546	-0.66423485722873	-0.635509749712152	-0.689426781262733	-0.732018416496687	-0.695453385693244	-0.485508254969499	-0.723906565062829	-0.405290584950049	-0.710432053752824	-0.491888748001417	-0.657201838508174	-0.60840009032044	0.00538543489820231	-0.00538543489820231	-0.423451925129356	-0.344499257866274	-0.439034928316921	-0.411078209095685	-0.410771301908609	-0.39965559409258	-0.368700512825148	-0.434592692132628	-0.456130803861394
DZA65_RS00060	DZA65_RS00060	DASS family sodium-coupled anion symporter	-0.0105086126154044	0.0105086126154044	-0.0973780611265425	-0.254771009405235	-0.322070715746369	-0.42812385197415	-0.557778324302086	-0.433953227767913	0.00980704639040031	-0.00980704639040031	-0.101001854165904	-0.0198400139964603	-0.13087668129069	-0.389157274658493	-0.563511075689478	-0.514237238973259	-0.332990135786123	-0.242013710811716	-0.407725779513081	-0.55101550040817	-0.310419233648655	-0.434548387525608	-0.329277934357784	-0.374265139059752	-0.429973591036148	-0.411639337680962	-0.343800809803233	-0.437181718810955	0.0801230727598856	-0.503793190381681	-0.380431919381498	-0.0437223298126748	0.0437223298126748	-0.307719552946025	-0.288366498327533	-0.475362833032871	-0.372409263900658	-0.283195191967052	-0.184437817568555	-0.375733303848309	-0.509009126697253	-0.423343655137563
DZA65_RS00065	DZA65_RS00065	adenylosuccinate lyase family protein	0.0321263505867604	-0.0321263505867604	-0.0683393376582901	-0.171614652484299	-0.104980196313225	-0.381866372213758	-0.338705154636764	-0.387392358060368	-0.0824846839108657	0.0824846839108657	-0.129959228448262	-0.141568980299861	-0.252422088117113	-0.511687430441873	-0.307660664387505	-0.611935734741166	-0.372206363256519	-0.48148623039354	-0.48200780298695	-0.386963915904908	-0.329473983984703	-0.385384830353071	-0.3212482006438	-0.461942568354076	-0.443647087838275	-0.358569033659903	-0.145620848855923	-0.418116599355559	-0.45310303511711	-0.603209746561453	-0.39016668366648	-0.00935712350864737	0.00935712350864737	-0.296486053157455	-0.309329492284532	-0.394436925824832	-0.387163892819239	-0.390344553426703	-0.253097623391002	-0.359688182465042	-0.371456865719779	-0.438694840410508
DZA65_RS00070	DZA65_RS00070	GntR family transcriptional regulator	-0.0365805756619491	0.0365805756619491	-0.731329559761377	-0.35690496402109	-0.50684560259115	-0.401861143148038	-0.48731717587348	-0.552790157790121	-0.127128598965707	0.127128598965707	0.0891582269930273	-0.092572696627041	0.0666855218965647	-0.464873815727895	-0.515443028148597	-0.473774633872257	-0.777834713212724	-0.0736074313105459	-0.0474350474565148	-0.427827973063493	-0.462140212426063	-0.607026270254692	0.132325810662825	-0.226186436173365	-0.096503324633018	-0.279349603229033	-0.467994423980864	-0.499236436693921	-0.258464959001033	-0.14727149141863	-0.177391084347605	-0.221187851986727	0.221187851986727	-0.409318549321828	-0.558621467979432	-0.464317276804659	-0.566621871874406	-0.135621235406149	-0.188208663152881	-0.893175099574597	-0.732010712223441	-0.729340665792715
DZA65_RS00080	DZA65_RS00080	MBOAT family protein	-0.00260607715434258	0.00260607715434258	-0.218731012402836	-0.245644478207224	-0.250708277120406	-0.462480337741122	-0.470658682367858	-0.401197427707245	-0.0255304589579	0.0255304589579	-0.370837695598338	-0.321476165132291	-0.257099614523199	-0.359056511783748	-0.291222601536694	-0.437174506727673	-0.197643002839096	-0.0996444793534867	-0.274235727403216	-0.356265071770367	-0.552445383282071	-0.228501124471152	-0.374187403179964	-0.48149312078871	-0.370128984445425	-0.276744074334172	-0.241699669131104	-0.307558678151914	-0.254516081683064	-0.266185831385189	-0.261405120338092	-0.0628104760312036	0.0628104760312036	-0.301872599704515	-0.291279022759434	-0.420870843511497	-0.371982620384053	-0.42081981321493	-0.474019980423365	-0.365626811132579	-0.386506244245096	-0.400222022986029
DZA65_RS00085	DZA65_RS00085	DUF459 domain-containing protein	-0.0459892518779155	0.0459892518779155	-0.242091118641115	-0.23827810823954	-0.235883474335104	-0.449413914198765	-0.276029132579979	-0.313090906019476	-0.00841009723272901	0.00841009723272901	-0.377678501006109	-0.274495148301797	-0.108147504991873	-0.511353397250489	-0.529284178364728	-0.787476675209473	-0.352920164543562	-0.356243747733498	-0.431334900019389	-0.587875925115487	-0.527485272473357	-0.432178877829783	-0.443369788717239	-0.409374965192113	-0.434888517943523	-0.247069031380689	-0.284504954560204	-0.292054636388969	-0.529904328401713	-0.803793200454124	-0.238213098071735	0.00969603024336063	-0.00969603024336063	-0.311508243775108	-0.265344978687312	-0.296582354287258	-0.321426475616632	-0.338980464579994	-0.355271763103736	-0.461749129388714	-0.481459550474153	-0.447273067796319
DZA65_RS00090	DZA65_RS00090	hypothetical protein	0.0493330020423182	-0.0493330020423182	-0.127588777542346	-0.317824134779424	-0.260104179494126	-0.204635854582835	-0.258175090612311	-0.164693887719674	0.0814580228457098	-0.0814580228457098	-0.155544559436132	-0.03766046233683	-0.115804746308621	-0.355995071972159	-0.0844137401887526	-0.219732505013531	-0.288157322214186	-0.154522657619847	-0.394694413697544	-0.317448361616805	-0.224952432365968	-0.50516571993847	-0.386731065938169	-0.33675397967184	-0.268543689589224	-0.241072175704701	-0.0424965247496383	-0.179983082925831	-0.318914478864189	-0.346097713924193	-0.388153411490159	-0.0435627585541303	0.0435627585541303	-0.354886428805333	-0.3355972469916	-0.425775405245413	-0.381629962713018	-0.294454343574236	-0.168757826922797	-0.326192197588034	-0.277502313988198	-0.3953635973247
DZA65_RS00095	DZA65_RS00095	AsnC family transcriptional regulator	-0.103075987448857	0.103075987448857	-0.290806403674143	-0.362757273745707	-0.000912556857628033	-0.618215669904319	-0.576614966314942	-0.503311645359935	0.344939845349516	-0.344939845349516	-0.430429876757613	0.185600526679734	-0.370227017862991	-0.844545904570955	-0.64457165534106	-0.0742089799903098	-0.474003933129082	-0.368544951473089	-0.420017711513256	-0.81999100608975	-1.18820398200576	-0.550599244291078	-0.823966219667423	-0.79588765475181	-0.539292430729243	-1.19779922964884	-1.01562440575574	-0.617049750658549	-0.472127096405164	-0.335293807664661	-0.374691214181648	0.6017802600767	-0.6017802600767	-0.0334516473236608	-0.773949020413935	-0.0669706473960408	-0.209370648043587	-0.51136670353859	-0.492252665931134	-1.18800057232347	-0.314323634530648	-0.498813126958588
DZA65_RS00100	DZA65_RS00100	phosphoserine transaminase	-0.0746206753090286	0.0746206753090286	-0.265029768740721	-0.217310408149669	-0.216237041515134	-0.488549791826172	-0.584900167455152	-0.559997170618485	-0.0555464681614763	0.0555464681614763	-0.0915697809336553	-0.134342876025642	-0.127290096015304	-0.352513474592182	-0.446220008336132	-0.319568493500912	-0.502652655043193	-0.147093315980797	-0.409601465141423	-0.204132425182069	-0.341420505166302	-0.542431437712263	-0.525119193414771	-0.377197830016644	-0.398911016584197	-0.311641514475238	0.0041407912589646	-0.432474542776352	-0.414539735782075	-0.292865221206578	-0.309424684264738	-0.0757735455723187	0.0757735455723187	-0.392265684386603	-0.394774783009189	-0.425551872800767	-0.365006707580178	-0.260249222876731	-0.280429486304873	-0.48359322364051	-0.333810940856234	-0.273366663468352
DZA65_RS00105	DZA65_RS00105	formyl-CoA transferase	0.00457509765723341	-0.00457509765723341	-0.236072640045726	-0.278694048562239	-0.186377208661417	-0.372912909243841	-0.497161083097059	-0.419063613279284	-0.0516383993814431	0.0516383993814431	-0.236509839313904	-0.102605481688534	-0.200858972012593	-0.609543711685526	-0.400281694063285	-0.596288623552597	-0.416127096082187	-0.501635531430396	-0.535939891512756	-0.4622144694572	-0.470939803111155	-0.452324306618755	-0.326756430559837	-0.446466689759874	-0.299417759939462	-0.379388327297336	-0.273162356637537	-0.565019171547344	-0.0373152290779633	-0.454786784221245	-0.357346863317685	-0.00115490660351458	0.00115490660351458	-0.392577401961523	-0.376338592893275	-0.314030619263101	-0.353153706306682	-0.306956984639595	-0.269619188413231	-0.300179864615224	-0.413618251900108	-0.432104142532394
DZA65_RS00110	DZA65_RS00110	PAS sensor domain-containing protein	-0.149567602867381	0.149567602867381	-0.264811195141199	-0.370576778205007	-0.584647754194782	-0.530888618106844	-0.927689406861821	-0.644667494605477	-0.0690256444021395	0.0690256444021395	-0.0448022050202876	-0.158867970376463	-0.177552220899059	0.123334344496915	-0.14714202587064	0.119155936594955	-0.317782904478596	-0.44475728658839	-0.152069928165603	-1.05721124791131	-0.359835882199741	-0.673321544004114	-0.069870882240032	-0.356084842863445	-0.8055612050613	-0.419061897567421	-0.165837322314819	-0.407859866911601	-0.516846884116927	-1.00128565979889	0.379404123245743	-0.183119811153208	0.183119811153208	-0.339782887160005	-0.61126513991261	-0.48503947460574	-0.156740313007175	-0.186931753040652	-0.410388018707274	-0.301686734217419	-0.638045011241061	-0.373686984684058
DZA65_RS00115	DZA65_RS00115	formyl-CoA transferase	-0.137985442991959	0.137985442991959	-0.244052634974401	-0.24111195859571	-0.257183110658135	-0.46611221855579	-0.609606791925754	-0.558724765678542	-0.0779475491502639	0.0779475491502639	-0.223912004698199	-0.15973496421326	-0.210773139456485	-0.444548439639036	-0.269894936468953	-0.420166925877704	-0.373635152078665	-0.362529047807004	-0.458137217433408	-0.374702852476313	-0.437024696868105	-0.4066687340853	-0.603288312640252	-0.506756258080084	-0.316601176525146	-0.525827497725712	-0.372292831725137	-0.445647725151308	-0.365156943492922	-0.545625866078352	-0.424000473630037	0.00440998520105484	-0.00440998520105484	-0.424446852980655	-0.388851288009374	-0.401707617349401	-0.356217034060692	-0.48970527392566	-0.347336668306549	-0.464633581094169	-0.38885959304341	-0.382785042294314
