Gene ID	Locus Tag	Name	Function	
648180356	Dda3937_01118	glutamine synthetase	COG0174	
648180385	Dda3937_01146	D-serine ammonia-lyase (EC 4.3.1.18)	COG3048	
648180412	Dda3937_02529	dihydrodipicolinate synthase	COG0329	
648180423	Dda3937_02540	dipeptide ABC transporter periplasmic component	COG0747	
648180424	Dda3937_02541	dipeptide ABC transporter membrane protein	COG0601	
648180425	Dda3937_02542	dipeptide ABC transporter membrane protein	COG1173	
648180426	Dda3937_02543	dipeptide ABC transporter ATP-binding protein	COG0444	
648180427	Dda3937_01979	dipeptide ABC transporter ATP-binding protein	COG4608	
648180431	Dda3937_01983	transcriptional regulator, GntR family	COG1167	
648180466	Dda3937_02017	high-affinity leucine-specific ABC transport system; periplasmic binding protein	COG0683	
648180467	Dda3937_02018	leucine/isoleucine/valine ABC transporter membrane protein	COG0559	
648180468	Dda3937_02019	leucine/isoleucine/valine ABC transporter membrane protein	COG4177	
648180469	Dda3937_02020	L-leucine ABC transporter ATP-binding protein/L-isoleucine ABC transporter ATP-binding protein/L-valine ABC transporter ATP-binding protein	COG0411	
648180470	Dda3937_02021	leucine/isoleucine/valine ABC transporter ATP-binding protein	COG0410	
648180471	Dda3937_02022	putative valine-pyruvate aminotransferase	COG1167	
648180505	Dda3937_03869	agmatine deiminase (EC 3.5.3.12)	COG2957	
648180524	Dda3937_03887	methionine repressor, MetJ	COG3060	
648180525	Dda3937_03888	cystathionine gamma-synthase (EC 2.5.1.48)	COG0626	
648180526	Dda3937_03889	aspartate kinase (EC 2.7.2.4)	COG0527	
648180527	Dda3937_03890	5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)	COG0685	
648180563	Dda3937_00224	putative regulator	COG1167	
648180591	Dda3937_01575	amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-)	COG1126	
648180592	Dda3937_01576	amino acid ABC transporter membrane protein 2, PAAT family (TC 3.A.1.3.-)	COG0765	
648180593	Dda3937_01577	putative transport system permease	COG4597	
648180594	Dda3937_01578	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)	COG0834	
648180596	Dda3937_01580	putative transporter membrane protein	COG0765	
648180597	Dda3937_01581	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)	COG0834	
648180620	Dda3937_04029	3-dehydroquinate dehydratase (EC 4.2.1.10)	COG0757	
648180638	Dda3937_00674	Homoserine/homoserine lactone efflux protein	COG1280	
648180672	Dda3937_00708	glutamate synthase, 4Fe-4S protein, small subunit	COG0493	
