"Var1","Freq","desc","COG","group"
"DZA65_RS00355",6,"argininosuccinate synthase","amino acid transport and metabolism","group_00579"
"DZA65_RS00735",6,"orotate phosphoribosyltransferase","nucleotide transport and metabolism","group_02337"
"DZA65_RS00800",5,"O-antigen ligase family protein","none","group_01114"
"DZA65_RS00835",2,"murein hydrolase activator EnvC","cell cycle control, cell division, chromosome partitioning","group_01441"
"DZA65_RS00870",6,"HTH-type transcriptional regulator MetR","transcription","group_01387"
"DZA65_RS00895",6,"phosphoenolpyruvate carboxylase","energy production and conversions","group_00078"
"DZA65_RS00930",6,"acetylornithine deacetylase","amino acid transport and metabolism","group_00844"
"DZA65_RS00935",6,"N-acetyl-gamma-glutamyl-phosphate reductase","amino acid transport and metabolism","group_01191"
"DZA65_RS00940",6,"acetylglutamate kinase","amino acid transport and metabolism","group_01962"
"DZA65_RS00945",6,"argininosuccinate lyase","amino acid transport and metabolism","group_00633"
"DZA65_RS00980",1,"Sec-independent protein translocase subunit TatC","intracellular trafficking, secretion, and vesicular transport","group_02101"
"DZA65_RS00995",3,"transcription/translation regulatory transformer protein RfaH","transcription","group_02628"
"DZA65_RS01005",1,"NAD(P)H-flavin reductase","energy production and conversions","group_02117"
"DZA65_RS01050",3,"Trk system potassium transporter TrkH","inorganic ion transport and metabolism","group_00509"
"DZA65_RS01210",1,"thiamine phosphate synthase","coenzyme transport and metabolism","group_02358"
"DZA65_RS01215",1,"phosphomethylpyrimidine synthase ThiC","coenzyme transport and metabolism","group_00218"
"DZA65_RS01255",6,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"DZA65_RS01260",6,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism","group_00389"
"DZA65_RS01315",1,"endonuclease","general function prediction only","group_00970"
"DZA65_RS01350",1,"DNA-binding transcriptional regulator Fis","transcription","group_03079"
"DZA65_RS01500",1,"PTS IIA-like nitrogen regulatory protein PtsN","signal transduction mechanisms","group_02657"
"DZA65_RS01510",6,"RNA polymerase factor sigma-54","transcription","group_00602"
"DZA65_RS01545",2,"phospholipid ABC transporter ATP-binding protein MlaF","cell wall/membrane/envelope biogenesis","group_01811"
"DZA65_RS01550",1,"lipid asymmetry maintenance ABC transporter permease subunit MlaE","cell wall/membrane/envelope biogenesis","group_02009"
"DZA65_RS01555",1,"outer membrane lipid asymmetry maintenance protein MlaD","none","group_02580"
"DZA65_RS01560",1,"phospholipid-binding protein MlaC","lipid transport and metabolism","group_02373"
"DZA65_RS01580",4,"outer membrane-stress sensor serine endopeptidase DegS","postranslational modification, protein turnover, chaperones","group_01222"
"DZA65_RS01585",1,"serine endoprotease DegQ","postranslational modification, protein turnover, chaperones","group_00698"
"DZA65_RS01615",6,"stringent starvation protein A","postranslational modification, protein turnover, chaperones","group_02225"
"DZA65_RS01620",3,"ClpXP protease specificity-enhancing factor","general function prediction only","group_02658"
"DZA65_RS01630",6,"FAD-dependent oxidoreductase","general function prediction only","group_00477"
"DZA65_RS01635",6,"glutamate synthase large subunit","amino acid transport and metabolism","group_00021"
"DZA65_RS01785",6,"cystathionine beta-lyase","amino acid transport and metabolism","group_00890"
"DZA65_RS01790",6,"tol-pal system-associated acyl-CoA thioesterase","intracellular trafficking, secretion, and vesicular transport","group_02148"
"DZA65_RS01795",2,"TonB system transport protein ExbD","intracellular trafficking, secretion, and vesicular transport","group_02825"
"DZA65_RS01970",6,"aspartate carbamoyltransferase","nucleotide transport and metabolism","group_01481"
"DZA65_RS01985",6,"ornithine carbamoyltransferase","amino acid transport and metabolism","group_01248"
"DZA65_RS02490",6,"phosphoserine phosphatase","amino acid transport and metabolism","group_01340"
"DZA65_RS02680",6,"heavy metal translocating P-type ATPase",NA,NA
"DZA65_RS02835",3,"protein-disulfide reductase DsbD","postranslational modification, protein turnover, chaperones","group_00332"
"DZA65_RS03415",3,"DUF1435 domain-containing protein","none","group_03110"
"DZA65_RS03490",3,"bifunctional protein-disulfide isomerase/oxidoreductase DsbC","postranslational modification, protein turnover, chaperones","group_02043"
"DZA65_RS03625",3,"polysaccharide biosynthesis protein","postranslational modification, protein turnover, chaperones","group_00261"
"DZA65_RS03635",2,"sugar transferase","cell wall/membrane/envelope biogenesis","group_02550"
"DZA65_RS04370",1,"cysteine synthase A","amino acid transport and metabolism","group_01368"
"DZA65_RS05310",6,"thymidylate synthase","nucleotide transport and metabolism","group_01653"
"DZA65_RS05340",6,"amino-acid N-acetyltransferase","amino acid transport and metabolism","group_00678"
"DZA65_RS05490",3,"sigma E protease regulator RseP","none","group_00659"
"DZA65_RS05500",3,"molecular chaperone Skp","postranslational modification, protein turnover, chaperones","group_02745"
"DZA65_RS05885",1,"transcriptional regulator NrdR","transcription","group_02731"
"DZA65_RS05930",2,"tRNA 4-thiouridine(8) synthase ThiI","translation, ribosomal structure, and biogenesis","group_00534"
"DZA65_RS05940",1,"2-dehydropantoate 2-reductase","coenzyme transport and metabolism","group_01472"
"DZA65_RS05965",2,"protoheme IX farnesyltransferase","lipid transport and metabolism","group_01685"
"DZA65_RS06005",1,"trigger factor","postranslational modification, protein turnover, chaperones","group_00782"
"DZA65_RS06220",3,"hypothetical protein","function unknown","group_01719"
"DZA65_RS06420",6,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism","group_01110"
"DZA65_RS06470",6,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism","group_02061"
"DZA65_RS06685",6,"asparagine synthase B",NA,"group_03513"
"DZA65_RS06895",2,"Tol-Pal system protein TolQ","intracellular trafficking, secretion, and vesicular transport","group_02216"
"DZA65_RS06945",1,"quinolinate synthase NadA","coenzyme transport and metabolism","group_01256"
"DZA65_RS07030",1,"6-phosphogluconolactonase","carbohydrate transport and metabolism","group_01774"
"DZA65_RS07460",3,"SDR family oxidoreductase",NA,"group_03615"
"DZA65_RS09025",4,"iron ABC transporter substrate-binding protein","inorganic ion transport and metabolism","group_01279"
"DZA65_RS09030",2,"iron ABC transporter permease","inorganic ion transport and metabolism","group_00453"
"DZA65_RS09455",6,"DUF3413 domain-containing protein","cell wall/membrane/envelope biogenesis","group_00270"
"DZA65_RS09910",1,"thioredoxin-disulfide reductase","postranslational modification, protein turnover, chaperones","group_01352"
