	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23	Pectobacterium_carotovorum_WPP14
group_00001	WP_033111817.1;WP_033111816.1;WP_013317653.1	WP_192991111.1;WP_192991112.1;WP_192991110.1	WP_024105648.1;WP_024105649.1;WP_024105647.1	WP_029367285.1
group_00002	WP_013316545.1;WP_013317120.1;WP_013318572.1	WP_013316545.1;WP_192991002.1;WP_038904890.1	WP_024108343.1;WP_012768188.1	WP_012822145.1;WP_039475383.1
group_00003	WP_013318214.1;WP_033111513.1;WP_013315872.1	WP_192988662.1;WP_192990268.1;WP_192989719.1	WP_024108842.1	WP_180890122.1;WP_180890044.1
group_00004	WP_013319864.1;WP_013319862.1;WP_013319863.1	WP_192989683.1;WP_192989682.1	WP_103415950.1;WP_103415949.1	WP_010300150.1
group_00005	WP_033112115.1;WP_013316408.1	WP_192989607.1;WP_192990329.1	WP_103468983.1;WP_024108247.1	WP_010297089.1
group_00006	WP_013318229.1	WP_192988671.1;WP_192990273.1	WP_024106204.1	WP_180890039.1;WP_180890119.1;WP_180890155.1
group_00007	WP_107768474.1;WP_148226907.1	WP_192991502.1;WP_192991504.1	WP_103415912.1;WP_116587132.1	WP_117624693.1
group_00008	WP_013318213.1	WP_192988661.1;WP_192990267.1	WP_024106189.1	WP_180890123.1;WP_180890045.1;WP_180890161.1
group_00009	WP_013318604.1;WP_013316248.1	WP_192990515.1;WP_192990509.1	WP_103415724.1;WP_024108969.1	WP_010299630.1
group_00010	WP_013316608.1;WP_013318140.1	WP_192989450.1;WP_161132278.1	WP_024107309.1	WP_010303316.1;WP_010296476.1
group_00011	WP_013318208.1	WP_192988657.1;WP_192990263.1	WP_024106184.1	WP_180890126.1;WP_180890049.1;WP_180890163.1
group_00012	WP_013318205.1	WP_192988655.1	WP_024108841.1	WP_180890134.1;WP_180890060.1;WP_180890169.1
group_00013	WP_013317452.1	WP_192991454.1	WP_024108656.1	WP_180890016.1;WP_180890015.1;WP_010305535.1
group_00014	WP_013318538.1	WP_192988841.1;WP_192990488.1	WP_103415897.1;WP_103415919.1	WP_029367536.1
group_00015	WP_013318223.1	WP_192988668.1	WP_024106199.1	WP_180890043.1;WP_127031939.1;WP_180890159.1
group_00016	WP_013319746.1	WP_192989604.1	WP_024107562.1	WP_010297068.1;WP_010297052.1;WP_010297054.1
group_00017	WP_013318212.1	WP_192988660.1	WP_024106188.1	WP_039512480.1;WP_180890046.1;WP_180890124.1
group_00018	WP_013316559.1	WP_192990254.1	WP_024108282.1	WP_044208977.1;WP_180890057.1;WP_180890131.1
group_00019	WP_033111903.1	WP_192988659.1	WP_026594756.1	WP_180890047.1;WP_180890125.1;WP_010310015.1
group_00020	WP_013318224.1	WP_013318224.1	WP_013318224.1	WP_010310782.1;WP_174865269.1;WP_127031940.1
group_00021	WP_042318392.1	WP_192988653.1	WP_024108838.1	WP_180890136.1;WP_180890170.1;WP_180890062.1
group_00022	WP_013318228.1	WP_192988670.1	WP_024108847.1	WP_180890156.1;WP_127031943.1;WP_180890040.1
group_00023	WP_013316543.1;WP_013318570.1	WP_192990805.1;WP_192991000.1	WP_024106422.1	WP_010287508.1
group_00024	WP_013316551.1	WP_192990241.1	WP_024108270.1	WP_010297311.1;WP_010306219.1;WP_010298911.1
group_00025	WP_013318624.1;WP_013318612.1	WP_192988884.1	WP_024108344.1;WP_024108941.1	WP_010305012.1
group_00026	WP_013316576.1	WP_192990269.1	WP_024108299.1	WP_010295308.1;WP_180890160.1;WP_180890121.1
group_00027	WP_013316558.1	WP_192990253.1	WP_024108281.1	WP_180890133.1;WP_180890059.1;WP_010309890.1
group_00028	WP_013318225.1	WP_024106200.1	WP_024106200.1	WP_180890158.1;WP_127031941.1;WP_180890042.1
group_00029	WP_013316529.1;WP_013317431.1	WP_192991478.1;WP_012768898.1	WP_024106078.1	WP_010296161.1
group_00030	WP_013316118.1	WP_013316118.1;WP_192990116.1	WP_024104363.1;WP_024108131.1	WP_161510026.1
group_00031	WP_013318625.1;WP_013318613.1	WP_110372302.1	WP_024108345.1;WP_024108942.1	WP_010305008.1
group_00032	WP_013318204.1	WP_024106180.1	WP_024108840.1	WP_015841324.1;WP_180890061.1;WP_010310903.1
