locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
HER17_RS00005	HER17_RS00005	1	NZ_CP051652	1	1398	+	NA	chromosomal replication initiator protein DnaA	0.5272	54	FALSE
HER17_RS00010	HER17_RS00010	1	NZ_CP051652	1403	2503	+	NA	DNA polymerase III subunit beta	0.5495	32	FALSE
HER17_RS00015	HER17_RS00015	1	NZ_CP051652	2554	3639	+	NA	DNA replication/repair protein RecF	0.5534	40	TRUE
HER17_RS00020	HER17_RS00020	1	NZ_CP051652	3658	6075	+	NA	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.5339	94	FALSE
HER17_RS00025	HER17_RS00025	1	NZ_CP051652	6213	7403	-	NA	MFS transporter	0.5751	36	TRUE
HER17_RS00030	HER17_RS00030	1	NZ_CP051652	7567	7935	+	NA	GFA family protein	0.5474	6	FALSE
HER17_RS00035	HER17_RS00035	1	NZ_CP051652	7988	9991	-	NA	methyl-accepting chemotaxis protein	0.5554	64	TRUE
HER17_RS00040	HER17_RS00040	1	NZ_CP051652	10241	11254	-	NA	LacI family DNA-binding transcriptional regulator	0.5621	36	TRUE
HER17_RS00045	HER17_RS00045	1	NZ_CP051652	11466	11771	+	NA	PTS sugar transporter subunit IIB	0.4314	14	TRUE
HER17_RS00050	HER17_RS00050	1	NZ_CP051652	11788	13101	+	NA	PTS sugar transporter subunit IIC	0.5297	55	TRUE
HER17_RS00055	HER17_RS00055	1	NZ_CP051652	13091	13432	+	NA	PTS lactose/cellobiose transporter subunit IIA	0.5146	9	TRUE
HER17_RS00060	HER17_RS00060	1	NZ_CP051652	13469	14911	+	NA	6-phospho-beta-glucosidase	0.5218	56	TRUE
HER17_RS00065	HER17_RS00065	1	NZ_CP051652	15067	15882	+	NA	sugar-phosphatase	0.5208	30	TRUE
HER17_RS00070	HER17_RS00070	1	NZ_CP051652	16138	16605	+	NA	Hcp family type VI secretion system effector	0.3761	43	TRUE
HER17_RS00075	HER17_RS00075	1	NZ_CP051652	16616	17236	+	NA	hypothetical protein	0.3671	58	TRUE
HER17_RS00080	HER17_RS00080	1	NZ_CP051652	17233	17658	+	NA	DUF1311 domain-containing protein	0.3451	30	TRUE
HER17_RS00085	HER17_RS00085	1	NZ_CP051652	17704	18600	-	NA	LysR family transcriptional regulator	0.524	36	TRUE
HER17_RS00090	HER17_RS00090	1	NZ_CP051652	18743	20293	+	NA	ABC transporter substrate-binding protein	0.4926	73	TRUE
HER17_RS00095	HER17_RS00095	1	NZ_CP051652	20365	21249	+	NA	dihydrodipicolinate synthase family protein	0.5514	31	TRUE
HER17_RS00100	HER17_RS00100	1	NZ_CP051652	21351	22304	+	NA	nucleoside hydrolase	0.5577	35	TRUE
HER17_RS00105	HER17_RS00105	1	NZ_CP051652	22306	23295	+	NA	nucleoside hydrolase	0.5535	27	TRUE
HER17_RS00110	HER17_RS00110	1	NZ_CP051652	23295	24272	+	NA	ABC transporter permease	0.5685	29	TRUE
HER17_RS00115	HER17_RS00115	1	NZ_CP051652	24269	25177	+	NA	ABC transporter permease	0.5831	29	TRUE
HER17_RS00120	HER17_RS00120	1	NZ_CP051652	25217	27022	+	NA	ABC transporter ATP-binding protein	0.5836	44	TRUE
HER17_RS00125	HER17_RS00125	1	NZ_CP051652	27098	27355	-	NA	DUF1471 domain-containing protein	0.5078	10	TRUE
HER17_RS00130	HER17_RS00130	1	NZ_CP051652	27528	28328	-	NA	aliphatic sulfonates ABC transporter ATP-binding protein	0.6192	14	TRUE
HER17_RS00135	HER17_RS00135	7	NZ_CP051652	28325	29119	-	NA	aliphatic sulfonate ABC transporter permease SsuC	0.5836	22	TRUE
HER17_RS00140	HER17_RS00140	1	NZ_CP051652	29130	30272	-	NA	FMNH2-dependent alkanesulfonate monooxygenase	0.608	24	TRUE
HER17_RS00145	HER17_RS00145	1	NZ_CP051652	30331	31353	-	NA	sulfonate ABC transporter substrate-binding protein	0.5943	24	TRUE
HER17_RS00150	HER17_RS00150	1	NZ_CP051652	31771	32094	+	NA	PTS sugar transporter subunit IIB	0.5278	9	TRUE
HER17_RS00155	HER17_RS00155	1	NZ_CP051652	32091	33413	+	NA	PTS sugar transporter subunit IIC	0.5601	38	TRUE
HER17_RS00160	HER17_RS00160	1	NZ_CP051652	33439	34851	+	NA	glycoside hydrolase family 1 protein	0.5442	49	TRUE
HER17_RS00165	HER17_RS00165	1	NZ_CP051652	35057	35314	-	NA	DUF1471 domain-containing protein	0.5271	12	TRUE
HER17_RS00170	HER17_RS00170	1	NZ_CP051652	35550	36830	+	NA	DUF3748 domain-containing protein	0.5628	46	TRUE
HER17_RS00175	HER17_RS00175	1	NZ_CP051652	36866	37222	-	NA	YceK/YidQ family lipoprotein	0.5714	15	TRUE
HER17_RS00180	HER17_RS00180	1	NZ_CP051652	37610	38023	+	NA	heat shock chaperone IbpA	0.5217	21	TRUE
