Gene ID	Locus Tag	Name	Function	
648180331	Dda3937_00157	Von Willebrand Factor type A (VWA) domain-containing protein	COG2425	
648180346	Dda3937_01109	hypothetical protein	COG3084	
648180416	Dda3937_02533	hypothetical protein	COG5645	
648180445	Dda3937_01997	putative DNA-binding protein	COG3943	
648180452	Dda3937_02003	membrane protein	COG1295	
648180455	Dda3937_02006	hypothetical protein	COG1738	
648180457	Dda3937_02008	hypothetical protein	COG3714	
648180458	Dda3937_02009	hypothetical protein	COG4517	
648180459	Dda3937_02010	putative membrane protein	COG3776	
648180509	Dda3937_03873	hypothetical protein	COG3152	
648180579	Dda3937_00240	hypothetical protein	COG3068	
648180617	Dda3937_01599	hypothetical protein	COG3924	
648180631	Dda3937_00667	hypothetical protein	COG3164	
648180636	Dda3937_00672	p-hydroxybenzoic acid efflux pump subunit AaeB	COG1289	
648180671	Dda3937_00707	hypothetical protein	COG3791	
648180680	Dda3937_00717	hypothetical protein	COG2823	
648180689	Dda3937_00725	hypothetical protein	COG5463	
648180692	Dda3937_04304	putative dehydrogenase	COG3151	
648180704	Dda3937_01260	hypothetical protein	COG0586	
648180709	Dda3937_01264	fluoroquinolone resistance protein	COG1357	
648180717	Dda3937_01271	hypothetical protein	COG3787	
648180763	Dda3937_01312	putative cytoplasmic protein	COG4453	
648180765	Dda3937_01314	hypothetical protein	COG3811	
648180789	Dda3937_01337	putative lipoprotein	COG5618	
648180827	Dda3937_03670	putative membrane protein	COG3477	
648180833	Dda3937_02681	hypothetical protein	COG3079	
648180840	Dda3937_02675	Protein smp	COG3726	
648180844	Dda3937_02671	periplasmic protein	COG2823	
648180863	Dda3937_02654	hypothetical protein	COG5255	
648180884	Dda3937_02699	putative helix-turn-helix protein, copG family	COG4453	
648180890	Dda3937_02704	putative helix-turn-helix protein, copG family	COG4453	
648180918	Dda3937_02731	putative quinol oxidase subunit	COG2259	
648180920	Dda3937_02733	hypothetical protein	COG5393	
648180923	Dda3937_02736	hypothetical protein	COG0586	
648181064	Dda3937_02454	hypothetical protein	COG3162	
648181151	Dda3937_01708	hypothetical protein	COG5489	
648181155	Dda3937_01712	hypothetical protein	COG5419	
648181157	Dda3937_01714	Plasmid replication initiator protein	COG5534	
648181205	Dda3937_01759	hypothetical protein	COG5435	
648181222	Dda3937_02574	hypothetical protein	COG5484	
648181257	Dda3937_01400	hypothetical protein	COG1671	
648181290	Dda3937_01432	hypothetical protein	COG2960	
648181292	Dda3937_01434	Tellurite resistance protein tehB	COG3615	
648181298	Dda3937_01440	hypothetical protein	COG4125	
648181322	Dda3937_01463	putative preQ0 transporter	COG1738	
648181325	Dda3937_01466	hypothetical protein	COG2862	
648181328	Dda3937_01468	hypothetical protein	COG0730	
