Gene ID	Locus Tag	Name	Function	
648180333	Dda3937_00159	potassium transporter	COG3158	
648180382	Dda3937_01143	arsenical-resistance protein ACR3	COG0798	
648180424	Dda3937_02541	dipeptide ABC transporter membrane protein	COG0601	
648180425	Dda3937_02542	dipeptide ABC transporter membrane protein	COG1173	
648180426	Dda3937_02543	dipeptide ABC transporter ATP-binding protein	COG0444	
648180502	Dda3937_03866	zinc transporter	COG0053	
648180506	Dda3937_03870	alkaline phosphatase (EC 3.1.3.1)	COG1785	
648180565	Dda3937_00226	Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)	COG4117	
648180652	Dda3937_00688	putative calcium/sodium:proton antiporter	COG0530	
648180700	Dda3937_01256	divisomal assembly stabilization protein	COG2132	
648180722	Dda3937_01276	ABC transporter permease	COG0601	
648180723	Dda3937_01277	ABC transporter permease	COG1173	
648180780	Dda3937_01328	hypothetical protein	COG2128	
648180799	Dda3937_01347	permease of an ABC transporter	COG0601	
648180800	Dda3937_01348	permease of an ABC transporter	COG1173	
648180801	Dda3937_01349	ABC transporter ATP-binding protein	COG0444	
648180824	Dda3937_03673	ABC transporter permease	COG1173	
648180825	Dda3937_03672	ABC transporter permease	COG0601	
648180858	Dda3937_02659	Vitamin B12 ABC transporter ATPase BtuD	COG1120	
648180859	Dda3937_02658	ABC transporter periplasmic-binding protein	COG0614	
648180860	Dda3937_02657	ABC transporter permease	COG0609	
648180868	Dda3937_02650	zinc, cobalt and lead efflux system	COG2217	
648180903	Dda3937_02716	copper binding protein	COG1324	
648180914	Dda3937_02727	zinc uptake regulator, Fur family	COG0735	
648180930	Dda3937_02743	Alx protein	COG0861	
648181062	Dda3937_02262	sodium/proton antiporter, CPA1 family (TC 2.A.36)	COG0025	
648181068	Dda3937_04467	Ferrichrome-iron receptor	COG4773	
648181072	Dda3937_03608	D-ala-D-ala transporter subunit	COG0601	
648181073	Dda3937_03609	dipeptide transport protein (ABC superfamily, membrane)	COG1173	
648181075	Dda3937_01164	peptide transport ATP-binding protein	COG1124	
648181077	Dda3937_01166	FecR family protein	COG3712	
648181253	Dda3937_04481	proton-dependent divalent metal cation transporter	COG1914	
648181270	Dda3937_01413	putative iron-dependent peroxidase	COG2837	
648181304	Dda3937_01446	NrfD protein	COG3301	
648181372	Dda3937_03400	iron-sulfur cluster protector protein	COG2924	
648181383	Dda3937_03390	putative transport protein	COG0861	
648181478	Dda3937_01930	putative ATP-binding protein of a transport system	COG4615	
648181489	Dda3937_01941	phosphate-binding protein of an ABC transporter	COG0226	
648181501	Dda3937_01953	magnesium transporter	COG0474	
648181544	Dda3937_03308	ammonium transporter	COG0004	
648181568	Dda3937_03285	Kef-type potassium/proton antiporter, CPA2 family (TC 2.A.37.1)	COG4651	
648181578	Dda3937_04159	Lead, cadmium, zinc and mercury transporting ATPase; Copper-translocating P-type ATPase	COG2217	
648181606	Dda3937_01794	Ferrichrome-iron receptor	COG4774	
648181607	Dda3937_01795	putative solute-binding periplasmic protein of ABC transporter	COG0614	
648181619	Dda3937_02511	putative oxidoreductase	COG1393	
648181632	Dda3937_02498	hypothetical protein	COG1393	
648181639	Dda3937_02492	camphor resistance protein CrcB	COG0239	
648181661	Dda3937_02470	putative ion transport	COG4535	
648181679	Dda3937_01561	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport	COG0735	
648181690	Dda3937_01551	potassium translocating ATPase, subunit C	COG2156	
648181691	Dda3937_01550	high-affinity potassium-transporting ATPase B chain	COG2216	
648181692	Dda3937_01549	P-type ATPase, high-affinity potassium transport system, A chain	COG2060	
648181727	Dda3937_03986	zinc efflux system	COG1230	
648181731	Dda3937_03990	Cobalt-zinc-cadmium resistance protein czcA; Cation efflux system protein cusA	COG3696	
648181740	Dda3937_03999	molybdate ABC transporter ATP-binding protein	COG1119	
648181743	Dda3937_04002	molybdate ABC transporter periplasmic-binding protein	COG0725	
648181744	Dda3937_04003	molybdate ABC transporter membrane protein	COG4149	
648181745	Dda3937_04004	molybdate ABC transporter ATP-binding protein	COG4148	
648181757	Dda3937_03930	hypothetical protein	COG0861	
648181793	Dda3937_03282	hemin transport protein hmuS	COG3720	
648181794	Dda3937_03283	Periplasmic hemin-binding protein	COG4558	
648181795	Dda3937_03284	hemin ABC transporter permease	COG0609	
648181796	Dda3937_00848	hemin ABC transporter ATPase	COG4559	
648181799	Dda3937_00846	TonB-dependent hemin , ferrichrome receptor	COG4771	
648181801	Dda3937_00844	Non-specific DNA-binding protein Dps/Iron-binding ferritin-like antioxidant protein/Ferroxidase	COG0783	
648181806	Dda3937_00839	ABC transporter permease	COG0601	
648181807	Dda3937_00838	ABC transporter permease	COG1173	
648181808	Dda3937_00837	olgopeptide transport ATP-binding protein oppD	COG0444	
648181853	Dda3937_00794	ferrous iron permease	COG0672	
648181854	Dda3937_00793	component of a tripartite ferrous iron transporter	COG2822	
648181855	Dda3937_00792	redox component of a tripartite ferrous iron transporter	COG2837	
648181884	Dda3937_00769	nitrate/sulfonate/bicarbonate ABC transporter ATPase	COG1116	
648181885	Dda3937_00768	ABC transporter nitrate permease	COG4986	
648181888	Dda3937_00765	catalase/Peroxidase	COG0376	
648181892	Dda3937_00761	Nickel transport system permease	COG0601	
648181893	Dda3937_00760	nickel ABC transporter , inner membrane protein	COG1173	
648181894	Dda3937_00759	olgopeptide transporter putative ATPase domain-containing protein	COG0444	
648181895	Dda3937_00758	ATP-binding protein of nickel transport system	COG1124	
648181927	Dda3937_00732	hydrogenase 4, membrane subunit	COG0651	
648181929	Dda3937_00730	hydrogenase 4, membrane subunit	COG1009	
648181931	Dda3937_00728	hydrogenase 4, membrane subunit	COG0651	
648181940	Dda3937_04123	Taurine transport system permease tauC	COG0600	
648181941	Dda3937_04124	Taurine transport ATP-binding protein tauB	COG1116	
648181942	Dda3937_04315	Taurine transporter substrate-binding protein	COG0715	
648181959	Dda3937_04088	methylphosphonate degradation complex, subunit phnG	COG3624	
648181960	Dda3937_04089	methylphosphonate degradation complex, subunit phnH	COG3625	
648181961	Dda3937_04090	PhnI protein	COG3626	
648181962	Dda3937_04091	carbon-phosphorous lyase (EC 4.-.-.-)	COG3627	
648181963	Dda3937_04092	phosphonates transport ATP-binding protein phnK	COG4107	
648181964	Dda3937_04093	methylphosphonate degradation complex, subunit phnL	COG4778	
648181965	Dda3937_04094	ribophosphonate triphosphate hydrolase (EC 3.-.-.-)	COG3454	
648181967	Dda3937_04096	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase (EC 3.1.4.-)	COG1235	
648181970	Dda3937_04099	phosphonate ABC transporter ATP-binding protein	COG3638	
648181971	Dda3937_04100	phosphonate ABC transporter periplasmic component PhnD	COG3221	
648181972	Dda3937_04101	phosphonate ABC transporter permease PhnE	COG3639	
648181973	Dda3937_04102	putative ABC transport membrane permease	COG3639	
648181984	Dda3937_02855	TonB-dependent receptor	COG1629	
648181985	Dda3937_02854	putative AcsD	COG4264	
648181988	Dda3937_02851	Siderophore staphylobactin biosynthesis protein SbnF	COG4264	
648181990	Dda3937_02849	Siderophore staphylobactin biosynthesis protein SbnC	COG4264	
648181991	Dda3937_02848	Siderophore staphylobactin ABC transporter substrate-binding protein SirA	COG0614	
648181992	Dda3937_02847	ferric achromobactin inner membrane permease	COG0609	
648181993	Dda3937_02846	ferric achromobactin inner membrane permease	COG0609	
648181994	Dda3937_02845	ATP binding protein from the ferric achromobactin permease	COG1120	
648182028	Dda3937_03021	alkanesulfonates transport system permease	COG0600	
648182032	Dda3937_03017	alkanesulfonates-binding protein	COG0715	
648182033	Dda3937_03016	TonB-dependent receptor	COG1629	
648182039	Dda3937_03010	methionine ABC transporter substrate-binding protein	COG1464	
648182045	Dda3937_03004	alkanesulfonates ABC transporter ATP-binding protein/sulfonate ABC transporter ATP-binding subunit SsuB	COG1116	
648182046	Dda3937_03003	alkanesulfonates transport system permease	COG0600	
648182047	Dda3937_03002	alkanesulfonates-binding protein	COG0715	
648182055	Dda3937_02994	ABC transporter permease	COG0601	
648182056	Dda3937_02993	ABC transporter permease	COG1173	
648182076	Dda3937_00373	Manganese ABC transporter inner membrane permease SitD	COG1108	
648182077	Dda3937_00374	Manganese ABC transporter inner membrane permease SitC	COG1108	
648182078	Dda3937_00375	Manganese ABC transporter ATP-binding protein SitB	COG1121	
648182079	Dda3937_00376	Manganese ABC transporter periplasmic-binding protein SitA	COG0803	
648182116	Dda3937_03590	Cyanate hydratase	COG1513	
648182180	Dda3937_03766	Ferric iron ABC transporter iron-binding protein	COG1840	
648182181	Dda3937_03767	Ferric iron ABC transporter permease	COG1178	
648182196	Dda3937_02914	opine ABC transporter ATP-binding protein	COG0444	
648182198	Dda3937_02912	ABC transporter permease	COG0601	
648182199	Dda3937_02911	opine transporter, membrane protein	COG1173	
648182227	Dda3937_02884	Fe-binding and storage protein	COG0783	
648182233	Dda3937_02457	Cyanate transport protein cynX	COG2807	
648182255	Dda3937_03439	oligopeptide transporter	COG0601	
648182257	Dda3937_01247	ABC transporter ATPase	COG0444	
648182264	Dda3937_01238	arsenate reductase	COG1393	
648182298	Dda3937_03819	oxalate/formate antiporter	COG2223	
648182359	Dda3937_03491	methionine ABC transporter substrate-binding protein	COG1464	
648182392	Dda3937_02367	hybrid cluster protein [4Fe-2S-2O] protein in anaerobic terminal reductases	COG1151	
648182417	Dda3937_03349	formate transporter	COG2116	
648182468	Dda3937_00009	blue copper oxidase cueO	COG2132	
648182490	Dda3937_01608	copper homeostasis protein	COG3142	
648182504	Dda3937_01620	HoxN/HupN/NixA family nickel/cobalt transporter	COG3376	
648182507	Dda3937_01623	high-affinity zinc transport system membrane protein	COG1108	
648182508	Dda3937_01624	high-affinity zinc transport system ATP-binding protein	COG1121	
648182509	Dda3937_01625	Zinc ABC transporter periplasmic-binding protein ZnuA	COG4531	
648182525	Dda3937_03566	Protein yobA	COG2372	
648182526	Dda3937_00085	Copper resistance protein D	COG1276	
648182527	Dda3937_00086	ferritin iron storage protein (cytoplasmic)	COG1528	
648182540	Dda3937_03325	putative transport system permease	COG0601	
