Gene ID	Locus Tag	Name	Function	
648180482	Dda3937_03045	glycerophosphoryl diester phosphodiesterase	COG0584	
648180618	Dda3937_01600	acetyl-CoA carboxylase, biotin carboxylase subunit	COG0439	
648180619	Dda3937_04028	acetyl CoA carboxylase, BCCP subunit	COG0511	
648180656	Dda3937_00692	putative ABC-type organic solvent transporter	COG2854	
648180699	Dda3937_01255	1-acyl-sn-glycerol-3-phosphate acyltransferase	COG0204	
648180787	Dda3937_01335	oxidoreductase, short-chain dehydrogenase/reductase family protein	COG1028	
648180793	Dda3937_01341	2,3-butanediol dehydrogenase/acetoin (diacetyl) reductase	COG1028	
648180849	Dda3937_02666	oxidoreductase, short-chain dehydrogenase/reductase family protein	COG3967	
648180911	Dda3937_02724	glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	COG2937	
648180912	Dda3937_02725	diacylglycerol kinase	COG0818	
648180988	Dda3937_02331	putative lipid carrier protein	COG3154	
648181032	Dda3937_04703	glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	COG2303	
648181046	Dda3937_02278	putative methyltransferase	COG3963	
648181059	Dda3937_02265	Lipid A biosynthesis lauroyl acyltransferase	COG1560	
648181065	Dda3937_02455	acetyl-coenzyme A synthetase	COG0365	
648181136	Dda3937_01221	3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41)	COG0304	
648181280	Dda3937_01423	Enoyl-CoA hydratase	COG1024	
648181307	Dda3937_01449	putative lipase/esterase	COG0657	
648181427	Dda3937_00883	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	COG0743	
648181428	Dda3937_00884	undecaprenyl pyrophosphate synthetase (di-trans,poly-cis-decaprenylcistransferase)	COG0020	
648181429	Dda3937_04310	CDP-diglyceride synthase	COG0575	
648181434	Dda3937_01887	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.-)	COG0764	
648181439	Dda3937_01892	acetyl-CoA carboxylase, carboxytransferase, subunit alpha	COG0825	
648181494	Dda3937_01946	ACP phosphodiesterase	COG3124	
648181507	Dda3937_01959	phosphatidylglycerophosphatase A	COG1267	
648181508	Dda3937_01960	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)	COG1154	
648181521	Dda3937_01972	protoheme IX farnesyltransferase	COG0109	
648181545	Dda3937_03307	acyl-CoA thioesterase II	COG1946	
648181597	Dda3937_01785	2-succinylbenzoyl-CoA synthetase (EC 6.2.1.26)	COG0318	
648181715	Dda3937_04501	thioesterase	COG0824	
648181788	Dda3937_03279	putative short-chain dehydrogenase	COG1028	
648181874	Dda3937_00776	Cyclopropane-fatty-acyl-phospholipid synthase	COG2230	
648182049	Dda3937_03000	CDP-diacylglycerol phosphotidylhydrolase	COG2134	
648182058	Dda3937_02991	Endo-1,4-beta-xylanase	COG0657	
648182069	Dda3937_00367	malonate decarboxylase subunit beta	COG0777	
648182073	Dda3937_00371	malonyl CoA acyl carrier protein transacylase	COG0331	
648182082	Dda3937_00379	3-oxoacyl-[acyl-carrier protein] reductase	COG1028	
648182113	Dda3937_04709	Lipase	COG0657	
648182151	Dda3937_03738	cytosolic long-chain acyl-CoA thioester hydrolase family protein	COG1607	
648182185	Dda3937_04007	cardiolipin synthetase	COG1502	
648182200	Dda3937_02910	glycerophosphoryl diester phosphodiesterase	COG0584	
648182249	Dda3937_03435	putative pectinesterase	COG4677	
648182266	Dda3937_01236	oxidoreductase	COG1028	
648182330	Dda3937_03616	3-oxoacyl-[acyl-carrier-protein] synthase KASIII	COG0332	
648182332	Dda3937_03615	hypothetical protein	COG3882	
648182443	Dda3937_04564	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	COG3697	
648182511	Dda3937_04573	acyl (myristate) transferase	COG1560	
648182578	Dda3937_00561	cardiolipin synthase 1	COG1502	
648182584	Dda3937_00566	esterase	COG1607	
648182600	Dda3937_00582	putative oxoacyl-(acyl carrier protein) reductase	COG1028	
648182670	Dda3937_01643	glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	COG2303	
648182673	Dda3937_01641	glycerophosphoryl diester phosphodiesterase	COG0584	
648182701	Dda3937_00035	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	COG1947	
648182727	Dda3937_02941	putative short-chain dehydrogenase	COG1028	
648182777	Dda3937_04595	2-deoxy-D-gluconate 3-dehydrogenase	COG1028	
648182784	Dda3937_03363	pectin acetylesterase	COG0657	
648182858	Dda3937_00623	SbmA protein	COG1133	
648183016	Dda3937_03108	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	COG0623	
648183030	Dda3937_04035	phosphatidylglycerophosphatase B	COG0671	
648183050	Dda3937_04104	Cyclopropane-fatty-acyl-phospholipid synthase	COG2230	
648183125	Dda3937_03647	putative glutathione peroxidase	COG0386	
648183155	Dda3937_02246	3-oxoacyl-[acyl-carrier-protein] synthase KASII	COG0304	
648183156	Dda3937_04625	acyl carrier protein (ACP)	COG0236	
