"X","Dickeya_dadantii_3937","Dickeya_dianthicola_67_19","Dickeya_dianthicola_ME23","Dda3937_locus","DdiaME23_locus","Ddia6719_locus"
"group_00001","WP_033112115.1","WP_192989607.1","WP_103468983.1","DDA3937_RS19515","DZA65_RS20730","HGI48_RS19645"
"group_00001","WP_033112115.1","WP_192990329.1","WP_103468983.1","DDA3937_RS19515","DZA65_RS20730","HGI48_RS03595"
"group_00001","WP_033112115.1","WP_192989607.1","WP_024108247.1","DDA3937_RS19515","DZA65_RS03715","HGI48_RS19645"
"group_00001","WP_033112115.1","WP_192990329.1","WP_024108247.1","DDA3937_RS19515","DZA65_RS03715","HGI48_RS03595"
"group_00001","WP_013316408.1","WP_192989607.1","WP_103468983.1","DDA3937_RS03495","DZA65_RS20730","HGI48_RS19645"
"group_00001","WP_013316408.1","WP_192990329.1","WP_103468983.1","DDA3937_RS03495","DZA65_RS20730","HGI48_RS03595"
"group_00001","WP_013316408.1","WP_192989607.1","WP_024108247.1","DDA3937_RS03495","DZA65_RS03715","HGI48_RS19645"
"group_00001","WP_013316408.1","WP_192990329.1","WP_024108247.1","DDA3937_RS03495","DZA65_RS03715","HGI48_RS03595"
"group_00002","WP_013316544.1","WP_192990804.1","WP_103415734.1","DDA3937_RS04105","DZA65_RS07695","HGI48_RS07190"
"group_00002","WP_013316544.1","WP_192991001.1","WP_103415734.1","DDA3937_RS04105","DZA65_RS07695","HGI48_RS08580"
"group_00002","WP_013318571.1","WP_192990804.1","WP_103415734.1","DDA3937_RS13765","DZA65_RS07695","HGI48_RS07190"
"group_00002","WP_013318571.1","WP_192991001.1","WP_103415734.1","DDA3937_RS13765","DZA65_RS07695","HGI48_RS08580"
"group_00003","WP_013316545.1","WP_013316545.1","WP_024108343.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS13860"
"group_00003","WP_013316545.1","WP_192991002.1","WP_024108343.1","DDA3937_RS04110","DZA65_RS08825","HGI48_RS08585"
"group_00003","WP_013318572.1","WP_013316545.1","WP_024108343.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS13860"
"group_00003","WP_013318572.1","WP_192991002.1","WP_024108343.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS08585"
"group_00004","WP_013316608.1","WP_161132278.1","WP_024107309.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS02300"
