Gene ID	Locus Tag	Name	Function	
648180369	Dda3937_01131	putative metal dependent hydrolase	COG2194	
648180412	Dda3937_02529	dihydrodipicolinate synthase	COG0329	
648180413	Dda3937_02530	putative cytoplasmic protein	COG4692	
648180536	Dda3937_03898	glutamate racemase (EC 5.1.1.3)	COG0796	
648180541	Dda3937_04216	UDP-N-acetylmuramate dehydrogenase (EC 1.1.1.158)	COG0812	
648180628	Dda3937_00664	rod shape-determining protein MreD	COG2891	
648180647	Dda3937_00683	LPS ABC transporter ATP-binding protein	COG1137	
648180648	Dda3937_00684	periplasmic component of an ABC-type LPS transporter complex	COG1934	
648180649	Dda3937_00685	lipopolysaccharide export system protein LptC	COG3117	
648180650	Dda3937_00686	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	COG1778	
648180651	Dda3937_00687	D-Arabinose 5-phosphate isomerase	COG0794	
648180653	Dda3937_00689	putative toluene transporter subunit: ATP-binding protein	COG1127	
648180654	Dda3937_00690	putative toluene transporter subunit: membrane protein	COG0767	
648180657	Dda3937_00693	phospholipid transport system transporter-binding protein	COG3113	
648180659	Dda3937_00695	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG0766	
648180683	Dda3937_00720	putative lipoprotein	COG3107	
648180690	Dda3937_00726	transport channel	COG1538	
648180700	Dda3937_01256	divisomal assembly stabilization protein	COG2132	
648180748	Dda3937_01299	lipopolysaccharide export system permease protein	COG0795	
648180749	Dda3937_01300	lipopolysaccharide export system permease protein	COG0795	
648180814	Dda3937_02873	L-rhamnose mutarotase	COG3254	
648180849	Dda3937_02666	oxidoreductase, short-chain dehydrogenase/reductase family protein	COG3967	
648180871	Dda3937_02647	galactarate dehydratase (EC 4.2.1.42)/L-talarate dehydratase (EC 4.2.1.-)	COG4948	
648180872	Dda3937_02646	putative UDP-glucose lipid carrier transferase	COG2148	
648180875	Dda3937_02643	capsular polysaccharide synthesis protein CpsD	COG3206	
648180879	Dda3937_02694	putative glycosyltransferase protein	COG0438	
648180880	Dda3937_02695	alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase	COG0438	
648180964	Dda3937_02351	D-alanyl-D-alanine carboxypeptidase	COG2027	
648180983	Dda3937_02336	lipoprotein	COG4785	
648181034	Dda3937_02289	phospholipase C 4	COG3511	
648181042	Dda3937_02282	putative Co/Zn/Cd efflux system membrane fusion protein	COG0845	
648181050	Dda3937_02274	Nucleoside-diphosphate sugar epimerase/dehydratase	COG1086	
648181051	Dda3937_02273	UDP-glucose 4-epimerase	COG0451	
648181052	Dda3937_02272	Lipid carrier : UDP-N-acetylgalactosaminyltransferase	COG2148	
648181070	Dda3937_03606	mandelate racemase/muconate lactonizing enzyme family protein	COG4948	
648181086	Dda3937_01175	Protein ybiS	COG1376	
648181098	Dda3937_01186	D-alanine--D-alanine ligase	COG1181	
648181125	Dda3937_01212	membrane-bound lytic murein transglycosylase B	COG2951	
648181128	Dda3937_01215	O-succinylbenzoate-CoA synthase	COG4948	
648181139	Dda3937_01224	RND efflux membrane fusion protein	COG0845	
648181141	Dda3937_01226	outer membrane protein	COG1538	
648181248	Dda3937_02548	Beta-barrel assembly machine subunit BamE	COG2913	
648181260	Dda3937_01403	outer membrane transport energization protein TonB (TC 2.C.1.1.1)	COG0810	
648181276	Dda3937_01419	putative ABC transporter ATP-binding protein	COG1136	
648181277	Dda3937_01420	macrolide-specific efflux protein	COG0845	
648181330	Dda3937_01470	putative cog3713, mipa like outer membrane v transmembrane protein	COG3713	
648181333	Dda3937_01473	putative RND efflux membrane fusion protein	COG0845	
648181338	Dda3937_01478	outer membrane protein	COG1538	
648181339	Dda3937_01479	membrane-fusion protein	COG0845	
648181345	Dda3937_01485	ABC transporter ATP-binding protein	COG1136	
648181348	Dda3937_01488	outer membrane efflux family protein	COG1538	
648181371	Dda3937_03401	membrane-bound lytic murein transglycosylase C	COG0741	
648181388	Dda3937_00850	Prolipoprotein diacylglyceryl transferase	COG0682	
648181396	Dda3937_00858	N-acetylmuramoyl-L-alanine amidase AmiC	COG0860	
648181399	Dda3937_00859	membrane-bound lytic murein transglycosylase A	COG2821	
648181431	Dda3937_01884	Beta-barrel assembly machine subunit BamA	COG4775	
648181432	Dda3937_01885	periplasmic chaperone for outer membrane proteins Skp	COG2825	
648181433	Dda3937_01886	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	COG1044	
648181435	Dda3937_01888	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	COG1043	
648181436	Dda3937_01889	lipid-A-disaccharide synthase (EC 2.4.1.182)	COG0763	
648181519	Dda3937_01970	hypothetical protein	COG0451	
648181554	Dda3937_03299	acriflavin resistance protein a; putative RND efflux membrane fusion protein	COG0845	
648181556	Dda3937_03297	Potassium efflux system kefA/Small-conductance mechanosensitive channel	COG3264	
648181623	Dda3937_02507	dihydrodipicolinate synthase	COG0329	
648181630	Dda3937_02500	D,D-carboxypeptidase-related protein	COG1876	
648181645	Dda3937_02486	D-alanyl-D-alanine carboxypeptidase	COG1686	
648181646	Dda3937_02485	minor lipoprotein	COG0797	
648181648	Dda3937_02483	peptidoglycan synthetase, penicillin-binding protein 2	COG0768	
648181653	Dda3937_02478	minor lipoprotein	COG2980	
648181660	Dda3937_02471	Apolipoprotein N-acyltransferase	COG0815	
648181718	Dda3937_00556	membrane anchored protein in TolA-TolQ-TolR complex	COG3064	
648181720	Dda3937_00559	peptidoglycan-associated outer membrane lipoprotein	COG2885	
648181732	Dda3937_03991	putative Co/Zn/Cd efflux system membrane fusion protein	COG0845	
648181733	Dda3937_03992	heavy metal RND efflux outer membrane protein, CzcC family	COG1538	
648181739	Dda3937_03998	UDP-galactose 4-epimerase (EC 5.1.3.2)	COG1087	
648181756	Dda3937_03931	putative assembly protein	COG2982	
648181760	Dda3937_03929	capsule polysaccharide export protein	COG1596	
648181762	Dda3937_03927	Tyrosine-protein kinase wzc	COG3206	
648181764	Dda3937_03926	Undecaprenyl-phosphate galactose phosphotransferase	COG2148	
648181766	Dda3937_03924	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	COG1088	
648181767	Dda3937_03923	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	COG1209	
648181768	Dda3937_03922	dTDP-4-dehydrorhamnose 3,5-epimerase	COG1898	
648181769	Dda3937_03921	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	COG1091	
