locusId	sysName	desc	expName	expDesc	fit	absDiff	p
DZA65_RS06895	DZA65_RS06895	Tol-Pal system protein TolQ	setATCH131	M9	1.49023908869201	1.12826464235901	0.00114650258007782
DZA65_RS18650	DZA65_RS18650	alanine racemase	setATCH131	M9	1.47829385740927	1.99363616183071	0.00793787271475384
DZA65_RS15580	DZA65_RS15580	enterochelin esterase	setATCH133	M9	-1.25292697329865	1.11452512263758	0.0042820029449943
DZA65_RS19735	DZA65_RS19735	ABC transporter permease	setATCH133	M9	1.76027759338943	1.06559084439094	0.00575066425660744
DZA65_RS19740	DZA65_RS19740	ABC transporter ATP-binding protein	setATCH168	PDB	1.18908430499404	2.82780316176627	7.44728689958078e-11
DZA65_RS10920	DZA65_RS10920	UPF0259 family protein	setATCH169	PDB	-1.23085896341253	1.27420599457599	0.00433685494682564
DZA65_RS17880	DZA65_RS17880	glycine betaine/L-proline ABC transporter permease ProW	setATCH169	PDB	-1.11250095222091	2.097415759964	0.00145802019231672
DZA65_RS19740	DZA65_RS19740	ABC transporter ATP-binding protein	setATCH169	PDB	1.11016180249901	2.68966235555092	4.34127382962683e-06
DZA65_RS18270	DZA65_RS18270	glycerol-3-phosphate 1-O-acyltransferase PlsY	setATCH170	PDB	-1.36471893197308	1.59666275480343	0.00699143234647505
DZA65_RS06895	DZA65_RS06895	Tol-Pal system protein TolQ	setATCH171	Atlantic	-2.87043171215934	2.45721838156171	2.67164793471122e-05
DZA65_RS06990	DZA65_RS06990	UDP-glucose 4-epimerase GalE	setATCH171	Atlantic	-1.16588959864728	1.59020409729545	1.25186080256405e-14
DZA65_RS04780	DZA65_RS04780	hypothetical protein	setATCH172	Atlantic	1.12754717051971	1.74645469610519	0.0058810813884154
DZA65_RS06895	DZA65_RS06895	Tol-Pal system protein TolQ	setATCH172	Atlantic	-3.06794340769654	1.39892082892664	2.2252638973878e-06
DZA65_RS06990	DZA65_RS06990	UDP-glucose 4-epimerase GalE	setATCH172	Atlantic	-1.26866578975477	1.3741414659952	9.13348009821098e-11
DZA65_RS15995	DZA65_RS15995	5-(carboxyamino)imidazole ribonucleotide synthase	setATCH172	Atlantic	-1.3015624705654	1.01860032625684	0.00472833914148011
DZA65_RS13085	DZA65_RS13085	pyridoxamine 5'-phosphate oxidase	setATCH173	Atlantic	-1.19715954363628	1.57512189988928	0.00679599437250273
DZA65_RS03145	DZA65_RS03145	putative DNA-binding transcriptional regulator	setATCH174	Atlantic	1.82052141835653	1.86562846353914	0.0028641159449504
DZA65_RS06895	DZA65_RS06895	Tol-Pal system protein TolQ	setATCH174	Atlantic	-3.11713589061348	1.50485919534934	7.91315471670884e-07
DZA65_RS06990	DZA65_RS06990	UDP-glucose 4-epimerase GalE	setATCH174	Atlantic	-1.62088321398045	1.24250662563033	2.64899554511499e-08
DZA65_RS06895	DZA65_RS06895	Tol-Pal system protein TolQ	setATCH175	Atlantic	-3.14663924871441	2.26484252900318	0.000901117084389067
