"Var1","Freq","desc","COG"
"HGI48_RS00740",3,"glycosyltransferase family 9 protein","cell wall/membrane/envelope biogenesis"
"HGI48_RS01100",2,"DUF1176 domain-containing protein","none"
"HGI48_RS01210",17,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism"
"HGI48_RS01215",15,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism"
"HGI48_RS01480",2,"phospholipid ABC transporter ATP-binding protein MlaF","cell wall/membrane/envelope biogenesis"
"HGI48_RS01635",1,"outer membrane channel protein TolC","cell wall/membrane/envelope biogenesis"
"HGI48_RS01715",2,"tol-pal system-associated acyl-CoA thioesterase","intracellular trafficking, secretion, and vesicular transport"
"HGI48_RS01900",15,"aspartate carbamoyltransferase","nucleotide transport and metabolism"
"HGI48_RS01985",17,"helix-turn-helix transcriptional regulator",NA
"HGI48_RS02145",1,"ABC transporter permease","carbohydrate transport and metabolism"
"HGI48_RS02290",5,"hypothetical protein","none"
"HGI48_RS02385",15,"phosphoserine phosphatase","amino acid transport and metabolism"
"HGI48_RS03150",8,"putative DNA-binding transcriptional regulator","none"
"HGI48_RS03265",8,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis"
"HGI48_RS03300",1,"N-acetyltransferase","general function prediction only"
"HGI48_RS03510",6,"polysaccharide biosynthesis protein","postranslational modification, protein turnover, chaperones"
"HGI48_RS03520",10,"sugar transferase","cell wall/membrane/envelope biogenesis"
"HGI48_RS03725",1,"SIS domain-containing protein","transcription"
"HGI48_RS04315",7,"outer membrane protein assembly factor BamE","cell wall/membrane/envelope biogenesis"
"HGI48_RS04440",1,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism"
"HGI48_RS04450",1,"cysteine synthase A","amino acid transport and metabolism"
"HGI48_RS04970",4,"thymidylate synthase","nucleotide transport and metabolism"
"HGI48_RS05325",1,"GNAT family N-acetyltransferase",NA
"HGI48_RS05525",1,"tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA","translation, ribosomal structure, and biogenesis"
"HGI48_RS05695",2,"endopeptidase La","postranslational modification, protein turnover, chaperones"
"HGI48_RS05790",15,"multidrug efflux RND transporter permease subunit","defense mechanisms"
"HGI48_RS05795",11,"efflux RND transporter periplasmic adaptor subunit","defense mechanisms"
"HGI48_RS05860",1,"Kef family K(+) transporter","inorganic ion transport and metabolism"
"HGI48_RS06070",12,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism"
"HGI48_RS06120",11,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism"
"HGI48_RS06340",7,"asparagine synthase B",NA
"HGI48_RS06495",1,"succinate dehydrogenase iron-sulfur subunit","energy production and conversions"
"HGI48_RS06635",8,"UDP-glucose 4-epimerase GalE","cell wall/membrane/envelope biogenesis"
"HGI48_RS06675",2,"6-phosphogluconolactonase","carbohydrate transport and metabolism"
"HGI48_RS06700",1,"iron-sulfur cluster carrier protein ApbC","cell cycle control, cell division, chromosome partitioning"
"HGI48_RS07295",1,"addiction module antitoxin","none"
"HGI48_RS07580",1,"ABC transporter ATP-binding protein","inorganic ion transport and metabolism"
"HGI48_RS07780",1,"ABC transporter substrate-binding protein","amino acid transport and metabolism"
"HGI48_RS07925",6,"TetR/AcrR family transcriptional regulator","transcription"
"HGI48_RS08250",1,"FadR family transcriptional regulator",NA
"HGI48_RS08300",1,"CcdB family protein","none"
"HGI48_RS08365",1,"DNA sulfur modification protein DndE","none"
"HGI48_RS09215",2,"microcin C ABC transporter ATP-binding protein YejF","secondary metabolites biosynthesis, transport, and catabolism"
"HGI48_RS09225",2,"microcin C ABC transporter permease YejB","secondary metabolites biosynthesis, transport, and catabolism"
"HGI48_RS09230",1,"ABC transporter substrate-binding protein","amino acid transport and metabolism"
"HGI48_RS09600",3,"thioredoxin-disulfide reductase","postranslational modification, protein turnover, chaperones"
"HGI48_RS09730",2,"imidazole glycerol phosphate synthase subunit HisH","amino acid transport and metabolism"
"HGI48_RS09745",2,"histidinol dehydrogenase","amino acid transport and metabolism"
"HGI48_RS10075",13,"MAPEG family protein","function unknown"
"HGI48_RS10140",4,"lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase","lipid transport and metabolism"
"HGI48_RS10165",1,"glucose-6-phosphate dehydrogenase","carbohydrate transport and metabolism"
"HGI48_RS10170",14,"bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase","carbohydrate transport and metabolism"
"HGI48_RS10335",12,"formyltetrahydrofolate deformylase","nucleotide transport and metabolism"
"HGI48_RS10430",5,"TonB system transport protein TonB","cell wall/membrane/envelope biogenesis"
"HGI48_RS10460",6,"tryptophan synthase subunit alpha","amino acid transport and metabolism"
"HGI48_RS10465",12,"tryptophan synthase subunit beta","amino acid transport and metabolism"
"HGI48_RS10470",5,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism"
"HGI48_RS10475",2,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism"
"HGI48_RS10480",7,"gamma-glutamyl-gamma-aminobutyrate hydrolase family protein","coenzyme transport and metabolism"
"HGI48_RS10485",9,"anthranilate synthase component 1","coenzyme transport and metabolism"
"HGI48_RS10500",3,"23S rRNA pseudouridine(2605) synthase RluB","translation, ribosomal structure, and biogenesis"
"HGI48_RS10540",4,"HTH-type transcriptional regulator CysB","transcription"
"HGI48_RS10650",1,"mannose-6-phosphate isomerase","none"
"HGI48_RS10900",4,"fumarate/nitrate reduction transcriptional regulator Fnr","signal transduction mechanisms"
"HGI48_RS10975",5,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis"
"HGI48_RS11220",4,"disulfide bond formation protein DsbB","postranslational modification, protein turnover, chaperones"
"HGI48_RS11310",10,"TerC family protein","inorganic ion transport and metabolism"
"HGI48_RS11375",3,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD","secondary metabolites biosynthesis, transport, and catabolism"
"HGI48_RS12055",2,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones"
"HGI48_RS12190",1,"tail fiber protein","none"
"HGI48_RS12580",13,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism"
"HGI48_RS12650",8,"transcriptional regulator SlyA","transcription"
