"Var1","Freq","desc","COG","group"
"DZA65_RS00360",2,"MarR family transcriptional regulator","transcription","group_02627"
"DZA65_RS00800",4,"O-antigen ligase family protein","none","group_01114"
"DZA65_RS01005",3,"NAD(P)H-flavin reductase","energy production and conversions","group_02117"
"DZA65_RS02060",2,"leucyl aminopeptidase","amino acid transport and metabolism","group_00417"
"DZA65_RS02505",1,"peptide chain release factor 3","translation, ribosomal structure, and biogenesis","group_00361"
"DZA65_RS03130",2,"malate dehydrogenase","energy production and conversions","group_01520"
"DZA65_RS03260",1,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis","group_01514"
"DZA65_RS03670",2,"kdo(2)-lipid IV(A) palmitoleoyltransferase","lipid transport and metabolism","group_01482"
"DZA65_RS04310",3,"Dyp-type peroxidase","inorganic ion transport and metabolism","group_01500"
"DZA65_RS05310",1,"thymidylate synthase","nucleotide transport and metabolism","group_01653"
"DZA65_RS05965",1,"protoheme IX farnesyltransferase","lipid transport and metabolism","group_01685"
"DZA65_RS05980",1,"cytochrome o ubiquinol oxidase subunit I","energy production and conversions","group_00178"
"DZA65_RS05985",1,"cytochrome o ubiquinol oxidase subunit II","energy production and conversions","group_01380"
"DZA65_RS06020",1,"endopeptidase La","postranslational modification, protein turnover, chaperones","group_00126"
"DZA65_RS06835",2,"succinate dehydrogenase flavoprotein subunit","energy production and conversions","group_00243"
"DZA65_RS06840",1,"succinate dehydrogenase iron-sulfur subunit","energy production and conversions","group_01975"
"DZA65_RS10050",1,"histidinol-phosphate transaminase","amino acid transport and metabolism","group_01174"
"DZA65_RS10060",1,"ATP phosphoribosyltransferase","amino acid transport and metabolism","group_01607"
"DZA65_RS10915",2,"septation protein A","cell cycle control, cell division, chromosome partitioning","group_02534"
"DZA65_RS10940",2,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"DZA65_RS10945",2,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"DZA65_RS10950",2,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism","group_00740"
"DZA65_RS10965",3,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"DZA65_RS10980",1,"23S rRNA pseudouridine(2605) synthase RluB","translation, ribosomal structure, and biogenesis","group_01568"
"DZA65_RS11435",1,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis","group_01051"
"DZA65_RS11550",1,"fatty acid metabolism transcriptional regulator FadR","transcription","group_02091"
"DZA65_RS11830",1,"DNA-binding transcriptional regulator KdgR","transcription","group_01912"
"DZA65_RS11865",3,"tRNA 2-thiouridine(34) synthase MnmA","translation, ribosomal structure, and biogenesis","group_00956"
"DZA65_RS12975",1,"peptide ABC transporter ATP-binding protein SapF","defense mechanisms","group_01843"
"DZA65_RS13085",2,"pyridoxamine 5'-phosphate oxidase","none","group_02149"
"DZA65_RS13125",1,"Grx4 family monothiol glutaredoxin","postranslational modification, protein turnover, chaperones","group_02965"
"DZA65_RS13750",6,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis","group_00097"
"DZA65_RS13755",6,"glucan biosynthesis protein G","cell wall/membrane/envelope biogenesis","group_00352"
"DZA65_RS15370",4,"tRNA pseudouridine(38-40) synthase TruA","translation, ribosomal structure, and biogenesis","group_01689"
"DZA65_RS15380",3,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"DZA65_RS16045",1,"polyphosphate kinase 1","inorganic ion transport and metabolism","group_00176"
"DZA65_RS16885",1,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism","group_02113"
"DZA65_RS18920",1,"D-threonate 4-phosphate dehydrogenase","coenzyme transport and metabolism","group_01377"
"DZA65_RS19350",1,"bis(5'-nucleosyl)-tetraphosphatase (symmetrical)","signal transduction mechanisms","group_01648"
"DZA65_RS20355",2,"Trk system potassium transporter TrkA","inorganic ion transport and metabolism","group_00637"
"DZA65_RS20550",2,"sulfurtransferase complex subunit TusC","inorganic ion transport and metabolism","group_02961"
"DZA65_RS21080",2,"DNA helicase II","replication, recombination, and repair","group_00146"
"DZA65_RS21115",3,"class I adenylate cyclase","nucleotide transport and metabolism","group_00081"
"DZA65_RS21755",2,"cell division protein FtsX","cell cycle control, cell division, chromosome partitioning","group_01645"
"DZA65_RS22005",2,"inorganic phosphate transporter PitA","none","group_00546"
"DZA65_RS22195",3,"ribosome-dependent GTPase TypA","signal transduction mechanisms","group_00244"
"DZA65_RS22210",1,"nitrogen regulation protein NR(I)","signal transduction mechanisms","group_00527"
"DZA65_RS22360",1,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG","translation, ribosomal structure, and biogenesis","group_00225"
"DZA65_RS22640",1,"4-amino-4-deoxy-L-arabinose-phospho-UDP flippase","none","group_02926"
