"Var1","Freq","desc","COG","group"
"HGI48_RS00045",6,"oligopeptidase A","amino acid transport and metabolism","group_00188"
"HGI48_RS00395",2,"VfmB protein","none","group_02402"
"HGI48_RS00410",6,"AraC family transcriptional regulator VfmE","transcription","group_02401"
"HGI48_RS00415",6,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis","group_02161"
"HGI48_RS00420",1,"ABC transporter permease","none","group_00116"
"HGI48_RS00425",6,"two-component system response regulator VfmH","signal transduction mechanisms","group_00614"
"HGI48_RS00430",6,"two-component system sensor histidine kinase VfmI","none","group_00679"
"HGI48_RS00470",5,"acyl-CoA dehydrogenase","lipid transport and metabolism","group_01015"
"HGI48_RS00475",3,"VOC family protein","none","group_02771"
"HGI48_RS00515",1,"LuxR family transcriptional regulator","transcription","group_02004"
"HGI48_RS00740",1,"glycosyltransferase family 9 protein","cell wall/membrane/envelope biogenesis","group_01004"
"HGI48_RS00755",1,"putative lipopolysaccharide heptosyltransferase III","cell wall/membrane/envelope biogenesis","group_01099"
"HGI48_RS00935",5,"transcription/translation regulatory transformer protein RfaH","transcription","group_02628"
"HGI48_RS01100",6,"DUF1176 domain-containing protein","none","group_01014"
"HGI48_RS01210",1,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"HGI48_RS01465",1,"3-deoxy-manno-octulosonate-8-phosphatase KdsC","general function prediction only","group_02426"
"HGI48_RS01500",1,"lipid asymmetry maintenance protein MlaB","cell wall/membrane/envelope biogenesis","group_03073"
"HGI48_RS01515",1,"outer membrane-stress sensor serine endopeptidase DegS","postranslational modification, protein turnover, chaperones","group_01222"
"HGI48_RS01545",6,"stringent starvation protein A","postranslational modification, protein turnover, chaperones","group_02225"
"HGI48_RS01595",4,"DnaA initiator-associating protein DiaA","carbohydrate transport and metabolism","group_02398"
"HGI48_RS01785",6,"MFS transporter",NA,NA
"HGI48_RS01985",6,"helix-turn-helix transcriptional regulator",NA,"group_03332"
"HGI48_RS03265",3,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis","group_01514"
"HGI48_RS03520",1,"sugar transferase","cell wall/membrane/envelope biogenesis","group_02550"
