locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
DDA3937_RS00005	DDA3937_RS00005	1	NC_014500	32	475	-	NA	FMN-binding protein MioC	0.5698	11	TRUE
DDA3937_RS00010	DDA3937_RS00010	1	NC_014500	567	1031	-	NA	transcriptional regulator AsnC	0.5269	14	TRUE
DDA3937_RS00015	DDA3937_RS00015	1	NC_014500	1178	2653	-	NA	ATPase RavA stimulator ViaA	0.5664	28	TRUE
DDA3937_RS00020	DDA3937_RS00020	1	NC_014500	2659	4155	-	NA	ATPase RavA	0.5605	42	TRUE
DDA3937_RS00025	DDA3937_RS00025	1	NC_014500	4431	6299	+	NA	low affinity potassium transporter Kup	0.5661	52	TRUE
DDA3937_RS00030	DDA3937_RS00030	1	NC_014500	6696	7115	+	NA	D-ribose pyranase	0.4905	13	TRUE
DDA3937_RS00035	DDA3937_RS00035	1	NC_014500	7123	8628	+	NA	ribose ABC transporter ATP-binding protein RbsA	0.5531	42	TRUE
DDA3937_RS00040	DDA3937_RS00040	1	NC_014500	8636	9604	+	NA	ribose ABC transporter permease	0.5666	33	TRUE
DDA3937_RS00045	DDA3937_RS00045	1	NC_014500	9631	10518	+	NA	ribose ABC transporter substrate-binding protein RbsB	0.5664	20	TRUE
DDA3937_RS00050	DDA3937_RS00050	1	NC_014500	10604	11530	+	NA	ribokinase	0.5717	27	TRUE
DDA3937_RS00055	DDA3937_RS00055	1	NC_014500	11534	12538	+	NA	ribose operon transcriptional repressor RbsR	0.5393	44	TRUE
DDA3937_RS00060	DDA3937_RS00060	2	NC_014500	12976	14517	+	NA	16S ribosomal RNA	0.5545	71	FALSE
DDA3937_RS00065	DDA3937_RS00065	5	NC_014500	14604	14679	+	NA	tRNA-Glu	0.6447	3	FALSE
DDA3937_RS00070	DDA3937_RS00070	2	NC_014500	14874	17781	+	NA	23S ribosomal RNA	0.5382	145	FALSE
DDA3937_RS00075	DDA3937_RS00075	2	NC_014500	17890	18005	+	NA	5S ribosomal RNA	0.6552	3	FALSE
DDA3937_RS00080	DDA3937_RS00080	1	NC_014500	18263	18790	-	NA	molybdopterin-guanine dinucleotide biosynthesis protein B	0.5398	21	TRUE
DDA3937_RS00085	DDA3937_RS00085	1	NC_014500	18783	19358	-	NA	molybdenum cofactor guanylyltransferase MobA	0.5174	27	TRUE
DDA3937_RS00090	DDA3937_RS00090	1	NC_014500	19469	19738	+	NA	YihD family protein	0.4333	13	TRUE
DDA3937_RS00095	DDA3937_RS00095	1	NC_014500	19780	20766	+	NA	serine/threonine protein kinase	0.5167	41	TRUE
DDA3937_RS00100	DDA3937_RS00100	1	NC_014500	20789	21412	+	NA	thiol:disulfide interchange protein DsbA	0.5	22	TRUE
DDA3937_RS00105	DDA3937_RS00105	1	NC_014500	21791	24625	+	NA	DNA polymerase I	0.5527	91	FALSE
DDA3937_RS00110	DDA3937_RS00110	1	NC_014500	25090	25734	-	NA	YihA family ribosome biogenesis GTP-binding protein	0.538	20	FALSE
DDA3937_RS00115	DDA3937_RS00115	1	NC_014500	25958	26491	+	NA	Der GTPase-activating protein YihI	0.5599	9	TRUE
DDA3937_RS00120	DDA3937_RS00120	1	NC_014500	26673	28046	+	NA	oxygen-independent coproporphyrinogen III oxidase	0.5546	44	TRUE
DDA3937_RS22930	DDA3937_RS22930	1	NC_014500	28121	28243	-	NA	YshB family small membrane protein	0.5203	1	FALSE
DDA3937_RS00125	DDA3937_RS00125	1	NC_014500	28390	29802	-	NA	nitrogen regulation protein NR(I)	0.6023	37	TRUE
