"","X..feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","locus_tag","feature_interval_length","product_length","attributes","COG"
"1","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",32,475,"-","","",NA,"","mioC",9735696,"DDA3937_RS00005",444,NA,"Dda3937_00155","energy production and conversions"
"2","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",32,475,"-","WP_013315713.1","WP_013315713.1",NA,"FMN-binding protein MioC","mioC",9735696,"DDA3937_RS00005",444,147,"","none"
"3","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",567,1031,"-","","",NA,"","asnC",9731388,"DDA3937_RS00010",465,NA,"Dda3937_00156","transcription"
"4","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",567,1031,"-","WP_013315714.1","WP_013315714.1",NA,"transcriptional regulator AsnC","asnC",9731388,"DDA3937_RS00010",465,154,"","none"
"5","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",1178,2653,"-","","",NA,"","viaA",9731389,"DDA3937_RS00015",1476,NA,"Dda3937_00157","function unknown"
"6","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",1178,2653,"-","WP_013315715.1","WP_013315715.1",NA,"ATPase RavA stimulator ViaA","viaA",9731389,"DDA3937_RS00015",1476,491,"","none"
"7","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",2659,4155,"-","","",NA,"","ravA",9731390,"DDA3937_RS00020",1497,NA,"Dda3937_00158","general function prediction only"
"8","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",2659,4155,"-","WP_013315716.1","WP_013315716.1",NA,"ATPase RavA","ravA",9731390,"DDA3937_RS00020",1497,498,"","none"
"9","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",4431,6299,"+","","",NA,"","kup",9731391,"DDA3937_RS00025",1869,NA,"Dda3937_00159","inorganic ion transport and metabolism"
"10","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",4431,6299,"+","WP_013315717.1","WP_013315717.1",NA,"low affinity potassium transporter Kup","kup",9731391,"DDA3937_RS00025",1869,622,"","none"
"11","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",6696,7115,"+","","",NA,"","rbsD",9731392,"DDA3937_RS00030",420,NA,"Dda3937_02355","carbohydrate transport and metabolism"
"12","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",6696,7115,"+","WP_013315718.1","WP_013315718.1",NA,"D-ribose pyranase","rbsD",9731392,"DDA3937_RS00030",420,139,"","none"
"13","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",7123,8628,"+","","",NA,"","rbsA",9731393,"DDA3937_RS00035",1506,NA,"Dda3937_02356","carbohydrate transport and metabolism"
"14","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",7123,8628,"+","WP_013315719.1","WP_013315719.1",NA,"ribose ABC transporter ATP-binding protein RbsA","rbsA",9731393,"DDA3937_RS00035",1506,501,"","none"
"15","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",8636,9604,"+","","",NA,"","rbsC",9731394,"DDA3937_RS00040",969,NA,"Dda3937_02357","carbohydrate transport and metabolism"
"16","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",8636,9604,"+","WP_013315720.1","WP_013315720.1",NA,"ribose ABC transporter permease","rbsC",9731394,"DDA3937_RS00040",969,322,"","none"
"17","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",9631,10518,"+","","",NA,"","rbsB",9731395,"DDA3937_RS00045",888,NA,"Dda3937_02358","carbohydrate transport and metabolism"
"18","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",9631,10518,"+","WP_013315721.1","WP_013315721.1",NA,"ribose ABC transporter substrate-binding protein RbsB","rbsB",9731395,"DDA3937_RS00045",888,295,"","none"
"19","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",10604,11530,"+","","",NA,"","rbsK",9731396,"DDA3937_RS00050",927,NA,"Dda3937_02359","carbohydrate transport and metabolism"
"20","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",10604,11530,"+","WP_013315722.1","WP_013315722.1",NA,"ribokinase","rbsK",9731396,"DDA3937_RS00050",927,308,"","none"
"21","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",11534,12538,"+","","",NA,"","rbsR",9731397,"DDA3937_RS00055",1005,NA,"Dda3937_02360","transcription"
"22","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",11534,12538,"+","WP_013315723.1","WP_013315723.1",NA,"ribose operon transcriptional repressor RbsR","rbsR",9731397,"DDA3937_RS00055",1005,334,"","none"
"23","gene","rRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",12976,14517,"+","","",NA,"","",9731398,"DDA3937_RS00060",1542,NA,"Dda3937_04660","none"
"24","rRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",12976,14517,"+","","",NA,"16S ribosomal RNA","",9731398,"DDA3937_RS00060",1542,NA,"","none"
"25","gene","tRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",14604,14679,"+","","",NA,"","",9731399,"DDA3937_RS00065",76,NA,"Dda3937_04671","none"
"26","tRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",14604,14679,"+","","",NA,"tRNA-Glu","",9731399,"DDA3937_RS00065",76,NA,"TTC","none"
"27","gene","rRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",14874,17781,"+","","",NA,"","",9731400,"DDA3937_RS00070",2908,NA,"Dda3937_04661","none"
"28","rRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",14874,17781,"+","","",NA,"23S ribosomal RNA","",9731400,"DDA3937_RS00070",2908,NA,"","none"
"29","gene","rRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",17890,18005,"+","","",NA,"","rrf",9731401,"DDA3937_RS00075",116,NA,"Dda3937_04662","none"
"30","rRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",17890,18005,"+","","",NA,"5S ribosomal RNA","rrf",9731401,"DDA3937_RS00075",116,NA,"","none"
"31","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",18263,18790,"-","","",NA,"","mobB",9731402,"DDA3937_RS00080",528,NA,"Dda3937_01107","coenzyme transport and metabolism"
"32","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",18263,18790,"-","WP_013315724.1","WP_013315724.1",NA,"molybdopterin-guanine dinucleotide biosynthesis protein B","mobB",9731402,"DDA3937_RS00080",528,175,"","none"
"33","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",18783,19358,"-","","",NA,"","mobA",9731403,"DDA3937_RS00085",576,NA,"Dda3937_01108","coenzyme transport and metabolism"
"34","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",18783,19358,"-","WP_033112173.1","WP_033112173.1",NA,"molybdenum cofactor guanylyltransferase MobA","mobA",9731403,"DDA3937_RS00085",576,191,"","none"
"35","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",19469,19738,"+","","",NA,"","",9731404,"DDA3937_RS00090",270,NA,"Dda3937_01109","function unknown"
"36","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",19469,19738,"+","WP_013315726.1","WP_013315726.1",NA,"YihD family protein","",9731404,"DDA3937_RS00090",270,89,"","none"
"37","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",19780,20766,"+","","",NA,"","",9731405,"DDA3937_RS00095",987,NA,"Dda3937_01110","signal transduction mechanisms"
"38","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",19780,20766,"+","WP_013315727.1","WP_013315727.1",NA,"serine/threonine protein kinase","",9731405,"DDA3937_RS00095",987,328,"","none"
"39","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",20789,21412,"+","","",NA,"","dsbA",9731406,"DDA3937_RS00100",624,NA,"Dda3937_01111","none"
"40","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",20789,21412,"+","WP_013315728.1","WP_013315728.1",NA,"thiol:disulfide interchange protein DsbA","dsbA",9731406,"DDA3937_RS00100",624,207,"","none"
"41","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",21791,24625,"+","","",NA,"","polA",9731407,"DDA3937_RS00105",2835,NA,"Dda3937_01112","replication, recombination, and repair"
"42","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",21791,24625,"+","WP_013315729.1","WP_013315729.1",NA,"DNA polymerase I","polA",9731407,"DDA3937_RS00105",2835,944,"","none"
"43","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",25090,25734,"-","","",NA,"","",23677375,"DDA3937_RS00110",645,NA,"Dda3937_01113","cell cycle control, cell division, chromosome partitioning"
"44","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",25090,25734,"-","WP_033111484.1","WP_033111484.1",NA,"YihA family ribosome biogenesis GTP-binding protein","",23677375,"DDA3937_RS00110",645,214,"","none"
"45","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",25958,26491,"+","","",NA,"","yihI",9731410,"DDA3937_RS00115",534,NA,"Dda3937_01114","translation, ribosomal structure, and biogenesis"
"46","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",25958,26491,"+","WP_013315731.1","WP_013315731.1",NA,"Der GTPase-activating protein YihI","yihI",9731410,"DDA3937_RS00115",534,177,"","none"
"47","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",26673,28046,"+","","",NA,"","hemN",9731411,"DDA3937_RS00120",1374,NA,"Dda3937_01115","coenzyme transport and metabolism"
"48","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",26673,28046,"+","WP_013315732.1","WP_013315732.1",NA,"oxygen-independent coproporphyrinogen III oxidase","hemN",9731411,"DDA3937_RS00120",1374,457,"","none"
"49","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",28121,28243,"-","","",NA,"","",56705024,"DDA3937_RS22930",123,NA,"","none"
"50","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",28121,28243,"-","WP_022635449.1","WP_022635449.1",NA,"YshB family small membrane protein","",56705024,"DDA3937_RS22930",123,40,"","none"
"51","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",28390,29802,"-","","",NA,"","glnG",9731412,"DDA3937_RS00125",1413,NA,"Dda3937_01116","signal transduction mechanisms"
