locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
HGI48_RS00010	HGI48_RS00010	1	NZ_CP051429	1325	2425	+	NA	DNA polymerase III subunit beta	0.6022	24	FALSE
HGI48_RS00015	HGI48_RS00015	1	NZ_CP051429	2591	3676	+	NA	DNA replication/repair protein RecF	0.6133	25	TRUE
HGI48_RS00020	HGI48_RS00020	1	NZ_CP051429	3694	6105	+	NA	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.5825	74	FALSE
HGI48_RS00025	HGI48_RS00025	1	NZ_CP051429	6296	7525	+	NA	AAA family ATPase	0.5049	49	TRUE
HGI48_RS00030	HGI48_RS00030	1	NZ_CP051429	7522	10971	+	NA	tetratricopeptide repeat protein	0.5197	126	FALSE
HGI48_RS00035	HGI48_RS00035	1	NZ_CP051429	11041	12228	-	NA	MFS transporter	0.6094	37	TRUE
HGI48_RS00040	HGI48_RS00040	1	NZ_CP051429	12422	13174	-	NA	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	0.6667	17	TRUE
HGI48_RS00045	HGI48_RS00045	1	NZ_CP051429	13171	15213	-	NA	oligopeptidase A	0.6079	45	TRUE
HGI48_RS00050	HGI48_RS00050	1	NZ_CP051429	15345	15629	-	NA	DUF2623 domain-containing protein	0.5754	13	TRUE
HGI48_RS00055	HGI48_RS00055	1	NZ_CP051429	15832	16674	+	NA	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.6038	22	TRUE
HGI48_RS00060	HGI48_RS00060	1	NZ_CP051429	16688	17602	-	NA	ribonuclease Z	0.6317	21	TRUE
HGI48_RS00065	HGI48_RS00065	1	NZ_CP051429	17924	19276	+	NA	glutathione-disulfide reductase	0.5854	42	TRUE
HGI48_RS00070	HGI48_RS00070	1	NZ_CP051429	19819	21234	+	NA	MBOAT family protein	0.4032	105	TRUE
HGI48_RS00075	HGI48_RS00075	1	NZ_CP051429	21221	22288	+	NA	DUF459 domain-containing protein	0.4616	60	TRUE
HGI48_RS00080	HGI48_RS00080	1	NZ_CP051429	22311	23525	+	NA	hypothetical protein	0.5053	64	TRUE
HGI48_RS00085	HGI48_RS00085	7	NZ_CP051429	23629	23754	+	NA	IS3 family transposase	0.5556	5	FALSE
HGI48_RS00090	HGI48_RS00090	1	NZ_CP051429	24219	25466	-	NA	formyl-CoA transferase	0.5713	35	TRUE
HGI48_RS00095	HGI48_RS00095	1	NZ_CP051429	25560	25997	-	NA	PAS domain-containing protein	0.6119	9	TRUE
HGI48_RS00100	HGI48_RS00100	1	NZ_CP051429	26003	27280	-	NA	formyl-CoA transferase	0.5845	36	TRUE
HGI48_RS00105	HGI48_RS00105	1	NZ_CP051429	27319	29064	-	NA	oxalyl-CoA decarboxylase	0.5779	43	TRUE
HGI48_RS00110	HGI48_RS00110	1	NZ_CP051429	29118	30425	-	NA	OFA family MFS transporter	0.4534	78	TRUE
HGI48_RS00115	HGI48_RS00115	1	NZ_CP051429	31016	31912	+	NA	LysR family transcriptional regulator	0.5072	35	TRUE
HGI48_RS00120	HGI48_RS00120	1	NZ_CP051429	32365	32832	+	NA	GNAT family N-acetyltransferase	0.6004	14	TRUE
HGI48_RS00125	HGI48_RS00125	1	NZ_CP051429	33103	33393	+	NA	DUF3861 domain-containing protein	0.512	8	TRUE
HGI48_RS00130	HGI48_RS00130	1	NZ_CP051429	33534	34502	+	NA	glucokinase	0.6202	17	TRUE
HGI48_RS00135	HGI48_RS00135	1	NZ_CP051429	34595	35713	-	NA	alkylhydroperoxidase domain protein	0.6559	17	TRUE
HGI48_RS00140	HGI48_RS00140	1	NZ_CP051429	35710	36750	-	NA	putative FMN-dependent luciferase-like monooxygenase	0.6792	11	TRUE
HGI48_RS00145	HGI48_RS00145	1	NZ_CP051429	36780	38477	-	NA	ABC transporter ATP-binding protein	0.6443	30	TRUE
HGI48_RS00150	HGI48_RS00150	1	NZ_CP051429	38474	39349	-	NA	ABC transporter permease	0.6769	18	TRUE
HGI48_RS00155	HGI48_RS00155	1	NZ_CP051429	39351	40292	-	NA	ABC transporter permease	0.6592	14	TRUE
HGI48_RS00160	HGI48_RS00160	1	NZ_CP051429	40322	41965	-	NA	TIGR04028 family ABC transporter substrate-binding protein	0.6204	37	TRUE
HGI48_RS00165	HGI48_RS00165	1	NZ_CP051429	42289	43545	-	NA	valine--pyruvate transaminase	0.6078	19	TRUE
HGI48_RS00170	HGI48_RS00170	1	NZ_CP051429	43899	45107	+	NA	aldose 1-epimerase family protein	0.5682	34	TRUE
