	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23
group_00001	2	2	2
group_00002	2	2	1
group_00003	2	2	1
group_00004	2	2	1
group_00005	2	2	1
group_00006	1	1	3
group_00007	1	2	1
group_00008	1	1	2
group_00009	2	1	1
group_00010	1	1	2
group_00011	2	1	1
group_00012	2	1	1
group_00013	2	1	1
group_00014	1	1	2
group_00015	1	2	1
group_00016	1	2	1
group_00017	2	1	1
group_00018	1	3	0
group_00019	1	1	2
group_00020	1	1	1
group_00021	1	1	1
group_00022	1	1	1
group_00023	1	1	1
group_00024	1	1	1
group_00025	1	1	1
group_00026	1	1	1
group_00027	1	1	1
group_00028	1	1	1
group_00029	1	1	1
group_00030	1	1	1
group_00031	1	1	1
group_00032	1	1	1
group_00033	1	1	1
group_00034	1	1	1
group_00035	1	1	1
group_00036	1	1	1
group_00037	1	1	1
group_00038	1	1	1
group_00039	1	1	1
group_00040	1	1	1
group_00041	1	1	1
group_00042	1	1	1
group_00043	1	1	1
group_00044	1	1	1
group_00045	1	1	1
group_00046	1	1	1
group_00047	1	1	1
group_00048	1	1	1
group_00049	1	1	1
group_00050	1	1	1
group_00051	1	1	1
group_00052	1	1	1
group_00053	1	1	1
group_00054	1	1	1
group_00055	1	1	1
group_00056	1	1	1
group_00057	1	1	1
group_00058	1	1	1
group_00059	1	1	1
group_00060	1	1	1
group_00061	1	1	1
group_00062	1	1	1
group_00063	1	1	1
group_00064	1	1	1
group_00065	1	1	1
group_00066	1	1	1
group_00067	1	1	1
group_00068	1	1	1
group_00069	1	1	1
group_00070	1	1	1
group_00071	1	1	1
group_00072	1	1	1
group_00073	1	1	1
group_00074	1	1	1
group_00075	1	1	1
group_00076	1	1	1
group_00077	1	1	1
group_00078	1	1	1
group_00079	1	1	1
group_00080	1	1	1
group_00081	1	1	1
group_00082	1	1	1
group_00083	1	1	1
group_00084	1	1	1
group_00085	1	1	1
group_00086	1	1	1
group_00087	1	1	1
group_00088	1	1	1
group_00089	1	1	1
group_00090	1	1	1
group_00091	1	1	1
group_00092	1	1	1
group_00093	1	1	1
group_00094	1	1	1
group_00095	1	1	1
group_00096	1	1	1
group_00097	1	1	1
group_00098	1	1	1
group_00099	1	1	1
group_00100	1	1	1
group_00101	1	1	1
group_00102	1	1	1
group_00103	1	1	1
group_00104	1	1	1
group_00105	1	1	1
group_00106	1	1	1
group_00107	1	1	1
group_00108	1	1	1
group_00109	1	1	1
group_00110	1	1	1
group_00111	1	1	1
group_00112	1	1	1
group_00113	1	1	1
group_00114	1	1	1
group_00115	1	1	1
group_00116	1	1	1
group_00117	1	1	1
group_00118	1	1	1
group_00119	1	1	1
group_00120	1	1	1
group_00121	1	1	1
group_00122	1	1	1
group_00123	1	1	1
group_00124	1	1	1
group_00125	1	1	1
group_00126	1	1	1
group_00127	1	1	1
group_00128	1	1	1
group_00129	1	1	1
group_00130	1	1	1
group_00131	1	1	1
group_00132	1	1	1
group_00133	1	1	1
group_00134	1	1	1
group_00135	1	1	1
group_00136	1	1	1
group_00137	1	1	1
group_00138	1	1	1
group_00139	1	1	1
group_00140	1	1	1
group_00141	1	1	1
group_00142	1	1	1
group_00143	1	1	1
group_00144	1	1	1
group_00145	1	1	1
group_00146	1	1	1
group_00147	1	1	1
group_00148	1	1	1
group_00149	1	1	1
group_00150	1	1	1
group_00151	1	1	1
group_00152	1	1	1
group_00153	1	1	1
group_00154	1	1	1
group_00155	1	1	1
group_00156	1	1	1
group_00157	1	1	1
group_00158	1	1	1
group_00159	1	1	1
group_00160	1	1	1
group_00161	1	1	1
group_00162	1	1	1
group_00163	1	1	1
group_00164	1	1	1
group_00165	1	1	1
group_00166	1	1	1
group_00167	1	1	1
group_00168	1	1	1
group_00169	1	1	1
group_00170	1	1	1
group_00171	1	1	1
group_00172	1	1	1
group_00173	1	1	1
group_00174	1	1	1
group_00175	1	1	1
group_00176	1	1	1
group_00177	1	1	1
group_00178	1	1	1
group_00179	1	1	1
group_00180	1	1	1
group_00181	1	1	1
group_00182	1	1	1
group_00183	1	1	1
group_00184	1	1	1
group_00185	1	1	1
group_00186	1	1	1
group_00187	1	1	1
group_00188	1	1	1
group_00189	1	1	1
group_00190	1	1	1
group_00191	1	1	1
group_00192	1	1	1
group_00193	1	1	1
group_00194	1	1	1
group_00195	1	1	1
group_00196	1	1	1
group_00197	1	1	1
group_00198	1	1	1
group_00199	1	1	1
group_00200	1	1	1
group_00201	1	1	1
group_00202	1	1	1
group_00203	1	1	1
group_00204	1	1	1
group_00205	1	1	1
group_00206	1	1	1
group_00207	1	1	1
group_00208	1	1	1
group_00209	1	1	1
group_00210	1	1	1
group_00211	1	1	1
group_00212	1	1	1
