Gene ID	Locus Tag	Name	Function	
648180329	Dda3937_00155	FMN-binding protein MioC	COG0716	
648180422	Dda3937_02539	malate Na(+) symporter	COG3493	
648180443	Dda3937_01995	C4-dicarboxylic acid, orotate and citrate transporter	COG1301	
648180510	Dda3937_03874	ferredoxin-NADP reductase	COG1018	
648180512	Dda3937_03876	glycerol kinase (EC 2.7.1.30)	COG0554	
648180530	Dda3937_03893	Soluble pyridine nucleotide transhydrogenase	COG1249	
648180564	Dda3937_00225	oxidoreductase, molybdopterin-binding protein	COG2041	
648180599	Dda3937_01583	Short chain oxidoreductase	COG4221	
648180621	Dda3937_04030	sulfoxide reductase heme-binding subunit YedZ	COG2717	
648180622	Dda3937_04444	putative reductase	COG2041	
648180623	Dda3937_00660	putative oxidoreductase, Zn-dependent and NAD(P)-binding protein	COG0604	
648180702	Dda3937_01258	NADP-dependent alcohol dehydrogenase	COG1979	
648180792	Dda3937_01340	glycerol kinase	COG0554	
648180830	Dda3937_02684	putative oxidoreductase with FAD/NAD(P)-binding domain	COG0654	
648180831	Dda3937_02683	2-octaprenyl-6-methoxyphenol hydroxylase FAD/NAD(P)-binding protein	COG0654	
648180841	Dda3937_02674	trans-aconitate 2-methyltransferase	COG4106	
648180917	Dda3937_02730	putative glutathione S-transferase	COG0435	
648180948	Dda3937_03535	putative zinc-containing alcohol dehydrogenase	COG0604	
648180955	Dda3937_03529	malate dehydrogenase (NAD) (EC 1.1.1.37)	COG0039	
648180999	Dda3937_02320	putative antibiotic biosynthesis monooxygenase	COG1359	
648181012	Dda3937_02309	Lactaldehyde reductase	COG1454	
648181023	Dda3937_02299	flavodoxin 2	COG0716	
648181063	Dda3937_02261	acetate permease	COG4147	
648181088	Dda3937_01176	Pyruvate-flavodoxin oxidoreductase	COG0674	
648181101	Dda3937_01189	alcohol dehydrogenase	COG1454	
648181109	Dda3937_01197	methylmalonate-semialdehyde dehydrogenase	COG1012	
648181135	Dda3937_01220	putative short-chain dehydrogenase/reductase	COG4221	
648181256	Dda3937_01399	NADP-linked malic enzyme	COG0281	
648181294	Dda3937_01436	Anaerobic nitric oxide reductase flavorubredoxin	COG0426	
648181296	Dda3937_01438	fumarase, class I, homodimeric (EC 4.2.1.2)	COG1951	
648181301	Dda3937_01443	Fumarate reductase flavoprotein subunit	COG1053	
648181305	Dda3937_01447	NrfC protein	COG0437	
648181319	Dda3937_01460	Tartrate dehydrogenase/Tartrate decarboxylase/D-malic enzyme	COG0473	
648181342	Dda3937_01482	hypothetical protein	COG3181	
648181343	Dda3937_01483	hypothetical protein	COG3181	
648181417	Dda3937_00874	putative flavoprotein	COG0716	
648181448	Dda3937_01900	nitroreductase	COG0778	
648181459	Dda3937_01911	phosphoglycolate phosphatase	COG0546	
648181522	Dda3937_01973	cytochrome bo3 quinol oxidase subunit 4 (EC 1.10.3.-)	COG3125	
648181523	Dda3937_01974	cytochrome o ubiquinol oxidase subunit III	COG1845	
648181524	Dda3937_01975	cytochrome o ubiquinol oxidase subunit I	COG0843	
648181525	Dda3937_01976	cytochrome o ubiquinol oxidase subunit II	COG1622	
648181582	Dda3937_04163	putative 2Fe-2S cluster-containing protein	COG0633	
648181665	Dda3937_02466	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase	COG0654	
648181680	Dda3937_01560	flavodoxin 1	COG0716	
