"Var1","Freq","desc","COG","group"
"DDA3937_RS00050",2,"ribokinase","carbohydrate transport and metabolism","group_01613"
"DDA3937_RS00055",8,"ribose operon transcriptional repressor RbsR","transcription","group_01280"
"DDA3937_RS00100",6,"thiol:disulfide interchange protein DsbA","none","group_02319"
"DDA3937_RS00120",1,"oxygen-independent coproporphyrinogen III oxidase","coenzyme transport and metabolism","group_00593"
"DDA3937_RS00140",13,"ribosome-dependent GTPase TypA","signal transduction mechanisms","group_00244"
"DDA3937_RS00345",4,"inorganic phosphate transporter PitA","none","group_00546"
"DDA3937_RS00420",3,"LacI family DNA-binding transcriptional regulator",NA,NA
"DDA3937_RS00530",1,"UDP-forming cellulose synthase catalytic subunit","cell motility","group_00174"
"DDA3937_RS00535",1,"cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB","none","group_00125"
"DDA3937_RS00540",1,"cellulose biosynthesis protein BcsC","none","group_00042"
"DDA3937_RS00560",10,"insulinase family protein","general function prediction only","group_00536"
"DDA3937_RS00580",10,"2-dehydro-3-deoxygluconokinase","carbohydrate transport and metabolism","group_01517"
"DDA3937_RS00645",10,"cell division protein FtsX","cell cycle control, cell division, chromosome partitioning","group_01645"
"DDA3937_RS00865",1,"triose-phosphate isomerase","carbohydrate transport and metabolism","group_01997"
"DDA3937_RS00900",2,"cell division protein ZapB","cell cycle control, cell division, chromosome partitioning","group_03211"
"DDA3937_RS00910",9,"1,4-dihydroxy-2-naphthoate polyprenyltransferase","coenzyme transport and metabolism","group_01617"
"DDA3937_RS00915",1,"HslU--HslV peptidase ATPase subunit","postranslational modification, protein turnover, chaperones","group_00724"
"DDA3937_RS00980",1,"HTH-type transcriptional repressor FabR","transcription","group_02326"
"DDA3937_RS01215",14,"phosphoribosylamine--glycine ligase","nucleotide transport and metabolism","group_00862"
"DDA3937_RS01220",16,"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","nucleotide transport and metabolism","group_00389"
"DDA3937_RS01410",2,"protein-methionine-sulfoxide reductase heme-binding subunit MsrQ","energy production and conversions","group_02427"
"DDA3937_RS01450",1,"ribonuclease G","translation, ribosomal structure, and biogenesis","group_00478"
"DDA3937_RS01455",3,"AsmA2 domain-containing protein YhdP","function unknown","group_00030"
"DDA3937_RS01530",3,"RNA polymerase factor sigma-54","transcription","group_00602"
"DDA3937_RS01550",13,"3-deoxy-manno-octulosonate-8-phosphatase KdsC","general function prediction only","group_02426"
"DDA3937_RS01600",16,"outer membrane-stress sensor serine endopeptidase DegS","postranslational modification, protein turnover, chaperones","group_01222"
"DDA3937_RS01650",2,"ClpXP protease specificity-enhancing factor","general function prediction only","group_02658"
"DDA3937_RS01675",1,"aerobic respiration two-component sensor histidine kinase ArcB",NA,NA
"DDA3937_RS01680",1,"isoprenoid biosynthesis glyoxalase ElbB","secondary metabolites biosynthesis, transport, and catabolism","group_02340"
"DDA3937_RS01685",1,"monofunctional biosynthetic peptidoglycan transglycosylase","none","group_02049"
"DDA3937_RS01700",1,"DnaA initiator-associating protein DiaA","carbohydrate transport and metabolism","group_02398"
"DDA3937_RS01710",10,"penicillin-binding protein activator","cell wall/membrane/envelope biogenesis","group_00263"
"DDA3937_RS01740",8,"outer membrane channel protein TolC","cell wall/membrane/envelope biogenesis","group_00734"
"DDA3937_RS01790",1,"cell division protein FtsP","inorganic ion transport and metabolism","group_00522"
"DDA3937_RS01810",6,"DedA family protein","function unknown","group_02257"
"DDA3937_RS01820",4,"tol-pal system-associated acyl-CoA thioesterase","intracellular trafficking, secretion, and vesicular transport","group_02148"
"DDA3937_RS01870",4,"anaerobic ribonucleoside-triphosphate reductase-activating protein","general function prediction only","group_02655"
"DDA3937_RS01875",5,"anaerobic ribonucleoside-triphosphate reductase","nucleotide transport and metabolism","group_00143"
"DDA3937_RS01925",11,"aspartate carbamoyltransferase","nucleotide transport and metabolism","group_01481"
"DDA3937_RS01945",1,"ribonuclease E inhibitor RraB","translation, ribosomal structure, and biogenesis","group_02903"
"DDA3937_RS02155",3,"DeoR/GlpR transcriptional regulator","transcription","group_01976"
"DDA3937_RS02210",2,"type-1Ba cytolytic delta-endotoxin","none","group_02533"
"DDA3937_RS02425",14,"phosphoserine phosphatase","amino acid transport and metabolism","group_01340"
"DDA3937_RS02585",2,"oligosaccharide flippase family protein","none","group_01028"
"DDA3937_RS02685",1,"hypothetical protein","none","group_03485"
"DDA3937_RS02835",4,"altronate dehydratase","carbohydrate transport and metabolism","group_00432"
"DDA3937_RS02915",5,"TetR/AcrR family transcriptional regulator","transcription","group_02602"
"DDA3937_RS03095",5,"lipoprotein NlpI","cell wall/membrane/envelope biogenesis","group_01514"
"DDA3937_RS03410",1,"polysaccharide biosynthesis protein","postranslational modification, protein turnover, chaperones","group_00261"
"DDA3937_RS03420",7,"sugar transferase","cell wall/membrane/envelope biogenesis","group_02550"
"DDA3937_RS03465",4,"Na+/H+ antiporter","inorganic ion transport and metabolism","group_00400"
"DDA3937_RS03485",1,"hypothetical protein","none","group_02871"
"DDA3937_RS03545",1,"helix-turn-helix transcriptional regulator","transcription","group_03260"
"DDA3937_RS03565",1,"MarR family transcriptional regulator","transcription","group_02784"
"DDA3937_RS03570",1,"L,D-transpeptidase family protein","cell wall/membrane/envelope biogenesis","group_01263"
"DDA3937_RS03665",4,"MurR/RpiR family transcriptional regulator","transcription","group_01815"
"DDA3937_RS04070",3,"helix-turn-helix transcriptional regulator","none","group_03478"
"DDA3937_RS04125",12,"acetyltransferase",NA,NA
"DDA3937_RS04195",1,"GPO family capsid scaffolding protein","none","group_03754"
"DDA3937_RS04220",1,"hypothetical protein","none","group_03759"
"DDA3937_RS04225",4,"DUF2586 domain-containing protein","none","group_03730"
"DDA3937_RS04235",11,"phage holin family protein","none","group_03801"
"DDA3937_RS04405",1,"GNAT family N-acetyltransferase","none","group_03442"
"DDA3937_RS04480",11,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism","group_00317"
"DDA3937_RS04665",7,"helix-turn-helix transcriptional regulator","none","group_02365"
"DDA3937_RS04945",8,"RNA pyrophosphohydrolase","defense mechanisms","group_02466"
"DDA3937_RS05105",1,"bifunctional uridylyltransferase/uridylyl-removing protein GlnD","signal transduction mechanisms","group_00072"
"DDA3937_RS05150",14,"sigma E protease regulator RseP","none","group_00659"
"DDA3937_RS05320",3,"hypothetical protein","none","group_02568"
"DDA3937_RS05500",4,"transcriptional regulator NrdR","transcription","group_02731"
"DDA3937_RS05635",5,"trigger factor","postranslational modification, protein turnover, chaperones","group_00782"
"DDA3937_RS05640",14,"ATP-dependent Clp endopeptidase proteolytic subunit ClpP","postranslational modification, protein turnover, chaperones","group_02293"
"DDA3937_RS05645",14,"ATP-dependent protease ATP-binding subunit ClpX","postranslational modification, protein turnover, chaperones","group_00742"
"DDA3937_RS05810",1,"Kef family K(+) transporter","inorganic ion transport and metabolism","group_00403"
"DDA3937_RS05895",1,"transcriptional regulator RcsB","transcription","group_02282"
"DDA3937_RS06015",1,"HTH-type transcriptional regulator GalS","transcription","group_01351"
"DDA3937_RS06025",15,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism","group_01110"
