locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
HGI48_RS00010	HGI48_RS00010	1	NZ_CP051429	1325	2425	+		DNA polymerase III subunit beta
HGI48_RS00015	HGI48_RS00015	1	NZ_CP051429	2591	3676	+		DNA replication/repair protein RecF
HGI48_RS00020	HGI48_RS00020	1	NZ_CP051429	3694	6105	+		DNA topoisomerase (ATP-hydrolyzing) subunit B
HGI48_RS00025	HGI48_RS00025	1	NZ_CP051429	6296	7525	+		AAA family ATPase
HGI48_RS00030	HGI48_RS00030	1	NZ_CP051429	7522	10971	+		tetratricopeptide repeat protein
HGI48_RS00035	HGI48_RS00035	1	NZ_CP051429	11041	12228	-		MFS transporter
HGI48_RS00040	HGI48_RS00040	1	NZ_CP051429	12422	13174	-		16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ
HGI48_RS00045	HGI48_RS00045	1	NZ_CP051429	13171	15213	-		oligopeptidase A
HGI48_RS00050	HGI48_RS00050	1	NZ_CP051429	15345	15629	-		DUF2623 domain-containing protein
HGI48_RS00055	HGI48_RS00055	1	NZ_CP051429	15832	16674	+		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
HGI48_RS00060	HGI48_RS00060	1	NZ_CP051429	16688	17602	-		ribonuclease Z
HGI48_RS00065	HGI48_RS00065	1	NZ_CP051429	17924	19276	+		glutathione-disulfide reductase
HGI48_RS00070	HGI48_RS00070	1	NZ_CP051429	19819	21234	+		MBOAT family protein
HGI48_RS00075	HGI48_RS00075	1	NZ_CP051429	21221	22288	+		DUF459 domain-containing protein
HGI48_RS00080	HGI48_RS00080	1	NZ_CP051429	22311	23525	+		hypothetical protein
HGI48_RS00085	HGI48_RS00085	7	NZ_CP051429	23629	23754	+		IS3 family transposase
HGI48_RS00090	HGI48_RS00090	1	NZ_CP051429	24219	25466	-		formyl-CoA transferase
HGI48_RS00095	HGI48_RS00095	1	NZ_CP051429	25560	25997	-		PAS domain-containing protein
HGI48_RS00100	HGI48_RS00100	1	NZ_CP051429	26003	27280	-		formyl-CoA transferase
HGI48_RS00105	HGI48_RS00105	1	NZ_CP051429	27319	29064	-		oxalyl-CoA decarboxylase
HGI48_RS00110	HGI48_RS00110	1	NZ_CP051429	29118	30425	-		OFA family MFS transporter
HGI48_RS00115	HGI48_RS00115	1	NZ_CP051429	31016	31912	+		LysR family transcriptional regulator
HGI48_RS00120	HGI48_RS00120	1	NZ_CP051429	32365	32832	+		GNAT family N-acetyltransferase
HGI48_RS00125	HGI48_RS00125	1	NZ_CP051429	33103	33393	+		DUF3861 domain-containing protein
HGI48_RS00130	HGI48_RS00130	1	NZ_CP051429	33534	34502	+		glucokinase
HGI48_RS00135	HGI48_RS00135	1	NZ_CP051429	34595	35713	-		alkylhydroperoxidase domain protein
HGI48_RS00140	HGI48_RS00140	1	NZ_CP051429	35710	36750	-		putative FMN-dependent luciferase-like monooxygenase
HGI48_RS00145	HGI48_RS00145	1	NZ_CP051429	36780	38477	-		ABC transporter ATP-binding protein
HGI48_RS00150	HGI48_RS00150	1	NZ_CP051429	38474	39349	-		ABC transporter permease
HGI48_RS00155	HGI48_RS00155	1	NZ_CP051429	39351	40292	-		ABC transporter permease
HGI48_RS00160	HGI48_RS00160	1	NZ_CP051429	40322	41965	-		TIGR04028 family ABC transporter substrate-binding protein
HGI48_RS00165	HGI48_RS00165	1	NZ_CP051429	42289	43545	-		valine--pyruvate transaminase
HGI48_RS00170	HGI48_RS00170	1	NZ_CP051429	43899	45107	+		aldose 1-epimerase family protein
HGI48_RS00175	HGI48_RS00175	1	NZ_CP051429	45209	46171	-		glyoxylate/hydroxypyruvate reductase GhrB
HGI48_RS00180	HGI48_RS00180	1	NZ_CP051429	46828	47766	+		RNA-directed DNA polymerase
HGI48_RS00185	HGI48_RS00185	1	NZ_CP051429	47763	49421	+		AAA family ATPase
HGI48_RS00190	HGI48_RS00190	1	NZ_CP051429	49418	50065	+		TIGR02646 family protein
HGI48_RS00195	HGI48_RS00195	1	NZ_CP051429	50123	50578	-		N-acetyltransferase
HGI48_RS00200	HGI48_RS00200	1	NZ_CP051429	50575	51135	-		DNA-3-methyladenine glycosylase I
HGI48_RS00205	HGI48_RS00205	1	NZ_CP051429	51334	52140	+		sulfite exporter TauE/SafE family protein
HGI48_RS00210	HGI48_RS00210	1	NZ_CP051429	52285	53199	+		glycine--tRNA ligase subunit alpha
HGI48_RS00215	HGI48_RS00215	1	NZ_CP051429	53209	55278	+		glycine--tRNA ligase subunit beta
HGI48_RS00220	HGI48_RS00220	1	NZ_CP051429	55867	56637	+		alpha/beta hydrolase
HGI48_RS00225	HGI48_RS00225	1	NZ_CP051429	56977	60570	-		urea carboxylase
HGI48_RS00230	HGI48_RS00230	1	NZ_CP051429	60672	61307	-		urea carboxylase-associated family protein
HGI48_RS00235	HGI48_RS00235	1	NZ_CP051429	61310	62029	-		urea carboxylase-associated family protein
HGI48_RS00240	HGI48_RS00240	1	NZ_CP051429	62058	62834	-		ATP-binding cassette domain-containing protein
